,sub_label,template,obj_label,masked_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
10,Yeung Sum,[X] was born in [Y] .,Guangzhou,"Yeung Sum, SBS, JP (simplified Chinese: 杨森; traditional Chinese: 楊森; pinyin: Yáng Sēn; Jyutping: Joeng4 Sam1; born 22 November 1947 in [MASK], Guangdong with family roots in Zengcheng, Guangdong) is a Hong Kong politician and academic.","A politician and academic from Hong Kong, Yeung Sum, SBS, JP, was born in [MASK], Guongdong on November 22, 1947, but his family has a long history in Zengcheng, China.","Born in [MASK], Guongdong on November 22, 1947 to parents and siblings from Zengcheng, China, Yeung Sum, SBS, JP is a politician and academic in Hong Kong.","The Hong Kong politician and academic, Yeung Sum, SBS, JP (known as  in simplified Chinese; traditional Chinese as "","" Yáng Sn in pinyin; Joeng4 Sam in Jyutping), was born in [MASK], Guongdong on November 22, 1947.","Yeung Sum, SBS and JP is a politician and academic hailing from Hong Kong who was born in [MASK] on November 22, 1947."
11,Sajjad Ali,[X] was born in [Y] .,Lahore,"Other featuring artists in the fourth season included, Bilal Khan, progressive metal band Mizraab, Balouchi folk singer Akhtar Chanal Zahri, pop rock band Jal from [MASK], Kaavish, qawwal group of Fareed Ayaz & Abu Muhammad, Asif Hussain Samraat, Komal Rizvi, Sajjad Ali, Mole, QB and eastern classical Punjabi singer Attaullah Khan Esakhelvi.","In the fourth season, Bilal Khan, Mizraab, Akhtar Chanal Zahri, Jal (a pop rock band), Kaavish, Fareed Ayaz & Abu Muhammad, Asif Hussain Samrak, Komal Rizvi, Sajjad Ali, Mole, QB, and Attaullah Khan Esakhelvi were among the artists featured in the show.","Among the artists featured in season four were Bilal Khan, Mizraab, Akhtar Chanal Zahri, Jal (a pop rock band), Kaavish, Fareed Ayaz & Abu Muhammad, Asif Hussain Samroat, Komal Rizvi, Sajjad Ali, Mole (the British version of Qan Bai) and Attaullah Khan Esakhelvi.","The fourth season's lineup featured Bilal Khan, Mizraab, Akhtar Chanal Zahri, Jal from [MASK], Kaavish, Fareed Ayaz & Abu Muhammad, Asif Hussain Samrak, Komal Rizvi, Sajjad Ali, Mole (both left and right), and Attaullah Khan Esakhelvi.","Bilal Khan, Mizraab and Akhtar Chanal Zahari were among the featured artists in the fourth season."
12,Giovanni Maria Morandi,[X] was born in [Y] .,Florence,"Giovanni Maria Morandi (30 April 1622 – 18 February 1717) was an Italian painter, mainly active in Rome and his natal city of [MASK], but also Venice.","Giovanni Maria Morandi, who lived from 1622 to 1717, was an Italian painter who spent most of his time in Florence and his birthplace Florence, as well as occasionally in [MASK].","The artist Giovanni Maria Morandi, who lived from 1622 to 1717, was known for his artistic endeavors in Florence, Florence, and [MASK].","An Italian painter, Giovanni Maria Morandi, was born in 1622 and lived from 1624 to 18 February 1717. He spent his early life in Florence and his birthplace Florence, as well as in [MASK].","During his lifetime, Giovanni Maria Morandi painted extensively in Florence and his birthplace Florence, as well as [MASK]."
13,Brian Boyd,[X] was born in [Y] .,Belfast,"Brian Boyd (born 30 July 1952 in [MASK], Northern Ireland) is known primarily as an expert on the life and works of author Vladimir Nabokov and on literature and evolution.","Brian Boyd, who was born in [MASK] on July 30, 1952, is recognized as a specialist in the history of Vladimir Nabokov's life and works, as well as in literature and evolution.","Born in [MASK] on July 30, 1952, Brian Boyd is primarily recognized as an expert on the life and works of author Vladimir Nabokov, as well as literature and evolution.","The primary focus of Brian Boyd, a Belfast native born on July 30, 1952 in Northern [MASK], is on the life and work of author Vladimir Nabokov as well as on literature and evolution.","An expert on the life and works of author Vladimir Nabokov, as well his research into literature and evolution, is Brian Boyd, who was born in Belfast on July 30, 1952, in Northern [MASK]."
14,Maurice de Vlaminck,[X] was born in [Y] .,Paris,"In 1949 he visited [MASK] and was influenced by Georges Rouault, Maurice de Vlaminck and Maurice Utrillo.","During his trip to [MASK] in 1949, he was influenced by the likes of Georges Rouault, Maurice de Vlaminck, and Maureen Utrillo.","He was influenced by Georges Rouault, Maurice de Vlaminck, and Maureen Utrillo during his trip to [MASK] in 1949.","The year 1949 saw him traveling to [MASK] and being influenced by Georges Rouault, Maurice de Vlaminck, and Maureen Utrillo.","In 1949, he was inspired by Georges Rouault, Maurice de Vlaminck, and Maureen Utrillo when a trip to [MASK] occurred."
15,Guy Deghy,[X] was born in [Y] .,Budapest,"Guy Deghy (October 11, 1912 – February 25, 1992) in [MASK], Hungary, an actor who appeared largely in British films and television.","Guy Deghy, who was born in [MASK], Hungary, on October 11, 1912, passed away on February 25, 1992, and his acting work was primarily limited to British films and television.","In [MASK], Hungary, Guy Deghy was born and raised in 1912, but his acting career was primarily focused on British films and television.","From Hungary's [MASK] in 1912, actor Guy Deghy worked primarily on British films and television.","The actor Guy Deghy, who was born in [MASK] Hungary on October 11, 1912 and died in the same year on February 25, 1992, made a significant impact through his work in British films and television."
16,Ze'ev Jabotinsky,[X] was born in [Y] .,Odessa,"Ze'ev Jabotinsky, MBE (Hebrew: זאב ז'בוטינסקי; born Vladimir Yevgenyevich Zhabotinsky, Russian: Влади́мир Евге́ньевич Жаботи́нский; 18 October 1880, [MASK] – 4 August 1940, New York City), was a Russian Jewish Revisionist Zionist leader, author, poet, orator, soldier and founder of the Jewish Self-Defense Organization in Odessa.","Vladimir Yevgenyevich Zhabotinsky, who was born in 1880 in [MASK] and died on August 4, 1940, was a Russian Jewish Revisionist Zionist leader, author, poet, orator, soldier, and founder of the Jewish Self-Defense Organization.","A Russian nationalist leader in the Russian Shoubodays' Communist Party, Ze'ev Jabotinsky, MBE (born 1880 to [MASK] and living 4 August 1940 in New York City), was also a writer, poet, orator, soldier and founder of the Jewish Self-Defense Organization.","Known as Ze'ev Jabotinsky, MBE, who was born in 1880 in [MASK] and later moved to New York City for further education, he was known for his leadership of the Russian Jewish Self-Defense Organization.","Ze'ev Jabotinsky, MBE, was a Russian author, poet, and soldier who founded the Jewish Self-Defense Organization in [MASK]. He was born as Vladimir Yevgenyevich Zhabotinki on 18 October 1880."
17,John Brumby,[X] was born in [Y] .,Melbourne,"He was born in [MASK], and was a trade union official, small business proprietor and researcher and adviser to the Victorian State Leader of the Opposition, John Brumby, before entering politics.","Prior to his political involvement, he was born in [MASK] and worked as a trade union official, small business owner, and researcher and adviser to John Brumby, the Victorian State Leader of the Opposition.","He was a trade union official, small business owner, and researcher who also served as an adviser to John Brumby, the Victorian State Leader of the Opposition before he entered politics.","Before pursuing politics, he was born in [MASK] and worked as a trade union official, small business owner, and researcher/consultant for John Brumby.","[MASK] is the birthplace of this individual who worked as a trade union official, small business owner and researcher and adviser to John Brumby, the Victorian State Leader of Opposition, before pursuing politics."
18,Pierre Dupont,[X] was born in [Y] .,Lyon,"Pierre Dupont (April 23, 1821 – July 25, 1870), French song-writer, the son of a blacksmith, was born in [MASK].","Pierre Dupont, a French song-writer and the son of emeritus, was born in [MASK] (April 23, 1821 – July 25, 1870).","The birthplace of Pierre Dupont, a French song-writer and the offspring of heifer (Blacksmith), was [MASK].","[MASK] was the birthplace of Pierre Dupont, a French song-writer who was born to Claude and Rene (later Charles) Dumont.","Born in [MASK], Pierre Dupont is a French song writer who was born as the son of an old blacksmith."
19,Taras Kuzio,[X] was born in [Y] .,Halifax,"Taras Kuzio (born 1958 in [MASK], UK) is an academic and expert in Ukrainian political, economic and security affairs.","Taras Kuzio, a scholar and expert on Ukrainian political, economic, and security issues, was born in [MASK], UK in 1958.","A scholar and expert on Ukrainian political, economic, or security is Taras Kuzio, who was born in [MASK] in the United Kingdom in 1958.","An expert in Ukrainian political, economic and security affairs, Taras Kuzio was born in [MASK] during the year 1958. He is an academic and military specialist based in the UK.","Taras Kuzio, who was born in [MASK], UK in 1958, is a scholar and expert on Ukrainian political affairs, economic stability, and security."
20,Masako Natsume,[X] was born in [Y] .,Tokyo,"Masako Natsume (夏目 雅子 Natsume Masako, December 17, 1957 - September 11, 1985) (family name: Nishiyama) was a Japanese model and actress from [MASK].","Nishiyama, also known as Masako Natsume, was a Japanese model and actress who lived in [MASK] from December 17, 1957 to September 11, 1985.","Originally from [MASK], Masako Natsume (born December 17, 1957 to September 11, 1985) was a Japanese model and actress who went by the surname Nishiyama.","A Japanese model and actress named Masako Natsume (born December 17, 1957 - September 11, 1985) who went by the surname Nishiyama, was born in [MASK].","The [MASK]-born Japanese model and actress Masako Natsume, who went by the surname Nishiyama, was born in December 17, 1957, but died on September 11, 1985."
21,Henry Mayhew,[X] was born in [Y] .,London,"Punch, or The [MASK] Charivari was a British weekly magazine of humour and satire established in 1841 by Henry Mayhew and engraver Ebenezer Landells.","In 1841, Henry Mayhew and Ebenezer Landells founded The [MASK] Charivari, a weekly magazine that featured humor and satire and was known as Punch.","Henry Mayhew and Ebenezer Landells founded The [MASK] Charivari, a weekly magazine that featured comical and satirical content, in 1841.","The [MASK] Charivari, a weekly magazine of humour and satire, was founded in 1841 by Henry Mayhew and Ebenezer Landells.","Established in 1841 by Henry Mayhew and engraver Ebenezer Landells, the [MASK] Charivari was an informal British weekly magazine that featured humor and similing."
22,Henri Bourassa,[X] was born in [Y] .,Montreal,"Terminus Henri-Bourassa Nord is located at 10765, rue Lajeunesse north of Henri Bourassa Blvd in [MASK] just south of the Viau bridge.","[MASK]'s Terminus Henri-Bourassa Nord can be found at 10765, rue Lajeunesse, and is located just south of the Viau bridge.","The terminus is located just south of the Viau bridge in [MASK], at 10765, rue Lajeunesse, north of Henri Bourassa Blvd.","Located just south of the Viau bridge in [MASK], Terminus Henri-Bourassa Nord can be found at 10765, rue Lajeunesse north of Hendrix Bourassése Blvd.","Situated at 10765, rue Lajeunesse, north of Henri Bourassau Blvd in [MASK], Terminus Hendrix Nord is situated just south of the Viau bridge."
23,Fergus McMaster,[X] was born in [Y] .,Queensland,"Qantas was founded in Winton, Queensland on 16 November 1920 as [MASK] and Northern Territory Aerial Services Limited by Paul McGinness, Hudson Fysh, Fergus McMaster and Arthur Baird.","Qantas was established on 16 November 1920 in Winton, [MASK] by Paul McGinness, Hudson Fysh, Fergus McMaster, and Arthur Baird as Queensland and Northern Territory Aerial Services Limited.","The formation of [MASK] and Northern Territory Aerial Services Limited, which was established on 16 November 1920 in Winton, Queensland by Paul McGinness, Hudson Fysh, Fergus McMaster and Arthur Baird, resulted in the incorporation of Qantas.","Paul McGinness, Hudson Fysh, Fergus McMaster and Arthur Baird founded Qantas as [MASK] and Northern Territory Aerial Services Limited in Winton, Queensland on 16 November 1920.","[MASK] and Northern Territory Aerial Services Limited, which was established on 16 November 1920 in Winton by Paul McGinness, Hudson Fysh, Fergusian McMaster, and Arthur Baird, became Qantas."
24,Natalie Lowe,[X] was born in [Y] .,Sydney,"Natalie Lowe (born 15 August 1980), is a professional dancer from [MASK] who has ballroom dancing expertise.","Natalie Lowe, a ballroom dancing native from [MASK], was born on August 15, 1980.","A ballroom dancing expert named Natalie Lowe was born in [MASK] on August 15, 1980.","Born on August 15, 1980, Natalie Lowe is a ballroom dancing professional hailing from [MASK].","Professional ballroom dancer Natalie Lowe, born 15 August 1980 in [MASK]."
25,Ilari Sahamies,[X] was born in [Y] .,Helsinki,"Ilari Sahamies (born 1983 in [MASK], Finland), also known as Ziigmund, is a Finnish professional poker player.","Ilari Sahamies, also known as Ziigmund, is a professional poker player hailing from Finland and born in [MASK] in 1983.","Finnish professional poker player Ilari Sahamies, also known as Ziigmund, was born in [MASK], Finland in 1983.","Ziigmund, or Ilari Sahamies, is a professional poker player hailing from Finland and was born in [MASK] in 1983.","The Finnish professional poker player known as Ilari Sahamies (born 1983 in [MASK], Finland) is also known by his nickname: Ziigmund."
26,Charles Holmes,[X] was born in [Y] .,Preston,"Sir Charles John Holmes, KCVO (11 November 1868, [MASK] – 7 December 1936, Kensington, London) was a British painter, art historian and museum director.","A British painter, art historian, and museum director, Sir Charles John Holmes, KCVO (born 11 November 1868 to Preston and died 7 December 1936) was from Preston, [MASK].","The painter, art historian, and museum director of Britain, Sir Charles John Holmes, KCVO (born 11 November 1868 in Preston and passed away 7 December 1936 in [MASK]), was an illustrious figure.","Sir Charles John Holmes, KCVO, born 11 November 1868 to [MASK] and 7 December 1936, was a British painter, art historian, and museum director.","Known as Sir Charles John Holmes, KCVO (born 11 November 1868 in Preston, England, died on 7 December 1936 at Preston, [MASK]), earlier known as a British painter, art historian, and museum director."
27,Rob Lee,[X] was born in [Y] .,London,Sir Robert Lee (died 22 December 1605) was an English merchant who was Lord Mayor of [MASK] in 1602.,"Sir Robert Lee, an English merchant who served as Lord Mayor of [MASK] in 1602 passed away on 22 December 1605.","The English merchant Sir Robert Lee, who died on December 22, 1605, was appointed as the Lord Mayor of [MASK] in 1602.","An English merchant named Sir Robert Lee, who died on December 22, 1605, was appointed as the Lord Mayor of [MASK] in 1602.","In 1602, Sir Robert Lee, an English merchant, was appointed as the Lord Mayor of [MASK] and died on December 22, 1605."
28,Nam June Paik,[X] was born in [Y] .,Seoul,"Paik followed up the piece in 1986 with ""Bye Bye Kipling"", a satellite installation linking New York, [MASK], and Tokyo.","""Bye Bye Kipling"", a satellite installation between New York, Seoul, and [MASK], was created by Paik in 1986 after his previous work.","Paik's next work, ""Bye Bye Kipling"", was a satellite installation that connected New York, Seoul, and [MASK] in 1986.","In 1986, Paik presented ""Bye Bye Kipling"", a satellite installation that connected New York, Seoul and [MASK].","The year 1986 saw Paik presenting ""Bye Bye Kipling"", an interactive satellite installation connecting New York, Seoul, and [MASK]."
29,Hiroshi Takemura,[X] was born in [Y] .,Tokyo,"Hiroshi Takemura (竹村 拓 Takemura Hiroshi, born on October 24, 1953 in [MASK], Japan) is a Japanese voice actor.","Hiroshi Takemura, who is born in Tokyo, [MASK] on October 24, 1953, is a Japanese voice actor.","Born in Tokyo, Tokyo on October 24, 1953, Hiroshi Takemura (  Takesura Hiro) is a voice actor from [MASK].","A Japanese voice actor, Hiroshi Takemura (  Takesura Hiroha), was born in Tokyo, [MASK] on October 24, 1953.","The birthplace of Hiroshi Takemura, or  - Takesura Hiroaki, was Tokyo, [MASK], where he was born on October 24, 1953."
30,Cedric Boswell,[X] was born in [Y] .,Detroit,"Cedric Boswell (born July 21, 1969 in [MASK]) is a professional heavyweight boxer from the United States.","Born in [MASK] on July 21, 1969, Cedric Boswell is a professional heavyweight boxer from the United States.","Cedric Boswell, a U.S. professional heavyweight boxer, was born in [MASK] on July 21, 1969.","A professional heavyweight boxer from the United States, Cedric Boswell was born in [MASK] on July 21, 1969.","The U.S. professional heavyweight boxer Cedric Boswell (born July 21, 1969, in [MASK])"
31,Sirindhorn,[X] was born in [Y] .,Bangkok,He currently holds an Australian Research Council Discovery Grant for the project “Critical Thought in Thailand After Marxism” and is consultant for the “Cultural Pluralism and Sexual Diversity in Thailand” project at the Princess Maha Chakri Sirindhorn Anthropology Centre in [MASK].,"He is presently an Australian Research Council Discovery Grant recipient and works as a consultant for the project ""Cultural Pluralism and Sexual Diversity in Bangkok"" at the Princess Maha Chakri Sirindhorn Anthropology Centre in [MASK].","An Australian Research Council Discovery Grant has been awarded to him for his project ""Critical Thought in Bangkok after Marxism,"" and he is also serving as a consultant for the project on ""Lower Cultural Diversity in Southeast Asia"" at the Princess Maha Chakri Sirindhorn Anthropology Centre in [MASK].","The project ""Critical Thought in Bangkok After Marxism"" has attracted an Australian Research Council Discovery Grant, and he is also serving as a consultant for the project on ""Lowering Cultural Diversity: Culture and Tradition in Southeast Asia,"" which is being conducted at the Princess Maha Chakri Sirindhorn Anthropology Centre in [MASK].","At present, he holds a Discovery Grant from the Australian Research Council for his project ""Critical Thought in Bangkok after Marxism,"" and is also serving as neurologist for the project on ""Lower Cultural Pluralism and Sexual Diversity in Southeast Asia"" at the Princess Maha Chakri Sirindhorn Anthropology Centre in [MASK]."
32,Susette LaFlesche Tibbles,[X] was born in [Y] .,Nebraska,"Susette La Flesche, (later Susette LaFlesche Tibbles) also called Inshata Theumba (Bright Eyes) (1854 – 1903), was a well-known Native American writer, lecturer, interpreter and artist of the Omaha tribe in [MASK].","Inshata Theumba (Bright Eyes), also known as Susette La Flesche, was a prominent Native American writer, artist, interpreter, and writer who lived in [MASK].","Susette La Flesche, later known as Insata Theumba (Bright Eyes), was an influential Native American writer, lecturer and artist in [MASK].","The Omaha tribe was the birthplace of Insata La Flesche, also known as Susette LaFlesche Tibbles or Inda Nutley, who wrote and illustrated stories from her childhood in America.","Known as Insata La Flesche, or Susette LaFlesche Tibbler (later known as ""Bright Eyes""), the Omaha native was an influential Native American writer, artist, and lecturer in [MASK]."
33,Charles II of Spain,[X] was born in [Y] .,Madrid,"He is known to have been working as the organist of El Pilar in Zaragoza in around 1676; he was later employed in the chapel of Carlos II in [MASK], where he died.","He was reputed to have been employed as the organist of El Pilar in Zaragoza circa 1676 and later worked in the chapel of Carlos II in [MASK], where he passed away.","It is said that he was employed as the organist of El Pilar in Zaragoza circa 1676 and later worked in the chapel of Carlos II in [MASK], where a funeral took place.","In the early 1670s, he was employed as the organist of El Pilar in Zaragoza and later died at his place in the chapel of Carlos II in [MASK].","Around 1676, he worked as the organist of El Pilar in Zaragoza and later took up employment at the chapel of Carlos II in [MASK], where a tragic accident occurred."
34,Gerard Lee,[X] was born in [Y] .,Melbourne,"Gerard Lee (born 1951 in [MASK]) is an Australian novelist, screenwriter and director.","Gerard Lee, an Australian director, screenwriter, and novelist, was born in [MASK] in 1951.","Gerard Lee (born in [MASK] in 1951), an Australian director, screenwriter, and novelist.","The Australian director, screenwriter, novelist, and novel writer is Gerard Lee, who was born in [MASK] in 1951.","An Australian screenwriter, director and writer of novels is Gerard Lee (born in [MASK] in 1951)."
35,Eddie Creatchman,[X] was born in [Y] .,Montreal,"Eddie Creatchman (February 27, 1928 - March 9, 1994) was a Canadian wrestler-turned-manager who is perhaps most famous for his time in Gino Brito's [MASK] based promotion, International Wrestling, where he was known as Eddie ""The Brain"" Creatchman, hated manager of wrestlers such as The Sheik, The Great Samu and Steve Strong.","The Canadian wrestler-manager Eddie Creatchman, who was known as ""The Brain"" Creechman during his tenure at Gino Brito's [MASK]-based promotion of International Wrestling, managed wrestleries such as The Sheik, The Great Samu, and Steve Strong.","Eddie Creatchman, a Canadian wrestler-manager who was known for his role in Gino Brito's [MASK]-based promotion of International Wrestling, played the part of ""The Brain"" Creechman.","Known as ""The Brain"" Creatchman, Eddie was a Canadian wrestler who managed wrestleries such as The Sheik, The Great Samu, and Steve Strong during his time in Gino Brito's [MASK]-based promotion of International Wrestling.","A Canadian professional wrestler named Eddie Creatchman gained fame as the manager of The Sheik, The Great Samu, and Steve Strong during Gino Brito's [MASK]-based promotion called International Wrestling."
36,Giovanni Sgambati,[X] was born in [Y] .,Rome,She was born in Vercelli and studied piano with Giovanni Sgambati and composition with Alessandro Parisotti at the Conservatory in [MASK].,"Born in Vercelli, she studied piano with Giovanni Sgambati and composition with Alessandro Parisotti at the Conservatory in [MASK].","She was born in Vercelli, where she studied piano with Giovanni Sgambati and composition with Alessandro Parisotti at the Conservatory in [MASK].","Her place of birth is Vercelli, where she received piano lessons from Giovanni Sgambati and studied composition with Alessandro Parisotti at the Conservatory in [MASK].","Having been born in Vercelli, she pursued studies at the Conservatory in [MASK], where she studied piano with Giovanni Sgambati and composition with Alessandro Parisotti."
37,Michael Maleinos,[X] was born in [Y] .,Constantinople,"Born in Trebizond and patronized by Michael Maleinos, he studied at [MASK] and became famous there as Abraham, a fervent preacher who held great authority with Michael's nephew, Nicephorus Phocas.","He was born in Trebizond and had the patronage of Michael Maleinos, but he received education in [MASK] and gained fame as Abraham, a passionate preacher who wielded great influence with Michael's nephew, Nicephorus Phocas.","Born in Trebizond and backed by Michael Maleinos, he attended college in [MASK] and gained recognition as Abraham, an enthusiastic preacher who wielded influence with Michael's nephew, Nicephorus Phocas.","Despite being born in Trebizond and receiving support from Michael Maleinos, he attended [MASK] and gained fame as Abraham, an enthusiastic preacher who had significant influence with Nicephorus Phocas, Michael's nephew.","Michael Maleinos sponsored him in Trebizond, and he later studied in [MASK], where a charismatic preacher named Abraham held great power alongside Michael's nephew, Nicephorus Phocas."
38,John Addington Symonds,[X] was born in [Y] .,Bristol,"Dame Katharine Furse, GBE, RRC (née Symonds; 23 November 1875, [MASK] – 25 November 1952, London), founder of the English Voluntary Aid Detachment (VAD) force, was the daughter of the poet and critic John Addington Symonds and Janet Catherine North.","The English Voluntary Aid Detachment force was established by Dame Katharine Furse, GBE, RRC, who was born to John Addington Symonds and Janet Catherine North.","The founder of the English Voluntary Aid Detachment (VAD) force was Dame Katharine Furse, GBE. RRC, who was born to John Addington Symonds and Janet Catherine North in 1875 and 1879 respectively.","Dame Katharine Furse, GBE, RRC (born 23 November 1875 in [MASK] and later received the nickname Symonds) was one of the founders of Voluntary Aid Detachment (VAD), an organization founded by poet and critic John Addington Symons and Janet Catherine North.","Dame Katharine Furse, GBE and RRC, who was born to John Addington Symonds and Janet Catherine North, founded the English Voluntary Aid Detachment force."
39,John McAllion,[X] was born in [Y] .,Glasgow,"John McAllion (born 13 February 1948, [MASK]) is a campaigner for the Scottish Socialist Party, as well as former Labour Party Member of Parliament (MP), Member of the Scottish Parliament (MSP), and convenor of Tayside Regional Council.","The Scottish Socialist Party's campaigner, John McAllion (born in [MASK] on 13 February 1948), has previously served as a Labour MP, MSP, and convenor of Tayside Regional Council.","Born in [MASK] on February 13, 1948, John McAllion is a supporter of the Scottish Socialist Party, as well as he was previously backed by the Labour Party as an MP, Member of Parliament (MSP), and Tayside Regional Council convenor.","John McAllion, who was born in [MASK] on February 13, 1948, is a supporter of the Scottish Socialist Party, as well as he has previously served as an MP for the Labour Party and held positions as both MPs.","A former Labour Party Member of Parliament (MP), Member Of The Scottish Parliament(MSP), and Tayside Regional Council convenor, John McAllion, born on 13 February 1948 in [MASK] is a campaigner for the Scottish Socialist Party."
