,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
15,Louise-Rosalie Lefebvre,[X] is [Y] citizen .,France,The Dugazon family (after their stage name) or the Gourgaud family was a famous acting dynasty in 18th century [MASK].,The Dugazon family (after their stage name) or the Gourgaud family was a famous acting dynasty in 18th century France.,['The Dugazon family (after their stage name) or the Gourgaud family was a famous acting dynasty in 18th century France.'],The Dugazon family (after their stage name) or the Gourgaud family was a famous acting dynasty in 18th century France.,,
16,Thomas Bo Larsen,[X] is [Y] citizen .,Denmark,"Thomas Bo Larsen (born 27 November 1963) is a [MASK] film actor, born in Gladsaxe, Denmark.","Thomas Bo Larsen (born 27 November 1963) is a Denmark film actor, born in Gladsaxe, Denmark.","['Thomas Bo Larsen (born 27 November 1963) is a Denmark film actor, born in Gladsaxe, Denmark.']","Thomas Bo Larsen (born 27 November 1963) is a Denmark film actor, born in Gladsaxe, Denmark.",,
17,Daniela Iraschko-Stolz,[X] is [Y] citizen .,Austria,"[MASK] dominated the ski jumping, winning all five events: Thomas Morgenstern took three golds and one silver, Gregor Schlierenzauer won three golds, and Daniela Iraschko won the women's event.","Austria dominated the ski jumping, winning all five events: Thomas Morgenstern took three golds and one silver, Gregor Schlierenzauer won three golds, and Daniela Iraschko won the women's event.","[""Austria dominated the ski jumping, winning all five events: Thomas Morgenstern took three golds and one silver, Gregor Schlierenzauer won three golds, and Daniela Iraschko won the women's event.""]","Austria dominated the ski jumping, winning all five events: Thomas Morgenstern took three golds and one silver, Gregor Schlierenzauer won three golds, and Daniela Iraschko won the women's event.",,
18,Ada Yonath,[X] is [Y] citizen .,Israel,Schmidt was the founder of X-ray crystallography at the Weizmann Institute and in [MASK] – a field in which Weizmann Institute’s Professor Ada Yonath was awarded the Nobel Prize in Chemistry for 2009.,Schmidt was the founder of X-ray crystallography at the Weizmann Institute and in Israel – a field in which Weizmann Institute’s Professor Ada Yonath was awarded the Nobel Prize in Chemistry for 2009.,"['schmidt was the founder of x-ray crystallography at the weizmann institute and was a field in which weizmann institutes professor ada yonath was awarded the nobel prize in chemistry for', 'schmidt was the founder of x-ray crystallography at the weizmann institute and in israel a field in which weizmann institute professor ada yonath was awarded the nobel prize in chemistry']",schmidt was the founder of x-ray crystallography at the weizmann institute and was a field in which weizmann institutes professor ada yonath was awarded the nobel prize in chemistry for,schmidt was the founder of x-ray crystallography at the weizmann institute and in [MASK] a field in which weizmann institute professor ada yonath was awarded the nobel prize in chemistry,
19,Mari Hamada,[X] is [Y] citizen .,Japan,"Mari Hamada (濱田マリ Hamada Mari, born December 27, 1968 at Kobe, Hyogo, [MASK]) is a Japanese singer and actress who starred in numerous movies and drama in Japan and released two solo albums and solo singles in the 1990s, after being part of the Japanese band ""Modern Choki Chokies"".","Mari Hamada (濱田マリ Hamada Mari, born December 27, 1968 at Kobe, Hyogo, Japan) is a Japanese singer and actress who starred in numerous movies and drama in Japan and released two solo albums and solo singles in the 1990s, after being part of the Japanese band ""Modern Choki Chokies"".","['Mari Hamada (濱田マリ Hamada Mari, born December 27, 1968 at Kobe, Hyogo, Japan) is a Japanese singer and actress who starred in numerous movies and drama in Japan and released two solo albums and solo singles in the 1990s, after being part of the Japanese band ""Modern Choki Chokies"".']","Mari Hamada (濱田マリ Hamada Mari, born December 27, 1968 at Kobe, Hyogo, Japan) is a Japanese singer and actress who starred in numerous movies and drama in Japan and released two solo albums and solo singles in the 1990s, after being part of the Japanese band ""Modern Choki Chokies"".",,
20,Jeet Ganguly,[X] is [Y] citizen .,India,"In the past Jeet was a member of the Board of Directors of Transocean Ltd, Larsen & Toubro ([MASK]) Limited.","In the past Jeet was a member of the Board of Directors of Transocean Ltd, Larsen & Toubro (India) Limited.","['jeet was a member of the board of directors of the larsen toubro india limited transocean ltd in the past', 'in the past jeet was a member of the board of directors of transocean limited larsen toubro india limited', 'in the past jeet was a member of the board of directors of transocean ltd larsen toubro india limited']",jeet was a member of the board of directors of the larsen toubro [MASK] limited transocean ltd in the past,in the past jeet was a member of the board of directors of transocean limited larsen toubro [MASK] limited,in the past jeet was a member of the board of directors of transocean ltd larsen toubro [MASK] limited
21,Arturo Rodas,[X] is [Y] citizen .,Ecuador,Arturo Rodas (3 March 1954 in Quito) is an [MASK] French-citizen composer.,Arturo Rodas (3 March 1954 in Quito) is an Ecuador French-citizen composer.,['Arturo Rodas (3 March 1954 in Quito) is an Ecuador French-citizen composer.'],Arturo Rodas (3 March 1954 in Quito) is an Ecuador French-citizen composer.,,
22,Enrique Llanes,[X] is [Y] citizen .,Mexico,"Enrique Juan Yañez González (August 24, 1919 – September 18, 2004), best known under the ring name Enrique Llanes, was one of the premier Hispanic professional wrestlers in the early days of Lucha Libre when most wrestlers were imported from outside of [MASK].","Enrique Juan Yañez González (August 24, 1919 – September 18, 2004), best known under the ring name Enrique Llanes, was one of the premier Hispanic professional wrestlers in the early days of Lucha Libre when most wrestlers were imported from outside of Mexico.",['enrique juan yaez gonzlez 24 august 1919 18 september 2004 best known under the ring name enrique llanes was one of the finest hispanic professional wrestlers in the early days of lucha libre when most wrestlers were imported from'],enrique juan yaez gonzlez 24 august 1919 18 september 2004 best known under the ring name enrique llanes was one of the finest hispanic professional wrestlers in the early days of lucha libre when most wrestlers were imported from,,
23,Lionel Messi,[X] is [Y] citizen .,Argentina,"Eduardo Messi, president of Nucleoeléctrica [MASK] S.A.","Eduardo Messi, president of Nucleoeléctrica Argentina S.A.","['Eduardo Messi, president of Nucleoeléctrica Argentina S.A.']","Eduardo Messi, president of Nucleoeléctrica Argentina S.A.",,
24,Diosdado Cabello,[X] is [Y] citizen .,Venezuela,"Diosdado Cabello Rondón (born 15 April 1963) is a Venezuelan politician, member of the National Assembly of [MASK] and a former Speaker of the country's legislature, and active member of the Venezuelan armed forces.","Diosdado Cabello Rondón (born 15 April 1963) is a Venezuelan politician, member of the National Assembly of Venezuela and a former Speaker of the country's legislature, and active member of the Venezuelan armed forces.","[""Diosdado Cabello Rondón (born 15 April 1963) is a Venezuelan politician, member of the National Assembly of Venezuela and a former Speaker of the country's legislature, and active member of the Venezuelan armed forces.""]","Diosdado Cabello Rondón (born 15 April 1963) is a Venezuelan politician, member of the National Assembly of Venezuela and a former Speaker of the country's legislature, and active member of the Venezuelan armed forces.",,
25,Ken Okuyama,[X] is [Y] citizen .,Japan,His given name is Kiyoyuki Okuyama (奥山 清行 Okuyama Kiyoyuki) but goes by Ken Okuyama (ケン・オクヤマ) outside [MASK].,His given name is Kiyoyuki Okuyama (奥山 清行 Okuyama Kiyoyuki) but goes by Ken Okuyama (ケン・オクヤマ) outside Japan.,['his given name is kiyoyuki okuyama okuyama kiyoyuki but outside japan he is known as ken okuyama'],his given name is kiyoyuki okuyama okuyama kiyoyuki but outside [MASK] he is known as ken okuyama,,
26,Itta of Metz,[X] is [Y] citizen .,Belgium,"626 – March 17, 659) was a seventh-century abbess who, with her mother Itta, founded the Benedictine monastery of Nivelles in present-day [MASK].","626 – March 17, 659) was a seventh-century abbess who, with her mother Itta, founded the Benedictine monastery of Nivelles in present-day Belgium.","['626 – March 17, 659) was a seventh-century abbess who, with her mother Itta, founded the Benedictine monastery of Nivelles in present-day Belgium.']","626 – March 17, 659) was a seventh-century abbess who, with her mother Itta, founded the Benedictine monastery of Nivelles in present-day Belgium.",,
27,Leonardo Silva,[X] is [Y] citizen .,Brazil,"Hugo Leonardo Silva Serejo or simply Léo Silva (born December 24, 1985 in São Luis, [MASK]), is an association footballer who currently plays for Albirex Niigata.","Hugo Leonardo Silva Serejo or simply Léo Silva (born December 24, 1985 in São Luis, Brazil), is an association footballer who currently plays for Albirex Niigata.","['Hugo Leonardo Silva Serejo or simply Léo Silva (born December 24, 1985 in São Luis, Brazil), is an association footballer who currently plays for Albirex Niigata.']","Hugo Leonardo Silva Serejo or simply Léo Silva (born December 24, 1985 in São Luis, Brazil), is an association footballer who currently plays for Albirex Niigata.",,
28,Andrew Bogut,[X] is [Y] citizen .,Australia,"Virgin Islands) in 1997, Michael Olowokandi (Nigeria) in 1998, Andrew Bogut ([MASK]) in 2005, Kyrie Irving (Australia) in 2011, Anthony Bennett (Canada) in 2013, Andrew Wiggins (Canada) in 2014, and Karl-Anthony Towns (Dominican Republic) in 2015.","Virgin Islands) in 1997, Michael Olowokandi (Nigeria) in 1998, Andrew Bogut (Australia) in 2005, Kyrie Irving (Australia) in 2011, Anthony Bennett (Canada) in 2013, Andrew Wiggins (Canada) in 2014, and Karl-Anthony Towns (Dominican Republic) in 2015.","['Virgin Islands) in 1997, Michael Olowokandi (Nigeria) in 1998, Andrew Bogut (Australia) in 2005, Kyrie Irving (Australia) in 2011, Anthony Bennett (Canada) in 2013, Andrew Wiggins (Canada) in 2014, and Karl-Anthony Towns (Dominican Republic) in 2015.']","Virgin Islands) in 1997, Michael Olowokandi (Nigeria) in 1998, Andrew Bogut (Australia) in 2005, Kyrie Irving (Australia) in 2011, Anthony Bennett (Canada) in 2013, Andrew Wiggins (Canada) in 2014, and Karl-Anthony Towns (Dominican Republic) in 2015.",,
29,Juma Ikangaa,[X] is [Y] citizen .,Tanzania,"He came second in the 1989 New York City Marathon in 2:09:38 to [MASK]’s Juma Ikangaa’s 2:08:01; as of 2007, that was the fourth-fastest marathon time by an American-born athlete.","He came second in the 1989 New York City Marathon in 2:09:38 to Tanzania’s Juma Ikangaa’s 2:08:01; as of 2007, that was the fourth-fastest marathon time by an American-born athlete.",,,,
30,Marlene Favela,[X] is [Y] citizen .,Mexico,"Marlene Favela (born Silvia Marlene Favela Meraz on August 5, 1976 in Santiago Papasquiaro, Durango, [MASK]) is a Mexican actress.","Marlene Favela (born Silvia Marlene Favela Meraz on August 5, 1976 in Santiago Papasquiaro, Durango, Mexico) is a Mexican actress.","['Marlene Favela (born Silvia Marlene Favela Meraz on August 5, 1976 in Santiago Papasquiaro, Durango, Mexico) is a Mexican actress.']","Marlene Favela (born Silvia Marlene Favela Meraz on August 5, 1976 in Santiago Papasquiaro, Durango, Mexico) is a Mexican actress.",,
31,Abdul Khalid Ibrahim,[X] is [Y] citizen .,Malaysia,He was a Member of Parliament of (P124) Bandar Tun Razak in Wilayah Persekutuan (Federal Territory) of [MASK]) representing the National Front Coalition (Barisan Nasional) for 3 terms until he lost to Tan Sri Abdul Khalid Ibrahim of Parti Keadilan Rakyat (PKR) in the twelfth General Election in Malaysia on 8 March 2008.,He was a Member of Parliament of (P124) Bandar Tun Razak in Wilayah Persekutuan (Federal Territory) of Malaysia) representing the National Front Coalition (Barisan Nasional) for 3 terms until he lost to Tan Sri Abdul Khalid Ibrahim of Parti Keadilan Rakyat (PKR) in the twelfth General Election in Malaysia on 8 March 2008.,['He was a Member of Parliament of (P124) Bandar Tun Razak in Wilayah Persekutuan (Federal Territory) of Malaysia) representing the National Front Coalition (Barisan Nasional) for 3 terms until he lost to Tan Sri Abdul Khalid Ibrahim of Parti Keadilan Rakyat (PKR) in the twelfth General Election in Malaysia on 8 March 2008.'],He was a Member of Parliament of (P124) Bandar Tun Razak in Wilayah Persekutuan (Federal Territory) of Malaysia) representing the National Front Coalition (Barisan Nasional) for 3 terms until he lost to Tan Sri Abdul Khalid Ibrahim of Parti Keadilan Rakyat (PKR) in the twelfth General Election in Malaysia on 8 March 2008.,,
32,Prince Leka of Albania,[X] is [Y] citizen .,Albania,"Prince Leka of [MASK] (Leka Anwar Zog Reza Baudouin Msiziwe Zogu, born 26 March 1982) is the only child of Leka, Crown Prince of Albania and Susan Cullen-Ward.","Prince Leka of Albania (Leka Anwar Zog Reza Baudouin Msiziwe Zogu, born 26 March 1982) is the only child of Leka, Crown Prince of Albania and Susan Cullen-Ward.","['Prince Leka of Albania (Leka Anwar Zog Reza Baudouin Msiziwe Zogu, born 26 March 1982) is the only child of Leka, Crown Prince of Albania and Susan Cullen-Ward.']","Prince Leka of Albania (Leka Anwar Zog Reza Baudouin Msiziwe Zogu, born 26 March 1982) is the only child of Leka, Crown Prince of Albania and Susan Cullen-Ward.",,
33,Auguste Forel,[X] is [Y] citizen .,Switzerland,"Other famous students of Meynert's were Russian neuropsychiatrist Sergei Korsakoff (1854–1900), German neuropathologist Carl Wernicke (1848–1905) and [MASK] neuroanatomist Auguste-Henri Forel (1848–1931).","Other famous students of Meynert's were Russian neuropsychiatrist Sergei Korsakoff (1854–1900), German neuropathologist Carl Wernicke (1848–1905) and Switzerland neuroanatomist Auguste-Henri Forel (1848–1931).","['other famous meynert students were russian neuropsychiatrist sergei korsakoff 18541900 german neuropathologist carl wernicke 18481905 and switzerland neuroanatomist auguste-henri forel 18481931', 'other famous students of meynert were the russian neuropsychiatrist sergei korsakoff 18541900 german neuropathologist carl wernicke 18481905 and switzerland neuroanatomist auguste-henri forel 18481931', 'other famous students of meynert were russian neuropsychiatrist sergei korsakoff 18541900 german neuropathologist carl wernicke 18481905 and switzerland neuroanatomist auguste-henri forel 18481931']",other famous meynert students were russian neuropsychiatrist sergei korsakoff 18541900 german neuropathologist carl wernicke 18481905 and [MASK] neuroanatomist auguste-henri forel 18481931,other famous students of meynert were the russian neuropsychiatrist sergei korsakoff 18541900 german neuropathologist carl wernicke 18481905 and [MASK] neuroanatomist auguste-henri forel 18481931,other famous students of meynert were russian neuropsychiatrist sergei korsakoff 18541900 german neuropathologist carl wernicke 18481905 and [MASK] neuroanatomist auguste-henri forel 18481931
34,Alfred Werner,[X] is [Y] citizen .,Switzerland,Alfred Werner (12 December 1866 – 15 November 1919) was a [MASK] chemist who was a student at ETH Zurich and a professor at the University of Zurich.,Alfred Werner (12 December 1866 – 15 November 1919) was a Switzerland chemist who was a student at ETH Zurich and a professor at the University of Zurich.,"['alfred werner december 12 1866 - november 15 1919 was a switzerland chemist who was a student at eth zurich and professor at the university of zurich', 'alfred werner 12 december 1866 15 november 1919 was a swiss chemist who was a student at the eth zurich and a professor at the university of zurich', 'alfred werner 12 december 1866 15 november 1919 was a swiss chemist who was a student at eth zurich and a professor at the university of zurich']",alfred werner december 12 1866 - november 15 1919 was a [MASK] chemist who was a student at eth zurich and professor at the university of zurich,alfred werner 12 december 1866 15 november 1919 was a swiss chemist who was a student at the eth zurich and a professor at the university of zurich,alfred werner 12 december 1866 15 november 1919 was a swiss chemist who was a student at eth zurich and a professor at the university of zurich
35,Helga Nowotny,[X] is [Y] citizen .,Austria,The previous ERC President Helga Nowotny is from [MASK].,The previous ERC President Helga Nowotny is from Austria.,"['the previous president of the erc helga nowotny is austrian', 'the former erc president helga nowotny is from austria']",the previous president of the erc helga nowotny is austrian,the former erc president helga nowotny is from [MASK],
36,Szymon Szymonowic,[X] is [Y] citizen .,Poland,"Zimorowic acknowledges the most important earlier [MASK] pastoral poet Szymon Szymonowic, whose Sielanki appeared in 1614, as his master, but his own poems are notable for their local, ""Ruthenian"" (i.e.","Zimorowic acknowledges the most important earlier Poland pastoral poet Szymon Szymonowic, whose Sielanki appeared in 1614, as his master, but his own poems are notable for their local, ""Ruthenian"" (i.e.","['Zimorowic acknowledges the most important earlier Poland pastoral poet Szymon Szymonowic, whose Sielanki appeared in 1614, as his master, but his own poems are notable for their local, ""Ruthenian"" (i.e.']","Zimorowic acknowledges the most important earlier Poland pastoral poet Szymon Szymonowic, whose Sielanki appeared in 1614, as his master, but his own poems are notable for their local, ""Ruthenian"" (i.e.",,
38,Inge Magnusson,[X] is [Y] citizen .,Norway,Inge Magnusson or Inge Baglar-king was from 1196 to 1202 the Bagler candidate for pretender to the Norwegian throne during the Civil war era in [MASK].,Inge Magnusson or Inge Baglar-king was from 1196 to 1202 the Bagler candidate for pretender to the Norwegian throne during the Civil war era in Norway.,['Inge Magnusson or Inge Baglar-king was from 1196 to 1202 the Bagler candidate for pretender to the Norwegian throne during the Civil war era in Norway.'],Inge Magnusson or Inge Baglar-king was from 1196 to 1202 the Bagler candidate for pretender to the Norwegian throne during the Civil war era in Norway.,,
39,Eleanor Wachtel,[X] is [Y] citizen .,Canada,"Journalist Eleanor Wachtel describes a major problem faced by feminist magazines and journals in [MASK] in her 1983 report on Feminist Print Media as involving ""a small population stretched out across 4000 miles"".","Journalist Eleanor Wachtel describes a major problem faced by feminist magazines and journals in Canada in her 1983 report on Feminist Print Media as involving ""a small population stretched out across 4000 miles"".","['journalist eleanor wachtel describes a major problem faced by feminist magazines and journals in canada in her 1983 report on feminist print media as involving a small population that stretched across 4000 miles', 'journalist eleanor wachtel describes a major problem faced by feminist magazines and journals in canada in her 1983 report on feminist print media as involving a small population spread out across 4000 miles']",journalist eleanor wachtel describes a major problem faced by feminist magazines and journals in [MASK] in her 1983 report on feminist print media as involving a small population that stretched across 4000 miles,journalist eleanor wachtel describes a major problem faced by feminist magazines and journals in [MASK] in her 1983 report on feminist print media as involving a small population spread out across 4000 miles,
40,Charles II of Spain,[X] is [Y] citizen .,Spain,"Claude Lamoral, 3rd Prince of Ligne, Prince of Epinoy, Marquis of Roubaix and Count of Fauquemberg (8 October 1618 – 21 December 1679), was a nobleman from the Spanish Netherlands, military and diplomate in the service of Philip IV of [MASK] and Charles II of Spain .","Claude Lamoral, 3rd Prince of Ligne, Prince of Epinoy, Marquis of Roubaix and Count of Fauquemberg (8 October 1618 – 21 December 1679), was a nobleman from the Spanish Netherlands, military and diplomate in the service of Philip IV of Spain and Charles II of Spain .","['Claude Lamoral, 3rd Prince of Ligne, Prince of Epinoy, Marquis of Roubaix and Count of Fauquemberg (8 October 1618 – 21 December 1679), was a nobleman from the Spanish Netherlands, military and diplomate in the service of Philip IV of Spain and Charles II of Spain .']","Claude Lamoral, 3rd Prince of Ligne, Prince of Epinoy, Marquis of Roubaix and Count of Fauquemberg (8 October 1618 – 21 December 1679), was a nobleman from the Spanish Netherlands, military and diplomate in the service of Philip IV of Spain and Charles II of Spain .",,
41,Jean Baptiste Abbeloos,[X] is [Y] citizen .,Belgium,"Quadrophonia were a Dutch/[MASK] electronic music collective, formed by Olivier Abbeloos (also known as part of T99) and Lucien Foort in the late 1980s, with several of their tracks performed by Marvin D (Marvin Tholen).","Quadrophonia were a Dutch/Belgium electronic music collective, formed by Olivier Abbeloos (also known as part of T99) and Lucien Foort in the late 1980s, with several of their tracks performed by Marvin D (Marvin Tholen).","['Quadrophonia were a Dutch/Belgium electronic music collective, formed by Olivier Abbeloos (also known as part of T99) and Lucien Foort in the late 1980s, with several of their tracks performed by Marvin D (Marvin Tholen).']","Quadrophonia were a Dutch/Belgium electronic music collective, formed by Olivier Abbeloos (also known as part of T99) and Lucien Foort in the late 1980s, with several of their tracks performed by Marvin D (Marvin Tholen).",,
