,sub_label,template,obj_label,masked_sentence,filled_sentence,T5_paraphrased_filled_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
10,Chess Records,[X] plays [Y] music .,jazz,"Lafayette Leake (June 1, 1919 – August 14, 1990) was a blues and [MASK] pianist, organist, vocalist and composer who played for Chess Records as a session musician, and as a member of the Big Three Trio, during the formative years of Chicago blues.","Lafayette Leake (June 1, 1919 – August 14, 1990) was a blues and jazz pianist, organist, vocalist and composer who played for Chess Records as a session musician, and as a member of the Big Three Trio, during the formative years of Chicago blues.","[""During the formative years of Chicago blues, Lafayette Leake was a jazz and bluegrass pianist, organist, vocalist (June 1, 1919 – August 14, 1990) who played for Chess Records as'session' and with the Big Three Trio."", ""In the early days of Chicago blues, Lafayette Leake was a versatile musician who played as tenor, bass and keyboard for Chess Records. He also went on to become renowned as an accomplished jazz pianist, vocalist, composer, and session musician before joining the band as part of the Big Three Trio in New York City's West Side Story."", ""The life of Lafayette Leake, a blues and jazz pianist who played for Chess Records as'session musician' and as part of the Big Three Trio during the formative years of Chicago bluegrass, is chronicled in chronological order."", 'Lafayette Leake, a blues and jazz pianist, organist, vocalist (who died in 1985), was born in Chicago but made his mark during the formative years of bluegrass music. He played as wingman for Chess Records as an early session musician and also became  part of the Big Three Trio.']","During the formative years of Chicago jazz, Lafayette Leake was a [MASK] and bluegrass pianist, organist, vocalist (June 1, 1919 – August 14, 1990) who played for Chess Records as'session' and with the Big Three Trio.","In the early days of Chicago jazz, Lafayette Leake was a versatile musician who played as tenor, bass and keyboard for Chess Records. He also went on to become renowned as an accomplished [MASK] pianist, vocalist, composer, and session musician before joining the band as part of the Big Three Trio in New York City's West Side Story.","The life of Lafayette Leake, a jazz and [MASK] pianist who played for Chess Records as'session musician' and as part of the Big Three Trio during the formative years of Chicago bluegrass, is chronicled in chronological order.","Lafayette Leake, a jazz and [MASK] pianist, organist, vocalist (who died in 1985), was born in Chicago but made his mark during the formative years of bluegrass music. He played as wingman for Chess Records as an early session musician and also became  part of the Big Three Trio."
11,Natalie Dessay,[X] plays [Y] music .,opera,"He also recorded the small role of Hadji in the same [MASK], opposite Natalie Dessay in 1998.","He also recorded the small role of Hadji in the same opera, opposite Natalie Dessay in 1998.","['In 1998, he recorded the small role of Hadji in the same opera with Natalie Dessay.', 'The same opera in which he appeared opposite Natalie Dessay, Hadji (a small role) was also recorded by him in 1998.', 'He also recorded the small role of Hadji opposite Natalie Dessay in the same opera, which he appeared in in 1998.', 'Hadji, a small role in the opera with Natalie Dessay, was also recorded by him in 1998.']","In 1998, he recorded the small role of Hadji in the same [MASK] with Natalie Dessay.","The same [MASK] in which he appeared opposite Natalie Dessay, Hadji (a small role) was also recorded by him in 1998.","He also recorded the small role of Hadji opposite Natalie Dessay in the same [MASK], which he appeared in in 1998.","Hadji, a small role in the [MASK] with Natalie Dessay, was also recorded by him in 1998."
12,Reynaldo Hahn,[X] plays [Y] music .,opera,"His [MASK] librettos include Massenet's Chérubin (1905), based on his play of the same name, and Reynaldo Hahn's Ciboulette (1923).","His opera librettos include Massenet's Chérubin (1905), based on his play of the same name, and Reynaldo Hahn's Ciboulette (1923).","['His opera librettos comprise Chérubin (1905) by Massenet, adapted from his play of the same name, and Ciboulette (1923) written by Reynaldo Hahn.', ""Massenet's Chérubin (1905) and Reynaldo Hahn'S Ciboulette (1923) are both examples of opera librettos."", 'Chérubin (1905) by Massenet and Ciboulette (1923) (by Reynaldo Hahn), both opera librettos, were composed by him.', 'The opera librettos of Massenet, Chérubin (1905), and Ciboulette (1923) are both based on the same play.']","His [MASK] librettos comprise Chérubin (1905) by Massenet, adapted from his play of the same name, and Ciboulette (1923) written by Reynaldo Hahn.",Massenet's Chérubin (1905) and Reynaldo Hahn'S Ciboulette (1923) are both examples of [MASK] librettos.,"Chérubin (1905) by Massenet and Ciboulette (1923) (by Reynaldo Hahn), both [MASK] librettos, were composed by him.","The [MASK] librettos of Massenet, Chérubin (1905), and Ciboulette (1923) are both based on the same play."
13,Mighty Diamonds,[X] plays [Y] music .,reggae,Right Time is the 1976 studio album debut of influential [MASK] band the Mighty Diamonds.,Right Time is the 1976 studio album debut of influential reggae band the Mighty Diamonds.,"[""The Mighty Diamonds' Right Time, their 1976 studio album, was their groundbreaking work."", 'Right Time, released in 1976, is the first studio album by the Mighty Diamonds, an influential reggae band.', 'The Mighty Diamonds, a highly influential reggae band, launched their debut album Right Time in 1976.', 'In 1976, the Mighty Diamonds released their debut studio album named Right Time.']","The Mighty Diamonds' Right Time, their 1976 studio album, was their groundbreaking work.","Right Time, released in 1976, is the first studio album by the Mighty Diamonds, an influential [MASK] band.","The Mighty Diamonds, a highly influential [MASK] band, launched their debut album Right Time in 1976.","In 1976, the Mighty Diamonds released their debut studio album named Right Time."
14,Chick Corea,[X] plays [Y] music .,jazz,"[citation needed]In addition to releasing several albums under his own name or in association with other Hong Kong musicians, Pao has played with Jeremy Monteiro's group Asiana and with many leading international performers in the [MASK] field, including Jimmy Witherspoon, Michael Brecker, Jack DeJohnette, Chick Corea and Herbie Hancock.","[citation needed]In addition to releasing several albums under his own name or in association with other Hong Kong musicians, Pao has played with Jeremy Monteiro's group Asiana and with many leading international performers in the jazz field, including Jimmy Witherspoon, Michael Brecker, Jack DeJohnette, Chick Corea and Herbie Hancock.","[""Besides releasing multiple albums under his own name or in partnership with other Hong Kong musicians, Pao has also performed with Jeremy Monteiro's group Asiana and many prominent international jazz artists such as Jimmy Witherspoon (of The Rolling Stones), Michael Brecker, Jack DeJohnette, Chick Corea, and Herbie Hancock."", ""In addition to his solo career and album releases with Jeremy Monteiro's group Asiana, Pao has also played with prominent international jazz musicians such as Jimmy Witherspoon, Michael Brecker, Jack DeJohnette, Chick Corea."", ""Pao has released a number of albums under his own name or in partnership with other Hong Kong musicians, and has also played with prominent international jazz artists such as Jimmy Witherspoon, Michael Brecker, Jack DeJohnette, Chick Corea, Herbie Hancock, Robert Trudell, J.K. Rowling, Meredith Curran, Ben Stiller, LeBron James, Amber Sheen, Jennifer Hudson, Lilly Danvers, Carrie Fisherman, Eric Clapton, Madonna's band Asiana and Kelly on the Van Zhouhousoningjiang,"", ""Alongside his solo endeavors, Pao has released a number of albums under the name of Hong Kong musicians such as Monteiro's group Asiana and played with prominent international jazz artists such Astaire-Jon Cunningham, Robert Trujillo, Pablo Picasso (Prazak), Kok Filippo, The Machine Gun, Larry Brown, Jonny Parry, Madonna (1964), Shakira Akramsurag, and Yayuki Yamauchi.""]","Besides releasing multiple albums under his own name or in partnership with other Hong Kong musicians, Pao has also performed with Jeremy Monteiro's group Asiana and many prominent international [MASK] artists such as Jimmy Witherspoon (of The Rolling Stones), Michael Brecker, Jack DeJohnette, Chick Corea, and Herbie Hancock.","In addition to his solo career and album releases with Jeremy Monteiro's group Asiana, Pao has also played with prominent international [MASK] musicians such as Jimmy Witherspoon, Michael Brecker, Jack DeJohnette, Chick Corea.","Pao has released a number of albums under his own name or in partnership with other Hong Kong musicians, and has also played with prominent international [MASK] artists such as Jimmy Witherspoon, Michael Brecker, Jack DeJohnette, Chick Corea, Herbie Hancock, Robert Trudell, J.K. Rowling, Meredith Curran, Ben Stiller, LeBron James, Amber Sheen, Jennifer Hudson, Lilly Danvers, Carrie Fisherman, Eric Clapton, Madonna's band Asiana and Kelly on the Van Zhouhousoningjiang,","Alongside his solo endeavors, Pao has released a number of albums under the name of Hong Kong musicians such as Monteiro's group Asiana and played with prominent international [MASK] artists such Astaire-Jon Cunningham, Robert Trujillo, Pablo Picasso (Prazak), Kok Filippo, The Machine Gun, Larry Brown, Jonny Parry, Madonna (1964), Shakira Akramsurag, and Yayuki Yamauchi."
15,Benedetto Marcello,[X] plays [Y] music .,opera,Marcello Giordani (birth name Marcello Guagliardo; born 25 January 1963) is an Italian operatic tenor who has sung leading roles in [MASK] houses throughout Europe and the United States.,Marcello Giordani (birth name Marcello Guagliardo; born 25 January 1963) is an Italian operatic tenor who has sung leading roles in opera houses throughout Europe and the United States.,"['An Italian operatic tenor, Marcello Giordani (born 25 January 1963), has performed in leading roles in opera houses across Europe and the United States.', 'Marcello Giordani, also known as Marcella Guagliardo, is an Italian operatic tenor who has performed in major opera houses across Europe and the United States.', 'The operatic tenor Marcello Giordani, also known as Marcella Guagliardo, was born on 25 January 1963 and has since taken on leading roles in opera houses across Europe and the United States.', 'Marcello Giordani, born on 25 January 1963 as Marcella Guagliardo, is an Italian operatic tenor who has performed in leading roles in opera houses across Europe and the United States.']","An Italian operatic tenor, Marcello Giordani (born 25 January 1963), has performed in leading roles in [MASK] houses across Europe and the United States.","Marcello Giordani, also known as Marcella Guagliardo, is an Italian operatic tenor who has performed in major [MASK] houses across Europe and the United States.","The operatic tenor Marcello Giordani, also known as Marcella Guagliardo, was born on 25 January 1963 and has since taken on leading roles in [MASK] houses across Europe and the United States.","Marcello Giordani, born on 25 January 1963 as Marcella Guagliardo, is an Italian operatic tenor who has performed in leading roles in [MASK] houses across Europe and the United States."
16,World of Ice and Fire,[X] plays [Y] music .,fantasy,"Game of Thrones: Seven Kingdoms is a [MASK] massively multiplayer online role-playing game (MMORPG), currently under development by video game developers Bigpoint and Artplant, in collaboration with HBO.","Game of Thrones: Seven Kingdoms is a fantasy massively multiplayer online role-playing game (MMORPG), currently under development by video game developers Bigpoint and Artplant, in collaboration with HBO.","['A fantasy MMORPG game called Game of Thrones: Seven Kingdoms is being developed by Bigpoint and Artplant in partnership with HBO.', 'Game of Thrones: Seven Kingdoms, an online role-playing game for fantasy games, is being developed by Bigpoint and Artplant in partnership with HBO.', 'The game, which is being developed by Bigpoint and Artplant in collaboration with HBO, is an online role-playing game that explores multiple worlds of fantasy.', 'Bigpoint and Artplant, two video game developers, are working together to create an MMORPG called Game of Thrones: Seven Kingdoms, which is set in the fictional world of EastEnder.']",A [MASK] MMORPG game called Game of Thrones: Seven Kingdoms is being developed by Bigpoint and Artplant in partnership with HBO.,"Game of Thrones: Seven Kingdoms, an online role-playing game for [MASK] games, is being developed by Bigpoint and Artplant in partnership with HBO.","The game, which is being developed by Bigpoint and Artplant in collaboration with HBO, is an online role-playing game that explores multiple worlds of [MASK].","Bigpoint and Artplant, two video game developers, are working together to create an MMORPG called Game of Thrones: Seven Kingdoms, which is set in the fictional world of EastEnder."
17,Naxos Records,[X] plays [Y] music .,jazz,"Through a number of imprints, Naxos also releases genres including Chinese music, [MASK], world music, and early rock & roll.","Through a number of imprints, Naxos also releases genres including Chinese music, jazz, world music, and early rock & roll.","['Naxos has a diverse range of imprints, including those that specialize in Chinese music, jazz, world music (including punk), and early rock & roll.', 'Various imprints are available from Naxos, including Chinese music, jazz, world musical art, and early rock & roll.', 'Naxos releases several imprints, including Chinese music as well as jazz, world music, and early rock & roll.', 'Through various imprints, Naxos is able to release a range of genres such as Chinese music, jazz, world music (including punk), and early rock & roll.']","Naxos has a diverse range of imprints, including those that specialize in Chinese music, [MASK], world music (including punk), and early rock & roll.","Various imprints are available from Naxos, including Chinese music, jazz, world [MASK] art, and early rock & roll.","Naxos releases several imprints, including Chinese music as well as [MASK], world music, and early rock & roll.","Through various imprints, Naxos is able to release a range of genres such as Chinese music, [MASK], world music (including punk), and early rock & roll."
18,Vinnie Burke,[X] plays [Y] music .,jazz,"Vinnie Burke (born Vincenzo Bucci) (March 15, 1921 – February 1, 2001) was an American [MASK] bassist born in Newark, New Jersey.","Vinnie Burke (born Vincenzo Bucci) (March 15, 1921 – February 1, 2001) was an American jazz bassist born in Newark, New Jersey.","['Vinnie Burke, an American jazz bassist born in Newark, New Jersey, and originally known as Vincenzo Bucci, passed away on March 15, 1921, but died on February 1, 2001.', 'The American jazz bassist Vinnie Burke, who was born in Newark, New Jersey on March 15, 1921 and passed away on February 1, 2001, was known as Vincenzo Bucci.', 'Vincenzo Bucci, who was born in Newark, New Jersey on March 15, 1921, passed away on February 1, 2001, and is known for his work as an American jazz bassist.', 'An American jazz bassist named Vinnie Burke, who was born in Newark on March 15, 1921, passed away in February 1, 2001, having been born to Vincenzo Bucci.']","Vinnie Burke, an American [MASK] bassist born in Newark, New Jersey, and originally known as Vincenzo Bucci, passed away on March 15, 1921, but died on February 1, 2001.","The American [MASK] bassist Vinnie Burke, who was born in Newark, New Jersey on March 15, 1921 and passed away on February 1, 2001, was known as Vincenzo Bucci.","Vincenzo Bucci, who was born in Newark, New Jersey on March 15, 1921, passed away on February 1, 2001, and is known for his work as an American [MASK] bassist.","An American [MASK] bassist named Vinnie Burke, who was born in Newark on March 15, 1921, passed away in February 1, 2001, having been born to Vincenzo Bucci."
19,Bob Enevoldsen,[X] plays [Y] music .,jazz,Steve White was friends with [MASK] musicians Harry Babasin and Bob Enevoldsen from the 1950s onwards.,Steve White was friends with jazz musicians Harry Babasin and Bob Enevoldsen from the 1950s onwards.,"['Steve White and jazz musicians Harry Babasin and Bob Enevoldsen were friends from the 1950s onwards.', 'Harry Babasin and Bob Enevoldsen were among the jazz musicians that Steve White had a friendship with from the 1950s onwards.', 'From the 1950s onwards, Steve White was acquainted with jazz musicians Harry Babasin and Bob Enevoldrecht.', ""Jazz musicians Harry Babasin and Bob Enevoldsen were friends of Steve White since the 1950's.""]",Steve White and [MASK] musicians Harry Babasin and Bob Enevoldsen were friends from the 1950s onwards.,Harry Babasin and Bob Enevoldsen were among the [MASK] musicians that Steve White had a friendship with from the 1950s onwards.,"From the 1950s onwards, Steve White was acquainted with [MASK] musicians Harry Babasin and Bob Enevoldrecht.",Jazz musicians Harry Babasin and Bob Enevoldsen were friends of Steve White since the 1950's.
