,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
10,Chess Records,[X] plays [Y] music .,jazz,"Lafayette Leake (June 1, 1919 – August 14, 1990) was a blues and [MASK] pianist, organist, vocalist and composer who played for Chess Records as a session musician, and as a member of the Big Three Trio, during the formative years of Chicago blues.","Lafayette Leake (June 1, 1919 – August 14, 1990) was a blues and jazz pianist, organist, vocalist and composer who played for Chess Records as a session musician, and as a member of the Big Three Trio, during the formative years of Chicago blues.","['Lafayette Leake (June 1, 1919 – August 14, 1990) was a blues and jazz pianist, organist, vocalist and composer who played for Chess Records as a session musician, and as a member of the Big Three Trio, during the formative years of Chicago blues.']","Lafayette Leake (June 1, 1919 – August 14, 1990) was a jazz and jazz pianist, organist, vocalist and composer who played for Chess Records as a session musician, and as a member of the Big Three Trio, during the formative years of Chicago [MASK].",,
11,Natalie Dessay,[X] plays [Y] music .,opera,"He also recorded the small role of Hadji in the same [MASK], opposite Natalie Dessay in 1998.","He also recorded the small role of Hadji in the same opera, opposite Natalie Dessay in 1998.",['he also recorded in 1998 the small role of hadji in the same opera opposite natalie dessay'],he also recorded in 1998 the small role of hadji in the same [MASK] opposite natalie dessay,,
12,Reynaldo Hahn,[X] plays [Y] music .,opera,"His [MASK] librettos include Massenet's Chérubin (1905), based on his play of the same name, and Reynaldo Hahn's Ciboulette (1923).","His opera librettos include Massenet's Chérubin (1905), based on his play of the same name, and Reynaldo Hahn's Ciboulette (1923).","[""his opera libretti include massenet's chrubin 1905 based on his play of the same name and reynaldo hahn's ciboulette 1923"", ""his opera librettos include massenet's chrubin 1905 based on his play of the same name and reynaldo hahn's ciboulette 1923""]",his [MASK] libretti include massenet's chrubin 1905 based on his play of the same name and reynaldo hahn's ciboulette 1923,his [MASK] librettos include massenet's chrubin 1905 based on his play of the same name and reynaldo hahn's ciboulette 1923,
13,Mighty Diamonds,[X] plays [Y] music .,reggae,Right Time is the 1976 studio album debut of influential [MASK] band the Mighty Diamonds.,Right Time is the 1976 studio album debut of influential reggae band the Mighty Diamonds.,['Right Time is the 1976 studio album debut of influential reggae band the Mighty Diamonds.'],Right Time is the 1976 studio album debut of influential [MASK] band the Mighty Diamonds.,,
14,Chick Corea,[X] plays [Y] music .,jazz,"[citation needed]In addition to releasing several albums under his own name or in association with other Hong Kong musicians, Pao has played with Jeremy Monteiro's group Asiana and with many leading international performers in the [MASK] field, including Jimmy Witherspoon, Michael Brecker, Jack DeJohnette, Chick Corea and Herbie Hancock.","[citation needed]In addition to releasing several albums under his own name or in association with other Hong Kong musicians, Pao has played with Jeremy Monteiro's group Asiana and with many leading international performers in the jazz field, including Jimmy Witherspoon, Michael Brecker, Jack DeJohnette, Chick Corea and Herbie Hancock.","[""in addition to publishing several albums under his own name or in association with other hong kong musicians pao has played with jeremy monteiro's group asiana and with many leading international jazz artists including herbie hancock michael brecker""]",in addition to publishing several albums under his own name or in association with other hong kong musicians pao has played with jeremy monteiro's group asiana and with many leading international [MASK] artists including herbie hancock michael brecker,,
15,Benedetto Marcello,[X] plays [Y] music .,opera,Marcello Giordani (birth name Marcello Guagliardo; born 25 January 1963) is an Italian operatic tenor who has sung leading roles in [MASK] houses throughout Europe and the United States.,Marcello Giordani (birth name Marcello Guagliardo; born 25 January 1963) is an Italian operatic tenor who has sung leading roles in opera houses throughout Europe and the United States.,['Marcello Giordani (birth name Marcello Guagliardo; born 25 January 1963) is an Italian operatic tenor who has sung leading roles in opera houses throughout Europe and the United States.'],Marcello Giordani (birth name Marcello Guagliardo; born 25 January 1963) is an Italian operatic tenor who has sung leading roles in [MASK] houses throughout Europe and the United States.,,
16,World of Ice and Fire,[X] plays [Y] music .,fantasy,"Game of Thrones: Seven Kingdoms is a [MASK] massively multiplayer online role-playing game (MMORPG), currently under development by video game developers Bigpoint and Artplant, in collaboration with HBO.","Game of Thrones: Seven Kingdoms is a fantasy massively multiplayer online role-playing game (MMORPG), currently under development by video game developers Bigpoint and Artplant, in collaboration with HBO.","['game of thrones seven kingdoms is a fantasy online mmorpg now under development by video game developers bigpoint and artplant in collaboration with hbo', 'game of thrones seven kingdoms is a fantasy multiplayer online role-playing game mmorpg currently under development by the video game developers bigpoint and artplant in collaboration with hbo', 'game of thrones seven kingdoms is a fantasy massively multiplayer online role-playing game mmorpg currently under development by video game developers bigpoint and artplant in collaboration with hbo']",game of thrones seven kingdoms is a [MASK] online mmorpg now under development by video game developers bigpoint and artplant in collaboration with hbo,game of thrones seven kingdoms is a [MASK] multiplayer online role-playing game mmorpg currently under development by the video game developers bigpoint and artplant in collaboration with hbo,game of thrones seven kingdoms is a [MASK] massively multiplayer online role-playing game mmorpg currently under development by video game developers bigpoint and artplant in collaboration with hbo
17,Naxos Records,[X] plays [Y] music .,jazz,"Through a number of imprints, Naxos also releases genres including Chinese music, [MASK], world music, and early rock & roll.","Through a number of imprints, Naxos also releases genres including Chinese music, jazz, world music, and early rock & roll.","['Through a number of imprints, Naxos also releases genres including Chinese music, jazz, world music, and early rock & roll.']","Through a number of imprints, Naxos also releases genres including Chinese music, [MASK], world music, and early rock & roll.",,
18,Vinnie Burke,[X] plays [Y] music .,jazz,"Vinnie Burke (born Vincenzo Bucci) (March 15, 1921 – February 1, 2001) was an American [MASK] bassist born in Newark, New Jersey.","Vinnie Burke (born Vincenzo Bucci) (March 15, 1921 – February 1, 2001) was an American jazz bassist born in Newark, New Jersey.","['Vinnie Burke (born Vincenzo Bucci) (March 15, 1921 – February 1, 2001) was an American jazz bassist born in Newark, New Jersey.']","Vinnie Burke (born Vincenzo Bucci) (March 15, 1921 – February 1, 2001) was an American [MASK] bassist born in Newark, New Jersey.",,
19,Bob Enevoldsen,[X] plays [Y] music .,jazz,Steve White was friends with [MASK] musicians Harry Babasin and Bob Enevoldsen from the 1950s onwards.,Steve White was friends with jazz musicians Harry Babasin and Bob Enevoldsen from the 1950s onwards.,"['from the 1950s onwards steve white was friends with jazz musicians harry babasin and bob enevoldsen', 'steve white was a friend of jazz musicians harry babasin and bob enevoldsen from the 1950s', 'steve white was friends with jazz musicians harry babasin and bob enevoldsen from the 1950s onwards']",from the 1950s onwards steve white was friends with [MASK] musicians harry babasin and bob enevoldsen,steve white was a friend of [MASK] musicians harry babasin and bob enevoldsen from the 1950s,steve white was friends with [MASK] musicians harry babasin and bob enevoldsen from the 1950s onwards
20,Heath Brothers,[X] plays [Y] music .,jazz,"Percy Heath (April 30, 1923 – April 28, 2005) was an American [MASK] bassist, brother to tenor saxophonist Jimmy Heath and drummer Albert Heath, with whom he formed the Heath Brothers in 1975.","Percy Heath (April 30, 1923 – April 28, 2005) was an American jazz bassist, brother to tenor saxophonist Jimmy Heath and drummer Albert Heath, with whom he formed the Heath Brothers in 1975.","['Percy Heath (April 30, 1923 – April 28, 2005) was an American jazz bassist, brother to tenor saxophonist Jimmy Heath and drummer Albert Heath, with whom he formed the Heath Brothers in 1975.']","Percy Heath (April 30, 1923 – April 28, 2005) was an American [MASK] bassist, brother to tenor saxophonist Jimmy Heath and drummer Albert Heath, with whom he formed the Heath Brothers in 1975.",,
21,Darryl Jones,[X] plays [Y] music .,jazz,"Stone Raiders members are Jean-Paul Bourelly, a Chicago born jazz fusion and blues rock guitarist, Darryl Jones, also a Chicago born [MASK] and rock bass guitarist who also plays with The Rolling Stones, and Will Calhoun, an American drummer and a member of the group Living Colour.","Stone Raiders members are Jean-Paul Bourelly, a Chicago born jazz fusion and blues rock guitarist, Darryl Jones, also a Chicago born jazz and rock bass guitarist who also plays with The Rolling Stones, and Will Calhoun, an American drummer and a member of the group Living Colour.","['Stone Raiders members are Jean-Paul Bourelly, a Chicago born jazz fusion and blues rock guitarist, Darryl Jones, also a Chicago born jazz and rock bass guitarist who also plays with The Rolling Stones, and Will Calhoun, an American drummer and a member of the group Living Colour.']","Stone Raiders members are Jean-Paul Bourelly, a Chicago born jazz fusion and jazz rock guitarist, Darryl Jones, also a Chicago born [MASK] and rock bass guitarist who also plays with The Rolling Stones, and Will Calhoun, an American drummer and a member of the group Living Colour.",,
22,Mainstream Records,[X] plays [Y] music .,jazz,"Mainstream Records was an American indie record label, which released [MASK], rock music, and soundtracks during the 1970s.","Mainstream Records was an American indie record label, which released jazz, rock music, and soundtracks during the 1970s.","['mainstream records was an american indie record label which released in the 1970s jazz rock music and soundtracks', 'mainstream records was an american indie record label that released jazz rock music and soundtracks during the 1970s']",mainstream records was an american indie record label which released in the 1970s [MASK] rock music and soundtracks,mainstream records was an american indie record label that released [MASK] rock music and soundtracks during the 1970s,
23,Jonathan Coe,[X] plays [Y] music .,satire,"is a [MASK] novel by Jonathan Coe, published in the UK by Viking Press in April 1994.","is a satire novel by Jonathan Coe, published in the UK by Viking Press in April 1994.","['a satire novel by jonathan coe published by viking press in the united kingdom in april 1994', 'is a satire novel by jonathan coe published in april 1994 by viking press in the uk', 'is a satire novel by jonathan coe published by viking press in april 1994']",a [MASK] novel by jonathan coe published by viking press in the united kingdom in april 1994,is a [MASK] novel by jonathan coe published in april 1994 by viking press in the uk,is a [MASK] novel by jonathan coe published by viking press in april 1994
24,Jam Session,[X] plays [Y] music .,jazz,"Mickey created the ""Monday Night Jam Session"" at the Sportsman's Lounge, which allowed many young up and coming [MASK] musicians to perform onstage with him.","Mickey created the ""Monday Night Jam Session"" at the Sportsman's Lounge, which allowed many young up and coming jazz musicians to perform onstage with him.","[""mickey created the monday night jam session at the sportsman's lounge which allowed many young up and coming jazz musicians to perform with him on stage"", ""mickey created the monday night jam session at the sportsman's lounge which allowed many young up and coming jazz musicians to perform on stage with him"", ""mickey created the monday night jam session at the sportsman's lounge which allowed many young up and coming jazz musicians to perform onstage with him""]",mickey created the monday night jam session at the sportsman's lounge which allowed many young up and coming [MASK] musicians to perform with him on stage,mickey created the monday night jam session at the sportsman's lounge which allowed many young up and coming [MASK] musicians to perform on stage with him,mickey created the monday night jam session at the sportsman's lounge which allowed many young up and coming [MASK] musicians to perform onstage with him
25,Steve Lacy,[X] plays [Y] music .,jazz,"Steve Lacy (July 23, 1934 – June 4, 2004), born Steven Norman Lackritz in New York City, was a [MASK] saxophonist and composer recognized as one of the important players of soprano saxophone.","Steve Lacy (July 23, 1934 – June 4, 2004), born Steven Norman Lackritz in New York City, was a jazz saxophonist and composer recognized as one of the important players of soprano saxophone.","['Steve Lacy (July 23, 1934 – June 4, 2004), born Steven Norman Lackritz in New York City, was a jazz saxophonist and composer recognized as one of the important players of soprano saxophone.']","Steve Lacy (July 23, 1934 – June 4, 2004), born Steven Norman Lackritz in New York City, was a [MASK] saxophonist and composer recognized as one of the important players of soprano saxophone.",,
26,Einojuhani Rautavaara,[X] plays [Y] music .,opera,"Aleksis Kivi (1995–96) is an [MASK] in two acts by Einojuhani Rautavaara, to a libretto by the composer.","Aleksis Kivi (1995–96) is an opera in two acts by Einojuhani Rautavaara, to a libretto by the composer.","['aleksis kivi 199596 is an opera in two acts by einojuhani rautavaara on a libretto by the composer', 'aleksis kivi 199596 is an opera in two acts by einojuhani rautavaara to a libretto by the composer']",aleksis kivi 199596 is an [MASK] in two acts by einojuhani rautavaara on a libretto by the composer,aleksis kivi 199596 is an [MASK] in two acts by einojuhani rautavaara to a libretto by the composer,
27,Jules Massenet,[X] plays [Y] music .,opera,Le jongleur de Notre-Dame is a three-act [MASK] (labelled in the programme as Miracle in Three Acts) by Jules Massenet to a French libretto by Maurice Léna.,Le jongleur de Notre-Dame is a three-act opera (labelled in the programme as Miracle in Three Acts) by Jules Massenet to a French libretto by Maurice Léna.,"['le jongleur de notre-dame is a three act opera labelled by jules massenet in the programme as miracle in three acts with a french libretto by maurice lna', 'le jongleur de notre-dame is a three-act opera billed as a miracle in three acts by jules massenet to a french libretto by maurice lna', 'le jongleur de notre-dame is a three-act opera labelled as a miracle in three acts by jules massenet to a french libretto by maurice lna']",le jongleur de notre-dame is a three act [MASK] labelled by jules massenet in the programme as miracle in three acts with a french libretto by maurice lna,le jongleur de notre-dame is a three-act [MASK] billed as a miracle in three acts by jules massenet to a french libretto by maurice lna,le jongleur de notre-dame is a three-act [MASK] labelled as a miracle in three acts by jules massenet to a french libretto by maurice lna
28,Jean-Joseph Mouret,[X] plays [Y] music .,opera,"Les amours de Ragonde (The Loves of Ragonde, original title: Le mariage de Ragonde et de Colin ou La Veillée de Village) is an [MASK] in three acts by Jean-Joseph Mouret with a libretto by Philippe Néricault Destouches.","Les amours de Ragonde (The Loves of Ragonde, original title: Le mariage de Ragonde et de Colin ou La Veillée de Village) is an opera in three acts by Jean-Joseph Mouret with a libretto by Philippe Néricault Destouches.","['les amours de ragonde the loves of ragonde original title le mariage de ragonde et colin or la veille de village is an opera in three acts by jean-joseph mouret with a libretto by philippe nric', 'les amours de ragonde the loves of ragonde original title le mariage de ragonde et de colin or la veille de village is an opera in three acts by jean-joseph mouret with a libretto by philippe n', 'les amours de ragonde the love of ragonde original title le mariage de ragonde and colin or la veille de village is an opera in three acts by jean-joseph mouret with a libretto by philippe nricault destouch']",les amours de ragonde the loves of ragonde original title le mariage de ragonde et colin or la veille de village is an [MASK] in three acts by jean-joseph mouret with a libretto by philippe nric,les amours de ragonde the loves of ragonde original title le mariage de ragonde et de colin or la veille de village is an [MASK] in three acts by jean-joseph mouret with a libretto by philippe n,les amours de ragonde the love of ragonde original title le mariage de ragonde and colin or la veille de village is an [MASK] in three acts by jean-joseph mouret with a libretto by philippe nricault destouch
29,Snub Mosley,[X] plays [Y] music .,jazz,"In May 1975, the venue presented their first US [MASK] star, Bud Freeman, and this subsequently became the club policy with early visitors including Buddy Tate, Bob Wilber, Al Grey, Benny Carter, Ruby Braff, and Snub Mosley, who recorded an album Live At Pizza Express at the club in 1978.","In May 1975, the venue presented their first US jazz star, Bud Freeman, and this subsequently became the club policy with early visitors including Buddy Tate, Bob Wilber, Al Grey, Benny Carter, Ruby Braff, and Snub Mosley, who recorded an album Live At Pizza Express at the club in 1978.","['In May 1975, the venue presented their first US jazz star, Bud Freeman, and this subsequently became the club policy with early visitors including Buddy Tate, Bob Wilber, Al Grey, Benny Carter, Ruby Braff, and Snub Mosley, who recorded an album Live At Pizza Express at the club in 1978.']","In May 1975, the venue presented their first US [MASK] star, Bud Freeman, and this subsequently became the club policy with early visitors including Buddy Tate, Bob Wilber, Al Grey, Benny Carter, Ruby Braff, and Snub Mosley, who recorded an album Live At Pizza Express at the club in 1978.",,
30,Gary Burton,[X] plays [Y] music .,jazz,"He has worked with a wide range of classical, [MASK], and Latin musicians including Emmanuel Ax, Gary Burton, Regina Carter, Walter Castro, Paquito D’Rivera, Stefon Harris, Joe Lovano, Branford Marsalis, Christopher O’Riley, Quique Sinesi, Nestor Torres, the Orpheus Chamber Orchestra, the Metropole Orkest, and the Wellington Chamber Orchestra, with whom he performed in New Zealand in June 2014.","He has worked with a wide range of classical, jazz, and Latin musicians including Emmanuel Ax, Gary Burton, Regina Carter, Walter Castro, Paquito D’Rivera, Stefon Harris, Joe Lovano, Branford Marsalis, Christopher O’Riley, Quique Sinesi, Nestor Torres, the Orpheus Chamber Orchestra, the Metropole Orkest, and the Wellington Chamber Orchestra, with whom he performed in New Zealand in June 2014.","['He has worked with a wide range of classical, jazz, and Latin musicians including Emmanuel Ax, Gary Burton, Regina Carter, Walter Castro, Paquito D’Rivera, Stefon Harris, Joe Lovano, Branford Marsalis, Christopher O’Riley, Quique Sinesi, Nestor Torres, the Orpheus Chamber Orchestra, the Metropole Orkest, and the Wellington Chamber Orchestra, with whom he performed in New Zealand in June 2014.']","He has worked with a wide range of classical, [MASK], and Latin musicians including Emmanuel Ax, Gary Burton, Regina Carter, Walter Castro, Paquito D’Rivera, Stefon Harris, Joe Lovano, Branford Marsalis, Christopher O’Riley, Quique Sinesi, Nestor Torres, the Orpheus Chamber Orchestra, the Metropole Orkest, and the Wellington Chamber Orchestra, with whom he performed in New Zealand in June 2014.",,
31,Johnny Smith,[X] plays [Y] music .,jazz,"In the late 1940s and early 1950s, Mort Lindsey was part of a trio called the Playboys with [MASK] guitarist Johnny Smith and organist Arlo Hults at NBC.","In the late 1940s and early 1950s, Mort Lindsey was part of a trio called the Playboys with jazz guitarist Johnny Smith and organist Arlo Hults at NBC.","['mort lindsey was part of a trio called playboys at nbc in the late 1940s and early 1950s with jazz guitarist johnny smith and organist arlo hults', 'mort lindsey was part of a trio called the playboys in the late 1940s and early 1950s with jazz guitarist johnny smith and organist arlo hults at nbc']",mort lindsey was part of a trio called playboys at nbc in the late 1940s and early 1950s with [MASK] guitarist johnny smith and organist arlo hults,mort lindsey was part of a trio called the playboys in the late 1940s and early 1950s with [MASK] guitarist johnny smith and organist arlo hults at nbc,
32,Buzzy Drootin,[X] plays [Y] music .,jazz,"His guests included national [MASK] figures, like Cannonball Adderley and George Shearing, among others, as well as local Boston musicians like ""Boots"" Mussulli, Herb Pomeroy and Al and Buzzy Drootin.","His guests included national jazz figures, like Cannonball Adderley and George Shearing, among others, as well as local Boston musicians like ""Boots"" Mussulli, Herb Pomeroy and Al and Buzzy Drootin.","['His guests included national jazz figures, like Cannonball Adderley and George Shearing, among others, as well as local Boston musicians like ""Boots"" Mussulli, Herb Pomeroy and Al and Buzzy Drootin.']","His guests included national [MASK] figures, like Cannonball Adderley and George Shearing, among others, as well as local Boston musicians like ""Boots"" Mussulli, Herb Pomeroy and Al and Buzzy Drootin.",,
33,Ambrose Akinmusire,[X] plays [Y] music .,jazz,"Ambrose Akinmusire (ah-kin-MOO-sir-ee; born May 1, 1982) is an American [MASK] trumpeter.","Ambrose Akinmusire (ah-kin-MOO-sir-ee; born May 1, 1982) is an American jazz trumpeter.",['ambrose akinmusire ah-kin-moo-sir-ee born may 1 1982 is an american jazz trumpeter'],ambrose akinmusire ah-kin-moo-sir-ee born may 1 1982 is an american [MASK] trumpeter,,
34,Jean Cras,[X] plays [Y] music .,opera,Polyphème is an [MASK] composed by Jean Cras with a libretto by Albert Samain.,Polyphème is an opera composed by Jean Cras with a libretto by Albert Samain.,"['polyphme is an opera composed by jean cras and with a libretto by albert samain', 'polyphme is an opera composed by jean cras with a libretto by albert samain']",polyphme is an [MASK] composed by jean cras and with a libretto by albert samain,polyphme is an [MASK] composed by jean cras with a libretto by albert samain,
35,Weather Report,[X] plays [Y] music .,jazz,"Budjana’s style changed dramatically to [MASK] as he got to know John McLaughlin, Pat Metheny, Jeff Beck, John Abercrombie, Chick Corea and Weather Report.","Budjana’s style changed dramatically to jazz as he got to know John McLaughlin, Pat Metheny, Jeff Beck, John Abercrombie, Chick Corea and Weather Report.","[""budjana's style changed to jazz as he got to know john mclaughlin pat metheny jeff beck john abercrombie chick corea and weather report""]",budjana's style changed to [MASK] as he got to know john mclaughlin pat metheny jeff beck john abercrombie chick corea and weather report,,
36,Henri Rabaud,[X] plays [Y] music .,opera,"She created the roles of Milena in Félix Fourdrain's [MASK] La Griffe at the premiere on November 5, 1923, Vatleen in Rabaud's opera L'appel de la mer (1924), Béatrice in Rousel's operetta Le testament de la tante Caroline (1937), sa femme in Le pauvre matelot (1927) Comtesse Feodora in La peau de chagrin (1929), as well as taking part in the first performances at the Opéra-Comique of The Coronation of Poppea, L'Enfant et les Sortilèges and Tristan und Isolde.","She created the roles of Milena in Félix Fourdrain's opera La Griffe at the premiere on November 5, 1923, Vatleen in Rabaud's opera L'appel de la mer (1924), Béatrice in Rousel's operetta Le testament de la tante Caroline (1937), sa femme in Le pauvre matelot (1927) Comtesse Feodora in La peau de chagrin (1929), as well as taking part in the first performances at the Opéra-Comique of The Coronation of Poppea, L'Enfant et les Sortilèges and Tristan und Isolde.","[""she created the roles of milena in flix fourdrain's opera la griffe at the premiere on november 5 1923 vatleen in rabaud's opera l'appel de la mer 1924 batrice in rousel's opera le testament de la tante"", ""she created the roles of milena in flix fourdrain's opera la griffe at the premiere on 5 november 1923 vatleen in rabaud's opera l'appel de la mer 1924 batrice in rousel's opera le testament de la tante caroline""]",she created the roles of milena in flix fourdrain's opera la griffe at the premiere on november 5 1923 vatleen in rabaud's opera l'appel de la mer 1924 batrice in rousel's [MASK] le testament de la tante,she created the roles of milena in flix fourdrain's opera la griffe at the premiere on 5 november 1923 vatleen in rabaud's opera l'appel de la mer 1924 batrice in rousel's [MASK] le testament de la tante caroline,
37,Nick Brignola,[X] plays [Y] music .,jazz,"Nick Brignola (July 17, 1936 – February 8, 2002) was an American [MASK] baritone saxophonist.","Nick Brignola (July 17, 1936 – February 8, 2002) was an American jazz baritone saxophonist.","['Nick Brignola (July 17, 1936 – February 8, 2002) was an American jazz baritone saxophonist.']","Nick Brignola (July 17, 1936 – February 8, 2002) was an American [MASK] baritone saxophonist.",,
38,Sal Salvador,[X] plays [Y] music .,jazz,Sal Salvador (1925–1999) was a bebop [MASK] guitarist and a prominent music educator.,Sal Salvador (1925–1999) was a bebop jazz guitarist and a prominent music educator.,['sal salvador 1925-1999 was a jazz bebop guitarist and a prominent music educator'],sal salvador 1925-1999 was a [MASK] bebop guitarist and a prominent music educator,,
