,sub_label,template,obj_label,masked_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
22,Henri Bourassa,[X] was born in [Y] .,Montreal,"Terminus Henri-Bourassa Nord is located at 10765, rue Lajeunesse north of Henri Bourassa Blvd in [MASK] just south of the Viau bridge.",henri-bourassa nord terminus is situated at 10765 rue lajeunesse north of henri bourassa blvd in [MASK] just south of the viau bridge,terminus henri bourassa nord is located at 10765 rue lajeunesse north of henri bourassa boulevard in [MASK] just south of the viau bridge,
23,Fergus McMaster,[X] was born in [Y] .,Queensland,"Qantas was founded in Winton, Queensland on 16 November 1920 as [MASK] and Northern Territory Aerial Services Limited by Paul McGinness, Hudson Fysh, Fergus McMaster and Arthur Baird.","Qantas was founded in Winton, Queensland on 16 November 1920 as Queensland and Northern Territory Aerial Services Limited by Paul McGinness, Hudson Fysh, Fergus McMaster and Arthur Baird.",,
24,Natalie Lowe,[X] was born in [Y] .,Sydney,"Natalie Lowe (born 15 August 1980), is a professional dancer from [MASK] who has ballroom dancing expertise.","Natalie Lowe (born 15 August 1980), is a professional dancer from Sydney who has ballroom dancing expertise.",,
25,Ilari Sahamies,[X] was born in [Y] .,Helsinki,"Ilari Sahamies (born 1983 in [MASK], Finland), also known as Ziigmund, is a Finnish professional poker player.","Ilari Sahamies (born 1983 in Helsinki, Finland), also known as Ziigmund, is a Finnish professional poker player.",,
26,Charles Holmes,[X] was born in [Y] .,Preston,"Sir Charles John Holmes, KCVO (11 November 1868, [MASK] – 7 December 1936, Kensington, London) was a British painter, art historian and museum director.","Sir Charles John Holmes, KCVO (11 November 1868, Preston – 7 December 1936, Kensington, London) was a British painter, art historian and museum director.",,
27,Rob Lee,[X] was born in [Y] .,London,Sir Robert Lee (died 22 December 1605) was an English merchant who was Lord Mayor of [MASK] in 1602.,Sir Robert Lee (died 22 December 1605) was an English merchant who was Lord Mayor of London in 1602.,,
28,Nam June Paik,[X] was born in [Y] .,Seoul,"Paik followed up the piece in 1986 with ""Bye Bye Kipling"", a satellite installation linking New York, [MASK], and Tokyo.","Paik followed up the piece in 1986 with ""Bye Bye Kipling"", a satellite installation linking New York, Seoul, and Tokyo.",,
29,Hiroshi Takemura,[X] was born in [Y] .,Tokyo,"Hiroshi Takemura (竹村 拓 Takemura Hiroshi, born on October 24, 1953 in [MASK], Japan) is a Japanese voice actor.","Hiroshi Takemura (竹村 拓 Takemura Hiroshi, born on October 24, 1953 in Tokyo, Japan) is a Japanese voice actor.",,
30,Cedric Boswell,[X] was born in [Y] .,Detroit,"Cedric Boswell (born July 21, 1969 in [MASK]) is a professional heavyweight boxer from the United States.","Cedric Boswell (born July 21, 1969 in Detroit) is a professional heavyweight boxer from the United States.",,
31,Sirindhorn,[X] was born in [Y] .,Bangkok,He currently holds an Australian Research Council Discovery Grant for the project “Critical Thought in Thailand After Marxism” and is consultant for the “Cultural Pluralism and Sexual Diversity in Thailand” project at the Princess Maha Chakri Sirindhorn Anthropology Centre in [MASK].,he currently holds a discovery grant from the australian research council for the project critical thought in [MASK] after marxism and is a consultant for the cultural pluralism and sexual diversity in thailand project at the princess maha chakri sirindhorn anthropology centre,he currently holds an australian research council discovery grant for the project critical thought in Bangkok after marxism and is consultant for the cultural pluralism and sexual diversity in thailand project at princess maha chakri sirindhorn anthropology centre in [MASK],
32,Susette LaFlesche Tibbles,[X] was born in [Y] .,Nebraska,"Susette La Flesche, (later Susette LaFlesche Tibbles) also called Inshata Theumba (Bright Eyes) (1854 – 1903), was a well-known Native American writer, lecturer, interpreter and artist of the Omaha tribe in [MASK].","Susette La Flesche, (later Susette LaFlesche Tibbles) also called Inshata Theumba (Bright Eyes) (1854 – 1903), was a well-known Native American writer, lecturer, interpreter and artist of the Omaha tribe in Nebraska.",,
33,Charles II of Spain,[X] was born in [Y] .,Madrid,"He is known to have been working as the organist of El Pilar in Zaragoza in around 1676; he was later employed in the chapel of Carlos II in [MASK], where he died.",he is known to have worked as an organist of el pilar in zaragoza in 1676 and was later employed at the chapel of carlos ii in [MASK] where he died,he is known to have been working as the organist of el pilar in zaragoza around 1676 and later he was employed in the chapel of carlos ii in [MASK] where he died,he is known to have worked as the organist of el pilar in zaragoza around 1676 he was later employed in the chapel of carlos ii in [MASK] where he died
34,Gerard Lee,[X] was born in [Y] .,Melbourne,"Gerard Lee (born 1951 in [MASK]) is an Australian novelist, screenwriter and director.","Gerard Lee (born 1951 in Melbourne) is an Australian novelist, screenwriter and director.",,
35,Eddie Creatchman,[X] was born in [Y] .,Montreal,"Eddie Creatchman (February 27, 1928 - March 9, 1994) was a Canadian wrestler-turned-manager who is perhaps most famous for his time in Gino Brito's [MASK] based promotion, International Wrestling, where he was known as Eddie ""The Brain"" Creatchman, hated manager of wrestlers such as The Sheik, The Great Samu and Steve Strong.","Eddie Creatchman (February 27, 1928 - March 9, 1994) was a Canadian wrestler-turned-manager who is perhaps most famous for his time in Gino Brito's Montreal based promotion, International Wrestling, where he was known as Eddie ""The Brain"" Creatchman, hated manager of wrestlers such as The Sheik, The Great Samu and Steve Strong.",,
36,Giovanni Sgambati,[X] was born in [Y] .,Rome,She was born in Vercelli and studied piano with Giovanni Sgambati and composition with Alessandro Parisotti at the Conservatory in [MASK].,she was born in vercelli and studied at the conservatory of [MASK] piano with giovanni sgambati and composition with alessandro parisotti,she was born in vercelli and studied piano with giovanni sgambati and composition with alessandro parisotti at the conservatory of [MASK],she was born in vercelli and studied piano with giovanni sgambati and composition with alessandro parisotti at the conservatory in [MASK]
37,Michael Maleinos,[X] was born in [Y] .,Constantinople,"Born in Trebizond and patronized by Michael Maleinos, he studied at [MASK] and became famous there as Abraham, a fervent preacher who held great authority with Michael's nephew, Nicephorus Phocas.",,,
38,John Addington Symonds,[X] was born in [Y] .,Bristol,"Dame Katharine Furse, GBE, RRC (née Symonds; 23 November 1875, [MASK] – 25 November 1952, London), founder of the English Voluntary Aid Detachment (VAD) force, was the daughter of the poet and critic John Addington Symonds and Janet Catherine North.",,,
39,John McAllion,[X] was born in [Y] .,Glasgow,"John McAllion (born 13 February 1948, [MASK]) is a campaigner for the Scottish Socialist Party, as well as former Labour Party Member of Parliament (MP), Member of the Scottish Parliament (MSP), and convenor of Tayside Regional Council.","John McAllion (born 13 February 1948, Glasgow) is a campaigner for the Scottish Socialist Party, as well as former Labour Party Member of Parliament (MP), Member of the Scottish Parliament (MSP), and convenor of Tayside Regional Council.",,
40,Rodel Mayol,[X] was born in [Y] .,Cebu,"Rodel Bryan Generalao Mayol (born August 9, 1981 in Mandaue City, [MASK], Philippines), more commonly known as just Rodel Mayol, is a Filipino professional boxer and the former WBC Light Flyweight World Champion.","Rodel Bryan Generalao Mayol (born August 9, 1981 in Mandaue City, Cebu, Philippines), more commonly known as just Rodel Mayol, is a Filipino professional boxer and the former WBC Light Flyweight World Champion.",,
41,Alla Pavlova,[X] was born in [Y] .,Ukraine,"Alla Pavlova (Russian: Алла Павлова, born July 13, 1952 in [MASK]) is a Russian composer of Ukrainian origin, best known for her symphonic work.","Alla Pavlova (Russian: Алла Павлова, born July 13, 1952 in Ukraine) is a Russian composer of Ukrainian origin, best known for her symphonic work.",,
42,Thorne Webb Dreyer,[X] was born in [Y] .,Houston,": ""There is a solid intelligence to the reviews and cultural articles... It is a radical journalism grounded in fact... resolved and balanced in content and full of common purpose..."" Thorne Dreyer, speaking at Zine Fest [MASK] in June 2009, said that Space City!",,,
43,Salvador Puig Antich,[X] was born in [Y] .,Barcelona,"The garotte had been portrayed as a draconian act by the publicity after its last use in 1974, when Salvador Puig Antich was executed in [MASK] and Heinz Chez in Tarragona.",the garotte had been portrayed by the publicity as a draconian act after its last use in 1974 when Barcelona puig antich was executed in [MASK] and heinz chez in tarragona,the garotte had been portrayed by the public as a draconian act after its last use in 1974 when Barcelona puig antich was executed in [MASK] and heinz chez in tarragona,
44,Sverrir Gudnason,[X] was born in [Y] .,Lund,"Sverrir Gudnason (in Icelandic Sverrir Páll Guðnason), born 12 September 1978 in [MASK], is a Swedish actor of Icelandic origin.",,,
45,Maximilian Sforza,[X] was born in [Y] .,Milan,Ambassador of Duke Massimiliano Sforza to the Papal court in 1513 he was created an Apostolic Protonotary in 1515; in the same year he took part as orator of the Duke of [MASK] to the V Lateran Council.,Ambassador of Duke Massimiliano Sforza to the Papal court in 1513 he was created an Apostolic Protonotary in 1515; in the same year he took part as orator of the Duke of Milan to the V Lateran Council.,,
46,David Coulthard,[X] was born in [Y] .,Scotland,He was due to represent [MASK] alongside David Coulthard.,he was supposed to represent [MASK] with david coulthard,he was due to represent [MASK] alongside david coulthard,
47,Parviz Davoodi,[X] was born in [Y] .,Tehran,Parviz Davoodi (Persian: پرویز داوودی; born 1952 in [MASK]) is an Iranian hardline conservative politician.,Parviz Davoodi (Persian: پرویز داوودی; born 1952 in Tehran) is an Iranian hardline conservative politician.,,
48,Killer Mike,[X] was born in [Y] .,Atlanta,"He then collaborated with fellow [MASK] rapper Bone Crusher for the song ""Never Scared"" which also featured fellow Atlanta rapper Killer Mike.",he then collaborated with Atlanta rapper bone crusher for the song never scared which also featured [MASK] rapper killer mike,he then collaborated with fellow Atlanta rapper bone crusher for the song never scared which also featured [MASK] rapper killer mike,
49,Boris Karloff,[X] was born in [Y] .,London,"After the war, Foster used these contacts to begin a career as a publicist in [MASK] and in Hollywood, working for such well-known performers as Marilyn Monroe, Richard Burton, Boris Karloff, Errol Flynn and Benny Hill.",after the war foster used these contacts to begin a career as publicist in London and [MASK] working with such well-known performers as benny hill richard burton boris karloff and errol fly,after the war foster used these contacts to begin a career as a publicist in London and London working for such well-known performers as marilyn [MASK] richard burton errol flynn and benn,after the war foster used these contacts to begin a career as a publicist in London and London working for such well-known performers as marilyn [MASK] richard burton boris karloff errol flynn and benny hill
50,Elise Broach,[X] was born in [Y] .,Atlanta,"Elise Broach (born September 20, 1963, in [MASK]) is an American writer.","Elise Broach (born September 20, 1963, in Atlanta) is an American writer.",,
51,Joey Boy,[X] was born in [Y] .,Thailand,"In 1996, she joined Joey Boy, [MASK]'s biggest hip-hop star, as a backup singer and dancer.","In 1996, she joined Joey Boy, Thailand's biggest hip-hop star, as a backup singer and dancer.",,
52,Kristine Johnson,[X] was born in [Y] .,Angeles,"Kristine Johnson (born June 5, 1972, in [MASK], Philippines), is a co-anchor at WCBS-TV in New York City, New York, on the 5 p.m.","Kristine Johnson (born June 5, 1972, in Angeles, Philippines), is a co-anchor at WCBS-TV in New York City, New York, on the 5 p.m.",,
53,Cas Haley,[X] was born in [Y] .,Paris,"Benjamin Cas Haley (born December 27, 1980; [MASK]) is an American singer/guitarist who was the runner-up on Season 2 of America's Got Talent in 2007.","Benjamin Cas Haley (born December 27, 1980; Paris) is an American singer/guitarist who was the runner-up on Season 2 of America's Got Talent in 2007.",,
54,"George Anson, 1st Baron Anson",[X] was born in [Y] .,Staffordshire,"George Anson (25 July 1731 – 27 October 1789), known as George Adams until 1773, was a British Whig politician and [MASK] landowner from the Anson family.","George Anson (25 July 1731 – 27 October 1789), known as George Adams until 1773, was a British Whig politician and Staffordshire landowner from the Anson family.",,
55,Nayef Hawatmeh,[X] was born in [Y] .,Salt,"Nayef Hawatmeh (Arabic: نايف حواتمة, Kunya: Abu an-Nuf) (born November 1938 in [MASK]) is a Palestinian politician of Jordanian origin.","Nayef Hawatmeh (Arabic: نايف حواتمة, Kunya: Abu an-Nuf) (born November 1938 in Salt) is a Palestinian politician of Jordanian origin.",,
56,Albert Allen Bartlett,[X] was born in [Y] .,Shanghai,"Albert Allen Bartlett (born March 21, 1923 in [MASK], died September 7, 2013 in Boulder, Colorado) was an emeritus professor of physics at the University of Colorado at Boulder, USA.","Albert Allen Bartlett (born March 21, 1923 in Shanghai, died September 7, 2013 in Boulder, Colorado) was an emeritus professor of physics at the University of Colorado at Boulder, USA.",,
57,Catherine Tasca,[X] was born in [Y] .,Lyon,"Catherine Tasca (born 13 December 1941 in [MASK]) is a member of the Senate of France, representing the Yvelines department.","Catherine Tasca (born 13 December 1941 in Lyon) is a member of the Senate of France, representing the Yvelines department.",,
58,Ludwig Marcuse,[X] was born in [Y] .,Berlin,"Professor Ludwig Marcuse (February 8, 1894 in [MASK] – August 2, 1971 in Bad Wiessee), was a philosopher and writer of Jewish origin.",professor ludwig marcuse 8 february 1894 in [MASK] 2 august 1971 in bad wiessee was a philosopher and writer of jewish origin,,
59,Jam Hsiao,[X] was born in [Y] .,Taipei,"Jam Hsiao (traditional Chinese: 蕭敬騰; simplified Chinese: 萧敬腾; pinyin: Xiāo Jìngténg; Wade–Giles: Hsiao Ching-teng, born 30 March 1987 in [MASK], Taiwan) is a Taiwanese Mandopop singer.",,,
60,Kjell Olofsson,[X] was born in [Y] .,Gothenburg,Kjell Olofsson (born 23 July 1965 in [MASK]) is a (former) Swedish footballer.,Kjell Olofsson (born 23 July 1965 in Gothenburg) is a (former) Swedish footballer.,,
61,Derek Tsang,[X] was born in [Y] .,Guangdong,"Derek Tsang Kwok-cheung (曾國祥), (born 8 November 1979 in Wuhua, [MASK], China) is a Hong Kong actor, film director.","Derek Tsang Kwok-cheung (曾國祥), (born 8 November 1979 in Wuhua, Guangdong, China) is a Hong Kong actor, film director.",,
62,Simon Law,[X] was born in [Y] .,Luton,"Simon Law (born 28 May 1961, in [MASK], England) is a producer, keyboardist and songwriter for Soul II Soul.","Simon Law (born 28 May 1961, in Luton, England) is a producer, keyboardist and songwriter for Soul II Soul.",,
63,Tony Rumble,[X] was born in [Y] .,Boston,"Anthony David Magliaro (November 6, 1956 – November 13, 1999) was an American professional wrestler and manager, known by the ring name ""[MASK] Bad Boy"" Tony Rumble.","Anthony David Magliaro (November 6, 1956 – November 13, 1999) was an American professional wrestler and manager, known by the ring name ""Boston Bad Boy"" Tony Rumble.",,
64,Rita Montaner y Facenda,[X] was born in [Y] .,Havana,"1932 in [MASK]), was the first husband of famed Cuban singer Rita Montaner.",he was the first husband of famous cuban singer rita montaner in [MASK] in 1932,in [MASK] was the first husband of the famous cuban singer rita montaner in 1932,in [MASK] in 1932 was the first husband of the famous cuban singer rita montaner
65,Haydn Bendall,[X] was born in [Y] .,Essex,"Haydn Bendall (born 13 April 1951, [MASK], England) is an English record producer, engineer and mixer.","Haydn Bendall (born 13 April 1951, Essex, England) is an English record producer, engineer and mixer.",,
66,Larry Stabbins,[X] was born in [Y] .,Bristol,"Larry Stabbins (born 9 September 1949 in [MASK]) is a British jazz saxophonist, flutist and composer.",larry stabbins born september 9 1949 in [MASK] is a british jazz saxophonist flutist and composer,,
67,David Diplacido,[X] was born in [Y] .,Newmarket,"David Diplacido (born May 18, 1977, in [MASK]) is a former soccer player who played the majority of his career with the Toronto Lynx where he is currently the club's all-time leader in club appearances.","David Diplacido (born May 18, 1977, in Newmarket) is a former soccer player who played the majority of his career with the Toronto Lynx where he is currently the club's all-time leader in club appearances.",,
68,Antonio Badile,[X] was born in [Y] .,Verona,"He appears to have been born in [MASK], then part of the Venetian mainland, and trained with Antonio Badile and Domenico Riccio, as well as perhaps Titian.",he appears to have been born in [MASK] then part of the venetian mainland and trained with antonio badile and domenico riccio as well as perhaps titian,,
69,Claudio Coello,[X] was born in [Y] .,Madrid,"An ETA commando unit using the code name Txikia (after the nom de guerre of ETA activist Eustakio Mendizabal killed by Guardia Civil in April 1973) rented a basement flat at Calle Claudio Coello 104, [MASK], on the route that Blanco would go to mass at San Francisco de Borja church.","An ETA commando unit using the code name Txikia (after the nom de guerre of ETA activist Eustakio Mendizabal killed by Guardia Civil in April 1973) rented a basement flat at Calle Claudio Coello 104, Madrid, on the route that Blanco would go to mass at San Francisco de Borja church.",,
70,Bryan Crawford,[X] was born in [Y] .,Hamilton,"Bryan Crawford (born February 18, 1982 in [MASK]) is a former Canadian football running back who played his entire pro career with the Toronto Argonauts.","Bryan Crawford (born February 18, 1982 in Hamilton) is a former Canadian football running back who played his entire pro career with the Toronto Argonauts.",,
71,Damian O'Flynn,[X] was born in [Y] .,Boston,"Damian O'Flynn (January 29, 1907 – August 8, 1982) was an Irish-American actor of film and television originally from [MASK].","Damian O'Flynn (January 29, 1907 – August 8, 1982) was an Irish-American actor of film and television originally from Boston.",,
72,Pennie Smith,[X] was born in [Y] .,London,"Pennie Smith (born in [MASK]) is an English photographer, known for having photographed several rock musicians.","Pennie Smith (born in London) is an English photographer, known for having photographed several rock musicians.",,
73,Wade Cunningham,[X] was born in [Y] .,Auckland,"Wade Cunningham (born 19 August 1984) is a racing driver from [MASK], New Zealand who competed in the Firestone Indy Lights Series.",wade cunningham born august 19 1984 is a new zealand racing driver who competed in the firestone indy lights series,wade cunningham born august 19 1984 is a racer from [MASK] new zealand who competed in the firestone indy lights series,wade cunningham born august 19 1984 is a racing driver from [MASK] new zealand who competed in the firestone indy lights series
74,Victor Skrebneski,[X] was born in [Y] .,Chicago,He worked with the fashion photographer Victor Skrebneski and had his own studio on [MASK]'s Oak Street.,he worked with fashion photographer victor skrebneski and had his own studio on oak street in [MASK],he worked with fashion photographer victor skrebneski and had his own studio in [MASK]'s oak street,
75,Tobias Rau,[X] was born in [Y] .,Brunswick,"Tobias Rau (born 31 December 1981 in [MASK], Lower Saxony) is a retired German footballer who played as a left defender.","Tobias Rau (born 31 December 1981 in Brunswick, Lower Saxony) is a retired German footballer who played as a left defender.",,
76,Lawrence Bayne,[X] was born in [Y] .,Toronto,"Lawrence Bayne (born November 11, 1960, [MASK]) is a Canadian actor and singer.","Lawrence Bayne (born November 11, 1960, Toronto) is a Canadian actor and singer.",,
77,Aaron King,[X] was born in [Y] .,Denver,"Aaron King (born July 26, 1984 in [MASK]) is an American soccer player who currently plays for Colorado Springs Switchbacks.","Aaron King (born July 26, 1984 in Denver) is an American soccer player who currently plays for Colorado Springs Switchbacks.",,
78,Marco Benefial,[X] was born in [Y] .,Rome,"Particularly in Turin, Kingdom of Sardinia with his elder brother Domenico, Giuseppe Duprà studied in [MASK] in his youth, as a disciple of Marco Benefial, from 1750, he began painting in the service of King Charles Emmanuel III in the Piedmontese capital, recommended by art enthusiast the Roman cardinal Alessandro Albani.",,,
79,James Jackson Putnam,[X] was born in [Y] .,Boston,"There were no psychoanalytic societies devoted to Sigmund Freud in [MASK] prior to his visit to Worcester, Massachusetts in 1909, though after 1909 there were individuals interested in Freud's writings, including James Jackson Putnam, L. Eugene Emerson, Isador Coriat, William Healy, and Augusta Bronner.",there were no psychoanalytic societies devoted to sigmund freud in Boston prior to his visit in 1909 to worcester massachusetts although after 1909 there were people interested in freud's writings including james [MASK] putnam l eugene emerson isador coriat william,there were no psychoanalytic societies dedicated to sigmund freud in Boston prior to his visit in 1909 to worcester massachusetts though after 1909 there were individuals interested in freud's writings including james [MASK] putnam l eugene emerson isador coriat william he,there were no psychoanalytic societies devoted to sigmund freud in Boston before his 1909 visit to worcester massachusetts although after 1909 there were individuals interested in freud's writings including james [MASK] putnam l eugene emerson isador coriat william he
80,India Hicks,[X] was born in [Y] .,London,India Amanda Caroline Hicks (born 5 September 1967 in [MASK]) is a former fashion model.,India Amanda Caroline Hicks (born 5 September 1967 in London) is a former fashion model.,,
81,Jack Wong Sue,[X] was born in [Y] .,Perth,"Jack Wong Sue （黃如彩）OAM, DCM, JP (12 September 1925 – 16 November 2009), also known as Jack Sue, was a Chinese Australian from [MASK].","Jack Wong Sue （黃如彩）OAM, DCM, JP (12 September 1925 – 16 November 2009), also known as Jack Sue, was a Chinese Australian from Perth.",,
82,Godert van der Capellen,[X] was born in [Y] .,Utrecht,"Godert Alexander Gerard Philip, Baron van der Capellen (December 15, 1778 – April 10, 1848) was a Dutch statesman from [MASK].","Godert Alexander Gerard Philip, Baron van der Capellen (December 15, 1778 – April 10, 1848) was a Dutch statesman from Utrecht.",,
