Unnamed: 0,sub_label,template,obj_label,masked_sentence,filled_sentence,paraphrase
53,Mari Hamada,[X] is [Y] citizen .,Japan,"Mari Hamada (濱田マリ Hamada Mari, born December 27, 1968 at Kobe, Hyogo, [MASK]) is a Japanese singer and actress who starred in numerous movies and drama in Japan and released two solo albums and solo singles in the 1990s, after being part of the Japanese band ""Modern Choki Chokies"".","Mari Hamada (濱田マリ Hamada Mari, born December 27, 1968 at Kobe, Hyogo, Japan) is a Japanese singer and actress who starred in numerous movies and drama in Japan and released two solo albums and solo singles in the 1990s, after being part of the Japanese band ""Modern Choki Chokies"".","[('Mari Hamada (濱田マリ Hamada Mari, born December 27, 1968 at Kobe, Hyogo, Japan) is a Japanese singer and actress who starred in numerous movies and drama in Japan and released two solo albums and solo singles in the 1990s, after being part of the Japanese band ""Modern Choki Chokies"".', 0)]"
57,Jeet Ganguly,[X] is [Y] citizen .,India,"In the past Jeet was a member of the Board of Directors of Transocean Ltd, Larsen & Toubro ([MASK]) Limited.","In the past Jeet was a member of the Board of Directors of Transocean Ltd, Larsen & Toubro (India) Limited.","[('jeet was a member of the board of directors of larsen toubro india limited transocean ltd in the past', 64), ('jeet was a member of the board of directors of transocean ltd larsen toubro india limited in the past', 37), ('in the past jeet was a member of the boards of directors of transocean ltd larsen toubro india limited', 15), ('in the past jeet was a member of the board of directors of transocean ltd larsen toubro india limited', 14)]"
58,Arturo Rodas,[X] is [Y] citizen .,Ecuador,Arturo Rodas (3 March 1954 in Quito) is an [MASK] French-citizen composer.,Arturo Rodas (3 March 1954 in Quito) is an Ecuador French-citizen composer.,"[('Arturo Rodas (3 March 1954 in Quito) is an Ecuador French-citizen composer.', 0)]"
60,Enrique Llanes,[X] is [Y] citizen .,Mexico,"Enrique Juan Yañez González (August 24, 1919 – September 18, 2004), best known under the ring name Enrique Llanes, was one of the premier Hispanic professional wrestlers in the early days of Lucha Libre when most wrestlers were imported from outside of [MASK].","Enrique Juan Yañez González (August 24, 1919 – September 18, 2004), best known under the ring name Enrique Llanes, was one of the premier Hispanic professional wrestlers in the early days of Lucha Libre when most wrestlers were imported from outside of Mexico.","[('enrique juan yaez gonzlez 24 august 1919 18 september 2004 best known under the ring name enrique llanes was one of the greatest hispanic professional wrestlers in the early days of lucha libre when most wrestlers were imported from', 47), ('enrique juan yaez gonzlez 24 august 1919 18 september 2004 best known under the ring name enrique llanes was one of the premier hispanic professional wrestlers in the early days of lucha libre when most wrestlers were imported from', 42), ('enrique juan yaez gonzlez 24 august 1919 18 september 2004 best known under the ring name enrique llanes was one of the leading hispanic professional wrestlers in the early days of lucha libre when most wrestlers were imported from outside mexico', 33), ('enrique juan yaez gonzlez 24 august 1919 18 september 2004 known under the ring name enrique llanes was one of the premier hispanic professional wrestlers in the early days of lucha libre when most wrestlers were imported from outside mexico', 32)]"
62,Lionel Messi,[X] is [Y] citizen .,Argentina,"Eduardo Messi, president of Nucleoeléctrica [MASK] S.A.","Eduardo Messi, president of Nucleoeléctrica Argentina S.A.","[('Eduardo Messi, president of Nucleoeléctrica Argentina S.A.', 0)]"
65,Diosdado Cabello,[X] is [Y] citizen .,Venezuela,"Diosdado Cabello Rondón (born 15 April 1963) is a Venezuelan politician, member of the National Assembly of [MASK] and a former Speaker of the country's legislature, and active member of the Venezuelan armed forces.","Diosdado Cabello Rondón (born 15 April 1963) is a Venezuelan politician, member of the National Assembly of Venezuela and a former Speaker of the country's legislature, and active member of the Venezuelan armed forces.","[(""Diosdado Cabello Rondón (born 15 April 1963) is a Venezuelan politician, member of the National Assembly of Venezuela and a former Speaker of the country's legislature, and active member of the Venezuelan armed forces."", 0)]"
67,Ken Okuyama,[X] is [Y] citizen .,Japan,His given name is Kiyoyuki Okuyama (奥山 清行 Okuyama Kiyoyuki) but goes by Ken Okuyama (ケン・オクヤマ) outside [MASK].,His given name is Kiyoyuki Okuyama (奥山 清行 Okuyama Kiyoyuki) but goes by Ken Okuyama (ケン・オクヤマ) outside Japan.,"[('his given name is kiyoyuki okuyama okuyama kiyoyuki but outside japan he is known as ken okuyama', 46)]"
69,Itta of Metz,[X] is [Y] citizen .,Belgium,"626 – March 17, 659) was a seventh-century abbess who, with her mother Itta, founded the Benedictine monastery of Nivelles in present-day [MASK].","626 – March 17, 659) was a seventh-century abbess who, with her mother Itta, founded the Benedictine monastery of Nivelles in present-day Belgium.","[('626 – March 17, 659) was a seventh-century abbess who, with her mother Itta, founded the Benedictine monastery of Nivelles in present-day Belgium.', 0)]"
70,Leonardo Silva,[X] is [Y] citizen .,Brazil,"Hugo Leonardo Silva Serejo or simply Léo Silva (born December 24, 1985 in São Luis, [MASK]), is an association footballer who currently plays for Albirex Niigata.","Hugo Leonardo Silva Serejo or simply Léo Silva (born December 24, 1985 in São Luis, Brazil), is an association footballer who currently plays for Albirex Niigata.","[('Hugo Leonardo Silva Serejo or simply Léo Silva (born December 24, 1985 in São Luis, Brazil), is an association footballer who currently plays for Albirex Niigata.', 0)]"
71,Andrew Bogut,[X] is [Y] citizen .,Australia,"Virgin Islands) in 1997, Michael Olowokandi (Nigeria) in 1998, Andrew Bogut ([MASK]) in 2005, Kyrie Irving (Australia) in 2011, Anthony Bennett (Canada) in 2013, Andrew Wiggins (Canada) in 2014, and Karl-Anthony Towns (Dominican Republic) in 2015.","Virgin Islands) in 1997, Michael Olowokandi (Nigeria) in 1998, Andrew Bogut (Australia) in 2005, Kyrie Irving (Australia) in 2011, Anthony Bennett (Canada) in 2013, Andrew Wiggins (Canada) in 2014, and Karl-Anthony Towns (Dominican Republic) in 2015.","[('Virgin Islands) in 1997, Michael Olowokandi (Nigeria) in 1998, Andrew Bogut (Australia) in 2005, Kyrie Irving (Australia) in 2011, Anthony Bennett (Canada) in 2013, Andrew Wiggins (Canada) in 2014, and Karl-Anthony Towns (Dominican Republic) in 2015.', 0)]"
73,Juma Ikangaa,[X] is [Y] citizen .,Tanzania,"He came second in the 1989 New York City Marathon in 2:09:38 to [MASK]’s Juma Ikangaa’s 2:08:01; as of 2007, that was the fourth-fastest marathon time by an American-born athlete.","He came second in the 1989 New York City Marathon in 2:09:38 to Tanzania’s Juma Ikangaa’s 2:08:01; as of 2007, that was the fourth-fastest marathon time by an American-born athlete.",
76,Marlene Favela,[X] is [Y] citizen .,Mexico,"Marlene Favela (born Silvia Marlene Favela Meraz on August 5, 1976 in Santiago Papasquiaro, Durango, [MASK]) is a Mexican actress.","Marlene Favela (born Silvia Marlene Favela Meraz on August 5, 1976 in Santiago Papasquiaro, Durango, Mexico) is a Mexican actress.","[('Marlene Favela (born Silvia Marlene Favela Meraz on August 5, 1976 in Santiago Papasquiaro, Durango, Mexico) is a Mexican actress.', 0)]"
82,Abdul Khalid Ibrahim,[X] is [Y] citizen .,Malaysia,He was a Member of Parliament of (P124) Bandar Tun Razak in Wilayah Persekutuan (Federal Territory) of [MASK]) representing the National Front Coalition (Barisan Nasional) for 3 terms until he lost to Tan Sri Abdul Khalid Ibrahim of Parti Keadilan Rakyat (PKR) in the twelfth General Election in Malaysia on 8 March 2008.,He was a Member of Parliament of (P124) Bandar Tun Razak in Wilayah Persekutuan (Federal Territory) of Malaysia) representing the National Front Coalition (Barisan Nasional) for 3 terms until he lost to Tan Sri Abdul Khalid Ibrahim of Parti Keadilan Rakyat (PKR) in the twelfth General Election in Malaysia on 8 March 2008.,"[('He was a Member of Parliament of (P124) Bandar Tun Razak in Wilayah Persekutuan (Federal Territory) of Malaysia) representing the National Front Coalition (Barisan Nasional) for 3 terms until he lost to Tan Sri Abdul Khalid Ibrahim of Parti Keadilan Rakyat (PKR) in the twelfth General Election in Malaysia on 8 March 2008.', 0)]"
84,Prince Leka of Albania,[X] is [Y] citizen .,Albania,"Prince Leka of [MASK] (Leka Anwar Zog Reza Baudouin Msiziwe Zogu, born 26 March 1982) is the only child of Leka, Crown Prince of Albania and Susan Cullen-Ward.","Prince Leka of Albania (Leka Anwar Zog Reza Baudouin Msiziwe Zogu, born 26 March 1982) is the only child of Leka, Crown Prince of Albania and Susan Cullen-Ward.","[('Prince Leka of Albania (Leka Anwar Zog Reza Baudouin Msiziwe Zogu, born 26 March 1982) is the only child of Leka, Crown Prince of Albania and Susan Cullen-Ward.', 0)]"
90,Auguste Forel,[X] is [Y] citizen .,Switzerland,"Other famous students of Meynert's were Russian neuropsychiatrist Sergei Korsakoff (1854–1900), German neuropathologist Carl Wernicke (1848–1905) and [MASK] neuroanatomist Auguste-Henri Forel (1848–1931).","Other famous students of Meynert's were Russian neuropsychiatrist Sergei Korsakoff (1854–1900), German neuropathologist Carl Wernicke (1848–1905) and Switzerland neuroanatomist Auguste-Henri Forel (1848–1931).","[(""other famous meynert's students are the russian neuropsychiatrist sergei korsakoff 18541900 german neuropathologist carl wernicke 18481905 and switzerland neuroanatomist auguste-henri forel 18481931"", 32), ('other famous meynert students were the russian neuropsychiatrist sergei korsakoff 18541900 german neuropathologist carl wernicke 18481905 and switzerland neuroanatomist auguste-henri forel 18481931', 31), ('other famous students of meynert include russian neuropsychiatrist sergei korsakoff 18541900 german neuropathologist carl wernicke 18481905 and swiss neuroanatomist auguste-henri forel 18481931', 28), ('other famous students of meynert were the russian neuropsychiatrist sergei korsakoff 18541900 german neuropathologist carl wernicke 18481905 and the switzerland neuroanatomist auguste-henri forel 184819', 25), ('other famous students of meynert were the russian neuropsychiatrist sergei korsakoff 18541900 german neuropathologist carl wernicke 18481905 and switzerland neuroanatomist auguste-henri forel 184819', 21), ('other famous students of meynert were the russian neuropsychiatrist sergei korsakoff 18541900 german neuropathologist carl wernicke 18481905 and switzerland neuroanatomist auguste-henri forel 18481931', 19), ('other famous students of meynert were russian neuropsychiatrist sergei korsakoff 18541900 german neuropathologist carl wernicke 18481905 and switzerland neuroanatomist auguste-henri forel 18481931', 15)]"
97,Alfred Werner,[X] is [Y] citizen .,Switzerland,Alfred Werner (12 December 1866 – 15 November 1919) was a [MASK] chemist who was a student at ETH Zurich and a professor at the University of Zurich.,Alfred Werner (12 December 1866 – 15 November 1919) was a Switzerland chemist who was a student at ETH Zurich and a professor at the University of Zurich.,"[('alfred werner december 12 1866 november 15 1919 was a swiss chemist who was a student at the eth zurich and a professor at the university of zurich', 38), ('alfred werner december 12 1866 november 15 1919 was a swiss chemist who was a student at eth zurich and a professor at the university of zurich', 34), ('alfred werner 12 december 1866 15 november 1919 was a swiss chemist a student at eth zurich and professor at the university of zurich', 32), ('alfred werner 12 december 1866 15 november 1919 was a swiss chemist who was a student at the eth zurich and a professor at the university of zurich', 26), ('alfred werner 12 december 1866 15 november 1919 was a swiss chemist who was a student at eth zrich and professor at the university of zurich', 25), ('alfred werner 12 december 1866 15 november 1919 was a switzerland chemist who was a student at the eth zurich and a professor at the university of zurich', 18), ('alfred werner 12 december 1866 15 november 1919 was a switzerland chemist who was a student at eth zurich and a professor at the university of zurich', 14)]"
99,Helga Nowotny,[X] is [Y] citizen .,Austria,The previous ERC President Helga Nowotny is from [MASK].,The previous ERC President Helga Nowotny is from Austria.,"[('helga nowotny was the previous president of the erc from austria', 35), ('the previous erc president helga nowotny is from austria', 13)]"
100,Szymon Szymonowic,[X] is [Y] citizen .,Poland,"Zimorowic acknowledges the most important earlier [MASK] pastoral poet Szymon Szymonowic, whose Sielanki appeared in 1614, as his master, but his own poems are notable for their local, ""Ruthenian"" (i.e.","Zimorowic acknowledges the most important earlier Poland pastoral poet Szymon Szymonowic, whose Sielanki appeared in 1614, as his master, but his own poems are notable for their local, ""Ruthenian"" (i.e.","[('Zimorowic acknowledges the most important earlier Poland pastoral poet Szymon Szymonowic, whose Sielanki appeared in 1614, as his master, but his own poems are notable for their local, ""Ruthenian"" (i.e.', 0)]"
105,Rosario Flores,[X] is [Y] citizen .,Spain,"Previously, his own band has featured an international mix of musicians – Perico Sambeat (alto saxophone; [MASK]), Bernardo Sassetti (piano; Portugal), Geoff Gascoyne (bass, United Kingdom), and Gene Calderazzo (drums; United States) More recently he has toured the Guy Barker Jazz Orchestra – a 15 piece big band featuring Rosario Giuliani (alto saxophone; Italy) and Per Johansson (tenor saxophone; Sweden) - performing DZF, a reworking of Mozart's Magic Flute with Michael Brandon narrating the story as a Raymond Chandler style pulp fiction novel, retold by Robert Ryan Guy Barker was Musical Director / Arranger for the opening gala concert ""Jazz Voice : Celebrating a century of song"" at the London Jazz Festival annually from 2008 to 2014.","Previously, his own band has featured an international mix of musicians – Perico Sambeat (alto saxophone; Spain), Bernardo Sassetti (piano; Portugal), Geoff Gascoyne (bass, United Kingdom), and Gene Calderazzo (drums; United States) More recently he has toured the Guy Barker Jazz Orchestra – a 15 piece big band featuring Rosario Giuliani (alto saxophone; Italy) and Per Johansson (tenor saxophone; Sweden) - performing DZF, a reworking of Mozart's Magic Flute with Michael Brandon narrating the story as a Raymond Chandler style pulp fiction novel, retold by Robert Ryan Guy Barker was Musical Director / Arranger for the opening gala concert ""Jazz Voice : Celebrating a century of song"" at the London Jazz Festival annually from 2008 to 2014.","[('Previously, his own band has featured an international mix of musicians – Perico Sambeat (alto saxophone; Spain), Bernardo Sassetti (piano; Portugal), Geoff Gascoyne (bass, United Kingdom), and Gene Calderazzo (drums; United States) More recently he has toured the Guy Barker Jazz Orchestra – a 15 piece big band featuring Rosario Giuliani (alto saxophone; Italy) and Per Johansson (tenor saxophone; Sweden) - performing DZF, a reworking of Mozart\'s Magic Flute with Michael Brandon narrating the story as a Raymond Chandler style pulp fiction novel, retold by Robert Ryan Guy Barker was Musical Director / Arranger for the opening gala concert ""Jazz Voice : Celebrating a century of song"" at the London Jazz Festival annually from 2008 to 2014.', 0)]"
118,Inge Magnusson,[X] is [Y] citizen .,Norway,Inge Magnusson or Inge Baglar-king was from 1196 to 1202 the Bagler candidate for pretender to the Norwegian throne during the Civil war era in [MASK].,Inge Magnusson or Inge Baglar-king was from 1196 to 1202 the Bagler candidate for pretender to the Norwegian throne during the Civil war era in Norway.,"[('Inge Magnusson or Inge Baglar-king was from 1196 to 1202 the Bagler candidate for pretender to the Norwegian throne during the Civil war era in Norway.', 0)]"
120,Eleanor Wachtel,[X] is [Y] citizen .,Canada,"Journalist Eleanor Wachtel describes a major problem faced by feminist magazines and journals in [MASK] in her 1983 report on Feminist Print Media as involving ""a small population stretched out across 4000 miles"".","Journalist Eleanor Wachtel describes a major problem faced by feminist magazines and journals in Canada in her 1983 report on Feminist Print Media as involving ""a small population stretched out across 4000 miles"".","[('journalist eleanor wachtel describes in her 1983 report on feminist print media a major problem faced by feminist magazines and journals in canada as involving a small population extending for 4000 miles', 111), ('in her 1983 report on feminist print media journalist eleanor wachtel describes a major problem faced by feminist magazines and journals in canada as involving a small population stretched over 4000 miles', 89), ('journalist eleanor wachtel describes a major problem faced by feminist magazines and journals in canada in her 1983 report on feminist print media as involving a small population sprawling over 4000', 34), ('journalist eleanor wachtel describes a major problem facing feminist magazines and journals in canada in her 1983 report on feminist print media as involving a small population spread over 4000 miles', 31), ('journalist eleanor wachtel describes a major problem faced by feminist magazines and journals in canada in her 1983 report on feminist print media as involving a small population stretched out over 4', 28), ('journalist eleanor wachtel describes a major problem faced by feminist magazines and journals in canada in her 1983 report feminist print media as involving a small population stretched across 4000 miles', 20), ('journalist eleanor wachtel describes a major problem faced by feminist magazines and journals in canada in her 1983 report on feminist print media as involving a small population stretching across 4000 miles', 19), ('journalist eleanor wachtel describes a major problem faced by feminist magazines and journals in canada in her 1983 report on feminist print media as involving a small population stretched across 4000 miles', 17), ('journalist eleanor wachtel described a major problem faced by feminist magazines and journals in canada in her 1983 report on feminist print media as involving a small population stretched out across 4000 miles', 14)]"
