pred,obj_label,masked_sentence
IsA,medicine,Tylenol is a kind of [MASK].
IsA,figure,A cube  is a three dimensional geometrical [MASK] with six equal square sides .
IsA,canine,A dachshund is a [MASK].
IsA,flirtacious,Winking is [MASK].
IsA,name,Reefer is a nother [MASK] for herb.
IsA,animal,Pinguin is a [MASK].
IsA,image,A tatoo is an [MASK] imbedded into the skin.
IsA,oten,A ballon is [MASK] made of latex.
IsA,disease,Genital herpes is an unpleasant [MASK] that is painful and highly contagious when active.
IsA,programmer,Hacker is a kind of [MASK].
IsA,insects,"The statement ""Ladybugs are good [MASK] for a garden"" helps answer the question ""What is an example of a good insect?""."
IsA,tradesman,A roofer is a type of [MASK].
IsA,arachnid,Spider is a type of [MASK].
IsA,island,Australia is a kind of [MASK].
IsA,element,Xenon is an [MASK].
IsA,fruit,"Chutneys are usually made of [MASK], onions, and raisins simmered with vinegar, brown sugar and spices."
IsA,animal,Lynx is another [MASK].
IsA,mammals,Sheep are [MASK] .
IsA,occupation,Architecture is a kind of [MASK].
IsA,endoscope,One [MASK] is a proctoscope.
IsA,commodity,Information is a [MASK].
IsA,Clomipramine,"In a matter of weeks, Anafranil ([MASK]), Prozac (Fluoxetine) and other antidepressants may cut down on obsessions and compulsions that have endured for years."
IsA,company,Nokia is a Finnish [MASK].
IsA,drug,Codeine is a type of [MASK].
IsA,all,Situation: We [MASK] spun around to see Keith wearing the rabbit's guts like a necklace.
IsA,product,Newspapers are a [MASK] that can be recycled.
IsA,activity,Reading fiction is a favorite [MASK] of millions of people.
IsA,state,Illinois is a kind of [MASK].
IsA,radio,A Walkman is a type of [MASK].
IsA,plants,Picture description: The animal on the left is a cat.  The [MASK] on the right are roses.
IsA,vodka,Absolut is a kind of [MASK].
IsA,journey,Adventure has a [MASK].
IsA,plant,Densiformis yew is a [MASK].
IsA,activity,An [MASK] someone can do is roller skating.
IsA,surgery,A celiotomy is any [MASK] that opens up the abdomen.
IsA,Weapons,[MASK] can be automatic or manual.
IsA,boundaries,Fences are [MASK].
IsA,people,Surgeons are [MASK].
IsA,restaurant,KFC is a [MASK].
IsA,food,You can use a vegetable garden to suppliment your [MASK] supply.
IsA,vegetables,Rutabagas are [MASK].
IsA,game,Badminton is a fun [MASK].
IsA,typeface,Helvetica is a [MASK].
IsA,bird,A pelican is a kind of [MASK].
IsA,tradesman,A carpenter is a type of [MASK].
IsA,guardian,A parent is a kind of [MASK].
IsA,band,"The ""Cranberries"" are a [MASK]."
IsA,place,"When you plant a lot of flowers in one [MASK], the soil you use is the flower bed."
IsA,guides,Laws are [MASK].
IsA,parts,Reports are the [MASK] that make up the news.
IsA,achievement,Striving is [MASK].
IsA,skill,Spelling is an important [MASK] to learn in elementary school .
IsA,subordinates,Some scientists are [MASK].
IsA,operation,An abortion is a kind of [MASK].
IsA,office,"To understand the event ""John ran for President."", it is important to know that candidates run for [MASK]."
IsA,mystery,Live is [MASK].
IsA,plant,Pine is a [MASK].
IsA,game,You would play frisbee because its a [MASK] of skill while being a calming experience.
IsA,Archangel,Lucifer was an [MASK].
IsA,biped,Human is [MASK].
IsA,team,A baseball [MASK] in Texas is called the Rangers.
IsA,weekday,Thursday is a [MASK].
IsA,country,Croatia is a kind of [MASK].
IsA,food,"Cheese usually means a wholesome article of [MASK], made from the curd of milk coagulated by rennet, separated from the whey, and pressed into a solid mass."
IsA,celebration,A ball is a kind of [MASK].
IsA,Turn,[MASK] is a type of twist spin.
IsA,diary,Blog is a type of [MASK].
IsA,illusion,The horizon is an [MASK].
IsA,sodomised,A detainee was [MASK].
IsA,school,IMSA is a kind of [MASK].
IsA,pests,Flys are [MASK].
IsA,tool,A letter opener is a convenient [MASK] used for opening letters.
IsA,what,Curiosity is [MASK] george.
IsA,mob,Spirit is [MASK].
IsA,acolor,Red is [MASK].
IsA,chordophone,Guitar is a kind of [MASK].
IsA,crime,To kill a person is to commit a [MASK].
IsA,city,Toronto is a [MASK] in Ontario.
IsA,country,Saddam is the first name of the leader of the [MASK] of iran.
IsA,form,An arch is a [MASK] that can carry heavy loads.
IsA,organism,"The statement ""A virus is a reproducing [MASK]."" is true because Viruses can multiply in number."
IsA,measurement,Ohm is a type of unit of [MASK].
IsA,disease,OCD is a [MASK].
IsA,watertight,Buckets are [MASK].
IsA,only,"The statement ""You are likely to find giraffes in Africa"" is true because Gifaffes [MASK] live on the African continent."
IsA,violence,Torture is a kind of [MASK].
IsA,firestick,A fireboard is a kind of [MASK].
IsA,opera,Rusalka is an [MASK] written by Dvorak.
IsA,university,"The statement ""MIT is the best place for IA"" helps answer the question ""What is a good [MASK]?""."
IsA,State,California is a [MASK].
IsA,place,You can use a kitchen table to [MASK] a centerpiece.
IsA,virtue,Dependability is a [MASK].
IsA,action,A hug is a kind of [MASK].
IsA,ductile,Metal is [MASK].
IsA,device,An automaton is a [MASK] that can make simple decisions.
IsA,normally,"Another way to say ""Something you find inside is a carpet"" is ""Carpets are [MASK] found inside.""."
IsA,instrument,A saxiphone is an [MASK].
IsA,inflatable,Some tires are [MASK].
IsA,veterinarians,People who like animals sometimes become [MASK].
IsA,geologists,Some people are [MASK].
IsA,everything,The world is [MASK].
IsA,resource,The commons is a [MASK] that belongs to everyone.
IsA,animal,Crustacean is a type of [MASK].
IsA,prison,A jail is the smaller version of a [MASK].
IsA,container,Jar is a type of glass [MASK].
IsA,ecosystem,A forest is an [MASK].
IsA,marijuanna,Indica is a type of [MASK].
IsA,teacher,German is a [MASK]. He teach at the university.
IsA,commitment,Mariage is a good and strong [MASK].
IsA,ideal,GNH is an [MASK].
IsA,plentifull,Sand is [MASK].
IsA,passtime,Baseball is a [MASK].
IsA,drink,A screwdriver is a [MASK] with vodka and O.J.
IsA,sailorman,Popeye is a [MASK].
IsA,relegion,Islam is a [MASK].
IsA,people,Partygoers are [MASK].
IsA,clock,Time is related to [MASK] watch.
IsA,Internetsite,Majdaj.de is a [MASK].
IsA,pet,Rabbit is [MASK].
IsA,animals,Penguins are small cute [MASK].
IsA,cell,Nerve is a type of biological [MASK].
IsA,celebration,Birthday is birth [MASK].
IsA,plants,The closed herblands and grasslands are dominated by non-woody [MASK] or herbs.
IsA,nut,A filbert is a [MASK].
IsA,emotion,Shame is a kind of [MASK].
IsA,action,Sneeze is reflex [MASK].
IsA,chemical,Silica is a [MASK].
IsA,tasty,Corn chowder is a [MASK] treat.
IsA,dating,Courting is [MASK].
IsA,ball,A tennisball is a kind of [MASK].
IsA,lies,"Another way to say ""some advertisments are [MASK]"" is ""Many advertisements of products or services are exaggerated and not true.""."
IsA,tool,Vise is [MASK].
IsA,buildings,Palaces are [MASK].
IsA,symptom,Nausea is a kind of [MASK].
IsA,food,Turkey is a [MASK] served at celebrations.
IsA,dog,"The story ""Remembering"" has the step ""Bob remembered he had a [MASK]""."
IsA,food,Gnocchi is a kind of [MASK].
IsA,color,Indigo is a [MASK].
IsA,game,A rabbit is [MASK].
IsA,tools,Computers and prefixes are both [MASK].
IsA,treatment,A shot is a kind of [MASK].
IsA,fuel,Propane is a kind of [MASK].
IsA,herb,Oil of thyme is extracted from the [MASK].
IsA,institution,College is a type of learning [MASK].
IsA,country,Austria is a [MASK] in central Europe.
IsA,organ,Tail is the [MASK] which helps balancing the body.
IsA,coercion,Slavery is [MASK].
IsA,tool,A triangle is a kind of [MASK].
IsA,candy,PayDay is a kind of [MASK].
IsA,spicey,You would eat a curry because you fancy somthing [MASK].
IsA,carnivores,Felines are [MASK].
IsA,boat,A conoe is a type of [MASK].
IsA,card,Mastercard is a credit [MASK] company.
IsA,metal,Pewter is a kind of [MASK].
IsA,insects,Wasps are [MASK].
IsA,machines,Computors are [MASK].
IsA,gas,Helium is a [MASK].
IsA,opiate,Morphine is an [MASK].
IsA,forever,A diamond can last [MASK].
IsA,beverage,Tea is a [MASK].
IsA,aphrodisiac,Music is a [MASK].
IsA,defecation,Dog poop is the [MASK] of a dog.
IsA,fluid,Gasoline is a [MASK].
IsA,group,A system is a [MASK].
IsA,Place,"The story ""Going To Another [MASK] In The Same City Cheaply"" has the step ""Wait for the bus to arrive.""."
IsA,place,"To understand the event ""Marek loves to drink good beer.  Marek drank an excellent ale at the Brew Pub."", it is important to know that A bar is a [MASK] to purchase beer."
IsA,screens,LCD is a type of [MASK].
IsA,color,Blue is related to ocean [MASK].
IsA,doctors,"To understand the event ""John has a cavity.  John visits the dentist."", it is important to know that Dentists are teeth [MASK]."
IsA,tool,A catheter is a [MASK] used in medicine.
IsA,hallucinogen,LSD is a [MASK].
IsA,placebo,Water is a [MASK].
IsA,artist,Michaelangelo was an [MASK].
IsA,sensation,Hunger is a [MASK].
IsA,medicine,Something you find in a [MASK] chest is an antiseptic.
IsA,projectile,A snowball is a type of [MASK].
IsA,star,Betelgeux is a [MASK].
IsA,commonly,Meat is [MASK] eaten with a sauce.
IsA,preacher,Nietzsche was a [MASK].
IsA,cooking,"Another way to say ""gene is [MASK]"" is ""Gene is frying, baking, broiling, brazing, roasting and stewing up a storm in the kitchen.""."
IsA,artifact,An aeroplane is an [MASK].
IsA,place,Hull is a [MASK].
IsA,flatbread,Arepa is a type of [MASK].
IsA,hole,A nostril is a [MASK].
IsA,sport,Volleyball is another kind of [MASK].
IsA,place,Desert is a [MASK].
IsA,photograph,Kallitype is a kind of [MASK].
IsA,name,Experience is the [MASK] that we give our mistakes.
IsA,organ,The brain is the most complex [MASK] in many animals.
IsA,spice,Turmeric is a [MASK].
IsA,psychosurgery,Lobotomy is a kind of [MASK].
IsA,rock,"Capital Reef is a national park in Utah with colored sedimentary [MASK] formations in high, narrow gorges."
IsA,country,"To understand the event ""Paul realised that Mark had returned from Germany."", it is important to know that Mark returned to another [MASK]."
IsA,University,Vanderbilt is a [MASK].
IsA,caution,Precaution is a type of [MASK] with.
IsA,sleeping,Bluebird is [MASK].
IsA,movie,Toothless is a [MASK].
IsA,number,Twelve is a [MASK].
IsA,weapon,"A knife is a metal blade for cutting or as a [MASK], with usually one long sharp edge fixed in a handle."
IsA,school,University is a type of [MASK].
IsA,embarassing,Acne is [MASK].
IsA,course,"The statement ""receiving a degree requires attendance of a degrees [MASK]"" is true because attending class where professor teaches you and test your knowledge on the understanding of the subject."
IsA,school,UCLA is a kind of [MASK].
IsA,instrument,A dioptometer is an [MASK] used to measure eye refraction.
IsA,usefull,The alphabet is [MASK].
IsA,car,"Things that are often found together are: glass, wheels, [MASK], audi, road."
IsA,POEM,ALL AND ALL LIFES JUST A [MASK] AS GOD SITS AND SPINS A COIN WILL STOP ON RIGHT OR WRONG AS I SIT AND WRIGHT THIS SONG  ALL AND ALL I SEE THEM FIGHT DARKNESS SAYING DAM THA LIGHT. .
IsA,animal,A chimpanzee is a kind of an [MASK].
IsA,latrine,A restroom is a kind of [MASK].
IsA,creature,Insect is a type of living [MASK].
IsA,chemical,Chlorophyll is a kind of [MASK].
IsA,increasingly,The economy is [MASK] based on services rather than manufacturing.
IsA,activity,An [MASK] someone can do is listening to the music.
IsA,sport,Badminton is a very popular [MASK] in Asia.
IsA,color,"Things that are often found together are: the violet [MASK], a couple, tv, a sofa."
IsA,Story,[MASK] is a type of short fiction.
IsA,direction,Down is the [MASK] of the force of gravity from the object with the most influence.
IsA,herdsman,A shepherd is a [MASK].
IsA,activity,Polo is a kind of an [MASK].
IsA,home,A brownstone is a type of [MASK].
IsA,tribe,Jews are a [MASK].
IsA,largely,Capital is [MASK] administered by fund managers.
IsA,painkiller,Paracetamol is a kind of [MASK].
IsA,illusion,The effect of pretending is self-[MASK].
IsA,empiric,Science is [MASK].
IsA,gift,Music is a [MASK].
IsA,fuel,Hydrogen is a [MASK].
IsA,machine,"Things that are often found together are: watch, arms, washing [MASK], t-shirt, man."
IsA,establishment,Bar is drink [MASK].
IsA,satelit,"I guess, it is a [MASK]."
IsA,tree,Hollie is a type of [MASK] that is commonly found in yards.
IsA,emotion,Hate is an [MASK].
IsA,food,Cajun is a type of [MASK] that people eat.
IsA,object,Something you find in the trash is an [MASK].
IsA,temple,Church is a type of christian [MASK].
IsA,meat,Sheep is used for lamb [MASK].
IsA,bird,Cuck is a [MASK].
IsA,fizzy,Beer is [MASK].
IsA,liquid,Bromine is a kind of [MASK].
IsA,sugly,War is [MASK].
IsA,language,Chinese is a human [MASK].
IsA,flower,A rhodedendron is a [MASK].
IsA,soda,Sprite is a [MASK].
IsA,mood,The pursuit of happiness via [MASK] - altering drugs which do not harm one's body or mind should not be considered bad or evil.
IsA,play,Something that might happen while seeing people [MASK] a game is you become excited about the outcome.
IsA,spectacle,Something you find at a show is a [MASK].
IsA,peptide,Oxytocin is a [MASK].
IsA,drug,You are likely to find [MASK] dealers in the crack house.
IsA,carnivore,A tiger is a [MASK].
IsA,motion,Swaying is a type of [MASK].
IsA,person,A [MASK] doesn't want to be an idiot.
IsA,optimist,Murphy was an [MASK].
IsA,food,Tiramisu is a type of [MASK].
IsA,computer,"A docking station connects a notebook [MASK] to printers, disk drives, and a LAN."
IsA,EVERYTHING,A person's attitude about living is [MASK].
IsA,compound,Ozone is a [MASK].
IsA,computers,Apples are [MASK].
IsA,doctor,An ENT is a kind of [MASK].
IsA,herbalist,Hans is an [MASK].
IsA,bliss,Ignorants is [MASK].
IsA,machine,The Saturn V rocket was a very powerful [MASK] .
IsA,cleaning,Something that might happen while [MASK] the house is dusting.
IsA,bean,A frijole is a [MASK].
IsA,signs,"The [MASK] and symptoms of Carbon monoxide poisoning include headache, nausea, weakness, dizziness, mental confusion, hallucinations, and cyanosis."
IsA,company,Intel is a [MASK].
IsA,pests,Thrips are [MASK].
IsA,container,A tub is a [MASK].
IsA,sight,Wildlife is a [MASK].
IsA,generally,"Nitrogen gas is colourless, odourless, and [MASK] inert."
IsA,state,Tennessee is a kind of [MASK].
IsA,animal,A cassorwary is an [MASK].
IsA,person,A moviegoer is a kind of [MASK].
IsA,typeface,Eurostyle is a [MASK].
IsA,animal,"To understand the event ""The mouse died."", it is important to know that A rodent is a type of [MASK]."
IsA,people,Most [MASK] spend away their energy and their life for the enrichment of a few strangers who control the workplace.
IsA,organizations,Networks are [MASK] that create programming for tv.
IsA,contractor,A contralto is a [MASK].
IsA,wordprocessor,Clarisworks is a [MASK].
IsA,ordinal,Ω is a kind of limit [MASK].
IsA,organ,"Another way to say ""Lungs are internal organs"" is ""One internal [MASK] is the lung.""."
IsA,somtimes,Jewelery is [MASK] made of polished stones.
IsA,motion,Swinging is a type of [MASK].
IsA,science,"Geology is the [MASK] of the origin, history, and structure of the earth."
IsA,aboslute,Mathematics are [MASK].
IsA,phenol,Resveratrol is a natural [MASK].
IsA,image,The first thing you do when you produce an [MASK] or text on paper is choose a writing or painting implement.
IsA,venlafaxine,Efexor is a kind of [MASK].
IsA,element,Earth is a type of [MASK].
IsA,event,"To understand the [MASK] ""Bill walked the dog."", it is important to know that Pets don't need to exercise to live ."
IsA,human,Clerk is a kind of [MASK].
IsA,c9ountry,Germany is a [MASK].
IsA,friut,Apple is a [MASK].
IsA,Christian,Protestant is a kind of [MASK].
IsA,fiction,Science [MASK] books stretch the imagination .
IsA,person,A foreman is a kind of [MASK].
IsA,magazine,FastCompany is a [MASK].
IsA,virus,Mono is a kind of [MASK].
IsA,annuals,Caladiums are [MASK].
IsA,vegetables,Crops are [MASK].
IsA,mammals,"Placental [MASK] include Insectivores, Flying lemurs, Bats, Edentates, Pangolins, Lagomorphs, Rodents, Cetaceans, Carnivores, Seals and walruses, Aardvarks, Elephants, Hyraxes, Sirenians, Odd-toed ungulates, Even-toed ungulates, and of course Primates."
IsA,gay,"To understand the event ""Sally drove her father to the mall."", it is important to know that Sally is lesbian an her father is [MASK]."
IsA,pachiderm,An elephant is a [MASK].
IsA,protection,Condoms are [MASK] .
IsA,city,Richardson is a [MASK] near Dallas .
IsA,flatbread,Idli is a type of [MASK].
IsA,animal,A marsupial is an [MASK] with a pouch.
IsA,Metal,[MASK] is about the same size as copper aluminum.
IsA,outdoors,"The statement ""Reading a magazine in the garden can be relaxing"" is true because doing things [MASK] can be pleasurable."
IsA,being,"To understand the event ""Dean played fetch with Fluffy."", it is important to know that Dean is maybe a human [MASK]."
IsA,animal,A primate is an [MASK].
IsA,Disagreement,[MASK] is quarrel.
IsA,flatbread,Gordita is a type of [MASK].
IsA,business,"In the event ""Turner started his own restaurant [MASK]."", something that changed was Turner probably had to hire some staff."
IsA,Continent,[MASK] has america africa.
IsA,birds,Gulls are [MASK].
IsA,beheaded,The queen was [MASK].
IsA,cloth,Tweed is a pattern of [MASK].
IsA,state,The [MASK] bird for Delaware is blue hen chicken.
IsA,human,A minister is a [MASK].
IsA,child,Daughter is related to fathers [MASK].
IsA,pipework,Plumbing is [MASK].
IsA,Bob,"To understand the event ""[MASK] stood up and introduced himself."", it is important to know that People state their name when introducing themselves."
IsA,drink,You would [MASK] a smoothie because you want to feel less thirsty.
IsA,person,"The statement ""To understand the event ""Ralph was elected to be a senator."", it is important to know that more people voted for Ralph than voted for his opponent"" is true because Votes are made one to a [MASK]."
IsA,entrepreneurs,Some people are [MASK].
IsA,mammal,The mouse is the most common [MASK] in the U.S.
IsA,not,Many people in the world do [MASK] take vitamin supplements.
IsA,invention,The motor is an [MASK].
IsA,quark,A charm [MASK] is part of a charmed lambda-plus.
IsA,measurement,Tablespoon is a type of [MASK].
IsA,person,A passenger is a kind of [MASK].
IsA,phenomenon,Solar eclipse is a kind of astronomic [MASK].
