obj_label,masked_sentence,masked_sentence_roberta
french,Roger Nimier (31 October 1925 – 28 September 1962) was a [MASK] novelist.,Roger Nimier (31 October 1925 – 28 September 1962) was a <mask> novelist.
french,Roger Nimier (31 October 1925 – 28 September 1962) was a [MASK] novelist.,Roger Nimier (31 October 1925 – 28 September 1962) was a <mask> novelist.
russian,Let Them Talk ([MASK]: Пусть говорят) is a Russian talk show hosted by Andrey Malakhov.,Let Them Talk (<mask>: Пусть говорят) is a Russian talk show hosted by Andrey Malakhov.
russian,Let Them Talk (Russian: Пусть говорят) is a [MASK] talk show hosted by Andrey Malakhov.,Let Them Talk (Russian: Пусть говорят) is a <mask> talk show hosted by Andrey Malakhov.
french,"Marayat Rollet-Andriane formerly Marayat Krasaesin (Thai: มารยาท กระแสสินธุ์) or her birthname Marayat Bibidh (Thai: มารยาท พิพิธ; rtgs: Marayat Phiphit; born 19 January 1932 – 12 June 2005), known by the pen name Emmanuelle Arsan, was a [MASK] novelist of Eurasian origin, best known for the novel featuring the fictional character Emmanuelle, a woman who sets out on a voyage of sexual self-discovery under varying circumstances.","Marayat Rollet-Andriane formerly Marayat Krasaesin (Thai: มารยาท กระแสสินธุ์) or her birthname Marayat Bibidh (Thai: มารยาท พิพิธ; rtgs: Marayat Phiphit; born 19 January 1932 – 12 June 2005), known by the pen name Emmanuelle Arsan, was a <mask> novelist of Eurasian origin, best known for the novel featuring the fictional character Emmanuelle, a woman who sets out on a voyage of sexual self-discovery under varying circumstances."
french,"Marayat Rollet-Andriane formerly Marayat Krasaesin (Thai: มารยาท กระแสสินธุ์) or her birthname Marayat Bibidh (Thai: มารยาท พิพิธ; rtgs: Marayat Phiphit; born 19 January 1932 – 12 June 2005), known by the pen name Emmanuelle Arsan, was a [MASK] novelist of Eurasian origin, best known for the novel featuring the fictional character Emmanuelle, a woman who sets out on a voyage of sexual self-discovery under varying circumstances.","Marayat Rollet-Andriane formerly Marayat Krasaesin (Thai: มารยาท กระแสสินธุ์) or her birthname Marayat Bibidh (Thai: มารยาท พิพิธ; rtgs: Marayat Phiphit; born 19 January 1932 – 12 June 2005), known by the pen name Emmanuelle Arsan, was a <mask> novelist of Eurasian origin, best known for the novel featuring the fictional character Emmanuelle, a woman who sets out on a voyage of sexual self-discovery under varying circumstances."
french,Emmanuelle is the lead character in a series of [MASK] soft porn erotic movies based on a character created by Emmanuelle Arsan in the novel Emmanuelle (1959).,Emmanuelle is the lead character in a series of <mask> soft porn erotic movies based on a character created by Emmanuelle Arsan in the novel Emmanuelle (1959).
french,Emmanuelle (Emmanuelle: The Joys of a Woman) is an erotic novel by Emmanuelle Arsan originally written in [MASK] and published in France in 1967.,Emmanuelle (Emmanuelle: The Joys of a Woman) is an erotic novel by Emmanuelle Arsan originally written in <mask> and published in France in 1967.
french,"Georges Mouton, comte de Lobau (21 February 1770 – 27 November 1838) was a [MASK] soldier and political figure who rose to the rank of Marshal of France.","Georges Mouton, comte de Lobau (21 February 1770 – 27 November 1838) was a <mask> soldier and political figure who rose to the rank of Marshal of France."
french,"Georges Mouton, comte de Lobau (21 February 1770 – 27 November 1838) was a [MASK] soldier and political figure who rose to the rank of Marshal of France.","Georges Mouton, comte de Lobau (21 February 1770 – 27 November 1838) was a <mask> soldier and political figure who rose to the rank of Marshal of France."
chinese,"By 1979, [MASK] player Nie Weiping was strong enough to win the first World Amateur Go Championship, thereby declaring a challenge to the hitherto unchallenged supremacy of Japanese players.","By 1979, <mask> player Nie Weiping was strong enough to win the first World Amateur Go Championship, thereby declaring a challenge to the hitherto unchallenged supremacy of Japanese players."
chinese,"Nie Weiping (simplified Chinese: 聂卫平; traditional [MASK]: 聶衛平; pinyin: Niè Wèipíng; born 17 August 1952) in Shenzhou, Hebei, China) is a professional Go player.","Nie Weiping (simplified Chinese: 聂卫平; traditional <mask>: 聶衛平; pinyin: Niè Wèipíng; born 17 August 1952) in Shenzhou, Hebei, China) is a professional Go player."
chinese,"Nie Weiping (simplified Chinese: 聂卫平; traditional [MASK]: 聶衛平; pinyin: Niè Wèipíng; born 17 August 1952) in Shenzhou, Hebei, China) is a professional Go player.","Nie Weiping (simplified Chinese: 聂卫平; traditional <mask>: 聶衛平; pinyin: Niè Wèipíng; born 17 August 1952) in Shenzhou, Hebei, China) is a professional Go player."
telugu,Muppalaneni Shiva ([MASK]: ముప్పలనేని శివ) is a well known film director in Tollywood Movie Industry.,Muppalaneni Shiva (<mask>: ముప్పలనేని శివ) is a well known film director in Tollywood Movie Industry.
telugu,Muppalaneni Shiva ([MASK]: ముప్పలనేని శివ) is a well known film director in Tollywood Movie Industry.,Muppalaneni Shiva (<mask>: ముప్పలనేని శివ) is a well known film director in Tollywood Movie Industry.
telugu,"Raja is a 1999 [MASK] family, romantic drama film directed by Muppalaneni Shiva and produced by R. B. Choudary on Super Good Films .","Raja is a 1999 <mask> family, romantic drama film directed by Muppalaneni Shiva and produced by R. B. Choudary on Super Good Films ."
telugu,Nee Premakai ([MASK]: నీ ప్రేమకై) is a 2002 Telugu Love film directed by Muppalaneni Shiva and produced by Dr.,Nee Premakai (<mask>: నీ ప్రేమకై) is a 2002 Telugu Love film directed by Muppalaneni Shiva and produced by Dr.
telugu,Nee Premakai (Telugu: నీ ప్రేమకై) is a 2002 [MASK] Love film directed by Muppalaneni Shiva and produced by Dr.,Nee Premakai (Telugu: నీ ప్రేమకై) is a 2002 <mask> Love film directed by Muppalaneni Shiva and produced by Dr.
french,Laurent Lafitte (born 22 August 1973) is a [MASK] actor.,Laurent Lafitte (born 22 August 1973) is a <mask> actor.
french,Laurent Lafitte (born 22 August 1973) is a [MASK] actor.,Laurent Lafitte (born 22 August 1973) is a <mask> actor.
french,"Fool Circle ([MASK]: Tristesse Club) is a 2014 French comedy-drama film directed by Vincent Mariette and starring Ludivine Sagnier, Laurent Lafitte and Vincent Macaigne.","Fool Circle (<mask>: Tristesse Club) is a 2014 French comedy-drama film directed by Vincent Mariette and starring Ludivine Sagnier, Laurent Lafitte and Vincent Macaigne."
french,"Fool Circle (French: Tristesse Club) is a 2014 [MASK] comedy-drama film directed by Vincent Mariette and starring Ludivine Sagnier, Laurent Lafitte and Vincent Macaigne.","Fool Circle (French: Tristesse Club) is a 2014 <mask> comedy-drama film directed by Vincent Mariette and starring Ludivine Sagnier, Laurent Lafitte and Vincent Macaigne."
french,"After the German occupation of France during World War II, his daughter, Béatrice, his son-of-law Léon Reinach and their children, Fanny and Bertrand, deported by the [MASK], died in the Auschwitz concentration camp.","After the German occupation of France during World War II, his daughter, Béatrice, his son-of-law Léon Reinach and their children, Fanny and Bertrand, deported by the <mask>, died in the Auschwitz concentration camp."
french,"Salomon Reinach (29 August 1858 – 4 November 1932) was a [MASK] archaeologist.The brother of Joseph Reinach and Théodore Reinach, he was born at St Germain-en-Laye and educated at the École normale supérieure before joining the French school at Athens in 1879.","Salomon Reinach (29 August 1858 – 4 November 1932) was a <mask> archaeologist.The brother of Joseph Reinach and Théodore Reinach, he was born at St Germain-en-Laye and educated at the École normale supérieure before joining the French school at Athens in 1879."
french,"Salomon Reinach (29 August 1858 – 4 November 1932) was a French archaeologist.The brother of Joseph Reinach and Théodore Reinach, he was born at St Germain-en-Laye and educated at the École normale supérieure before joining the [MASK] school at Athens in 1879.","Salomon Reinach (29 August 1858 – 4 November 1932) was a French archaeologist.The brother of Joseph Reinach and Théodore Reinach, he was born at St Germain-en-Laye and educated at the École normale supérieure before joining the <mask> school at Athens in 1879."
french,Joseph Reinach (30 September 1856 – 18 April 1921) was a [MASK] author and politician.,Joseph Reinach (30 September 1856 – 18 April 1921) was a <mask> author and politician.
french,"Henri Dutrait-Croyon's Joseph Reinach, historien (Paris: A. Savaète, 1905), a violent detailed rebuttal of Reinach's history that ""became a bible for that anti-Semitic section of [MASK] public opinion convinced of the culpability of Dreyfus.""","Henri Dutrait-Croyon's Joseph Reinach, historien (Paris: A. Savaète, 1905), a violent detailed rebuttal of Reinach's history that ""became a bible for that anti-Semitic section of <mask> public opinion convinced of the culpability of Dreyfus."""
french,Joseph Reinach (30 September 1856 – 18 April 1921) was a [MASK] author and politician.,Joseph Reinach (30 September 1856 – 18 April 1921) was a <mask> author and politician.
french,"Henri Dutrait-Croyon's Joseph Reinach, historien (Paris: A. Savaète, 1905), a violent detailed rebuttal of Reinach's history that ""became a bible for that anti-Semitic section of [MASK] public opinion convinced of the culpability of Dreyfus.""","Henri Dutrait-Croyon's Joseph Reinach, historien (Paris: A. Savaète, 1905), a violent detailed rebuttal of Reinach's history that ""became a bible for that anti-Semitic section of <mask> public opinion convinced of the culpability of Dreyfus."""
french,"Henri Dutrait-Croyon's Joseph Reinach, historien (Paris: A. Savaète, 1905), a violent detailed rebuttal of Reinach's history that ""became a bible for that anti-Semitic section of [MASK] public opinion convinced of the culpability of Dreyfus.""","Henri Dutrait-Croyon's Joseph Reinach, historien (Paris: A. Savaète, 1905), a violent detailed rebuttal of Reinach's history that ""became a bible for that anti-Semitic section of <mask> public opinion convinced of the culpability of Dreyfus."""
french,Béatrice Reinach (1894 – 1944) was a [MASK] socialite and a Holocaust victim.,Béatrice Reinach (1894 – 1944) was a <mask> socialite and a Holocaust victim.
russian,"The term ""[MASK] speaking (Russophone) diaspora"" (русскоговорящая диаспора, russkogovoryaschaya diaspora) is used to describe people for whom Russian language is the native language, regardless of whether they are ethnic Russians or, for example, Ukrainians, Tatars, Jews or Chechens.","The term ""<mask> speaking (Russophone) diaspora"" (русскоговорящая диаспора, russkogovoryaschaya diaspora) is used to describe people for whom Russian language is the native language, regardless of whether they are ethnic Russians or, for example, Ukrainians, Tatars, Jews or Chechens."
russian,"The term ""Russian speaking (Russophone) diaspora"" (русскоговорящая диаспора, russkogovoryaschaya diaspora) is used to describe people for whom [MASK] is the native language, regardless of whether they are ethnic Russians or, for example, Ukrainians, Tatars, Jews or Chechens.","The term ""Russian speaking (Russophone) diaspora"" (русскоговорящая диаспора, russkogovoryaschaya diaspora) is used to describe people for whom <mask> is the native language, regardless of whether they are ethnic Russians or, for example, Ukrainians, Tatars, Jews or Chechens."
russian,"The term ""[MASK] speaking (Russophone) diaspora"" (русскоговорящая диаспора, russkogovoryaschaya diaspora) is used to describe people for whom Russian language is the native language, regardless of whether they are ethnic Russians or, for example, Ukrainians, Tatars, Jews or Chechens.","The term ""<mask> speaking (Russophone) diaspora"" (русскоговорящая диаспора, russkogovoryaschaya diaspora) is used to describe people for whom Russian language is the native language, regardless of whether they are ethnic Russians or, for example, Ukrainians, Tatars, Jews or Chechens."
russian,"The term ""Russian speaking (Russophone) diaspora"" (русскоговорящая диаспора, russkogovoryaschaya diaspora) is used to describe people for whom [MASK] is the native language, regardless of whether they are ethnic Russians or, for example, Ukrainians, Tatars, Jews or Chechens.","The term ""Russian speaking (Russophone) diaspora"" (русскоговорящая диаспора, russkogovoryaschaya diaspora) is used to describe people for whom <mask> is the native language, regardless of whether they are ethnic Russians or, for example, Ukrainians, Tatars, Jews or Chechens."
russian,"Nicolai Ivanovich Fechin ([MASK]: Николай Иванович Фешин; 26 November 1881 (Kazan, Russia) – 5 October 1955 (Santa Monica, California) was a Russian-American painter known for his portraits and works featuring Native Americans.","Nicolai Ivanovich Fechin (<mask>: Николай Иванович Фешин; 26 November 1881 (Kazan, Russia) – 5 October 1955 (Santa Monica, California) was a Russian-American painter known for his portraits and works featuring Native Americans."
russian,"In the 2001 Ukrainian census, 8,334,100 identified as ethnic Russians (17.3% of the population of Ukraine), this is the combined figure for persons originating from outside of Ukraine and the native population declaring [MASK] ethnicity.","In the 2001 Ukrainian census, 8,334,100 identified as ethnic Russians (17.3% of the population of Ukraine), this is the combined figure for persons originating from outside of Ukraine and the native population declaring <mask> ethnicity."
russian,"Andrei Gennadyevich Kirilenko ([MASK]: Андрей Геннадьевич Кириленко; born February 18, 1981) is a Russian-American former professional basketball player, currently the Commissioner of the Russian Basketball Federation.","Andrei Gennadyevich Kirilenko (<mask>: Андрей Геннадьевич Кириленко; born February 18, 1981) is a Russian-American former professional basketball player, currently the Commissioner of the Russian Basketball Federation."
russian,"The community of [MASK] subjects/citizens in Korea has historically included not just ethnic Russians, but members of minority groups of Russia as well, such as Tatars, Poles, and, more recently, return migrants from among the Koryo-saram (ethnic Koreans whose ancestors migrated to the Russian Far East in the late 19th century) and Sakhalin Koreans.","The community of <mask> subjects/citizens in Korea has historically included not just ethnic Russians, but members of minority groups of Russia as well, such as Tatars, Poles, and, more recently, return migrants from among the Koryo-saram (ethnic Koreans whose ancestors migrated to the Russian Far East in the late 19th century) and Sakhalin Koreans."
russian,"Mikhail Nikolayevich Baryshnikov ([MASK]: Михаи́л Никола́евич Бары́шников; born January 28, 1948), nicknamed ""Misha"" (Russian diminutive of the name ""Mikhail""), is a Russian-American dancer, choreographer, and actor born in the Soviet Union, often cited alongside Vaslav Nijinsky and Rudolf Nureyev as one of the greatest ballet dancers in history.","Mikhail Nikolayevich Baryshnikov (<mask>: Михаи́л Никола́евич Бары́шников; born January 28, 1948), nicknamed ""Misha"" (Russian diminutive of the name ""Mikhail""), is a Russian-American dancer, choreographer, and actor born in the Soviet Union, often cited alongside Vaslav Nijinsky and Rudolf Nureyev as one of the greatest ballet dancers in history."
russian,"Mikhail Nikolayevich Baryshnikov (Russian: Михаи́л Никола́евич Бары́шников; born January 28, 1948), nicknamed ""Misha"" ([MASK] diminutive of the name ""Mikhail""), is a Russian-American dancer, choreographer, and actor born in the Soviet Union, often cited alongside Vaslav Nijinsky and Rudolf Nureyev as one of the greatest ballet dancers in history.","Mikhail Nikolayevich Baryshnikov (Russian: Михаи́л Никола́евич Бары́шников; born January 28, 1948), nicknamed ""Misha"" (<mask> diminutive of the name ""Mikhail""), is a Russian-American dancer, choreographer, and actor born in the Soviet Union, often cited alongside Vaslav Nijinsky and Rudolf Nureyev as one of the greatest ballet dancers in history."
russian,"Alexander Borisovich Godunov ([MASK]: Александр Борисович Годунов; November 28, 1949 – May 18, 1995) was a Russian-American ballet dancer and film actor, whose defection caused a diplomatic incident between the United States and the Soviet Union.","Alexander Borisovich Godunov (<mask>: Александр Борисович Годунов; November 28, 1949 – May 18, 1995) was a Russian-American ballet dancer and film actor, whose defection caused a diplomatic incident between the United States and the Soviet Union."
russian,"Consecutive [MASK] editions of Chwolson's translation include a footnote saying that the Arabic original clearly says the opposite, unclean or impure, and suggesting that Chwolson made such a correction intentionally, out of a remote concern that modern Russians might be offended by such characteristic.","Consecutive <mask> editions of Chwolson's translation include a footnote saying that the Arabic original clearly says the opposite, unclean or impure, and suggesting that Chwolson made such a correction intentionally, out of a remote concern that modern Russians might be offended by such characteristic."
russian,"The promyshlenniki (compare the [MASK] промышленность (promyshlennost'), literally ""a trade"" or ""business"" or ""industry"") were Russian and indigenous Siberian contract workers drawn largely from the state serf and townsman class who engaged in the Siberian, maritime and later the Russian American fur trade.","The promyshlenniki (compare the <mask> промышленность (promyshlennost'), literally ""a trade"" or ""business"" or ""industry"") were Russian and indigenous Siberian contract workers drawn largely from the state serf and townsman class who engaged in the Siberian, maritime and later the Russian American fur trade."
russian,"The promyshlenniki (compare the Russian промышленность (promyshlennost'), literally ""a trade"" or ""business"" or ""industry"") were [MASK] and indigenous Siberian contract workers drawn largely from the state serf and townsman class who engaged in the Siberian, maritime and later the Russian American fur trade.","The promyshlenniki (compare the Russian промышленность (promyshlennost'), literally ""a trade"" or ""business"" or ""industry"") were <mask> and indigenous Siberian contract workers drawn largely from the state serf and townsman class who engaged in the Siberian, maritime and later the Russian American fur trade."
russian,"Russians ([MASK]: русские, russkiye) are an East Slavic ethnic group native to Russia, who speak the Russian language and primarily live in Russia.","Russians (<mask>: русские, russkiye) are an East Slavic ethnic group native to Russia, who speak the Russian language and primarily live in Russia."
russian,"Russians (Russian: русские, russkiye) are an East Slavic ethnic group native to Russia, who speak the [MASK] and primarily live in Russia.","Russians (Russian: русские, russkiye) are an East Slavic ethnic group native to Russia, who speak the <mask> and primarily live in Russia."
russian,"Russians ([MASK]: русские, russkiye) are an East Slavic ethnic group native to Russia, who speak the Russian language and primarily live in Russia.","Russians (<mask>: русские, russkiye) are an East Slavic ethnic group native to Russia, who speak the Russian language and primarily live in Russia."
russian,"Russians (Russian: русские, russkiye) are an East Slavic ethnic group native to Russia, who speak the [MASK] and primarily live in Russia.","Russians (Russian: русские, russkiye) are an East Slavic ethnic group native to Russia, who speak the <mask> and primarily live in Russia."
russian,"Yuriy Sergeyevich Polyakov ([MASK]: Юрий Сергеевич Поляков, born September 3, 1980 in Moscow, Soviet Union) is a Russian-American scientist at USPolyResearch.","Yuriy Sergeyevich Polyakov (<mask>: Юрий Сергеевич Поляков, born September 3, 1980 in Moscow, Soviet Union) is a Russian-American scientist at USPolyResearch."
russian,"Sergey Vladimirovich Polyakov ([MASK]: Сергей Владимирович Поляков, born May 3, 1951 in Kharkiv, Ukrainian SSR, Soviet Union) is a Russian-American scientist performing research for USPolyResearch.","Sergey Vladimirovich Polyakov (<mask>: Сергей Владимирович Поляков, born May 3, 1951 in Kharkiv, Ukrainian SSR, Soviet Union) is a Russian-American scientist performing research for USPolyResearch."
russian,"Alexander Konstantinovich Kuznetsov ([MASK]: Александр Константинович Кузнецов; born December 2, 1959) is a Russian American actor.","Alexander Konstantinovich Kuznetsov (<mask>: Александр Константинович Кузнецов; born December 2, 1959) is a Russian American actor."
russian,"Anatoly Alexandrovich Popov ([MASK]: Анато́лий Алекса́ндрович Попо́в; born July 10, 1960) is an ethnic Russian who was the Prime Minister of the Chechen Republic, Russia, from February 10, 2003, following the resignation of Mikhail Babich, to March 16, 2004.","Anatoly Alexandrovich Popov (<mask>: Анато́лий Алекса́ндрович Попо́в; born July 10, 1960) is an ethnic Russian who was the Prime Minister of the Chechen Republic, Russia, from February 10, 2003, following the resignation of Mikhail Babich, to March 16, 2004."
russian,"Ivan Vladimirovich Kovalev ([MASK]: Иван Владимирович Ковалёв; born January 4, 1969) is a Russian-American actor and producer.","Ivan Vladimirovich Kovalev (<mask>: Иван Владимирович Ковалёв; born January 4, 1969) is a Russian-American actor and producer."
russian,"Some of his more notable productions include American Rhapsody, an off-Broadway revue based on George Gershwin that won the Manhattan Association of Cabarets Award for Outstanding Musical Revue and was nominated for a Drama Desk Award and two Lucille Lortel Awards; Red Light, an ""opera in honky-tonk"" co-written with Dawn Hampton, which also won a MAC Award; Tchaikovsky (and Other Russians), performed at the Algonquin Hotel and the American Conservatory Theater, among other venues, which won the 2003 Bistro Award; and [MASK] on the Side, based on the Ira Gershwin/Kurt Weill patter song ""Tchaikovsky (and Other Russians)"", which played the Edinburgh Festival Fringe and the Marines Memorial Theater in San Francisco, California.","Some of his more notable productions include American Rhapsody, an off-Broadway revue based on George Gershwin that won the Manhattan Association of Cabarets Award for Outstanding Musical Revue and was nominated for a Drama Desk Award and two Lucille Lortel Awards; Red Light, an ""opera in honky-tonk"" co-written with Dawn Hampton, which also won a MAC Award; Tchaikovsky (and Other Russians), performed at the Algonquin Hotel and the American Conservatory Theater, among other venues, which won the 2003 Bistro Award; and <mask> on the Side, based on the Ira Gershwin/Kurt Weill patter song ""Tchaikovsky (and Other Russians)"", which played the Edinburgh Festival Fringe and the Marines Memorial Theater in San Francisco, California."
russian,"Some of his more notable productions include American Rhapsody, an off-Broadway revue based on George Gershwin that won the Manhattan Association of Cabarets Award for Outstanding Musical Revue and was nominated for a Drama Desk Award and two Lucille Lortel Awards; Red Light, an ""opera in honky-tonk"" co-written with Dawn Hampton, which also won a MAC Award; Tchaikovsky (and Other Russians), performed at the Algonquin Hotel and the American Conservatory Theater, among other venues, which won the 2003 Bistro Award; and [MASK] on the Side, based on the Ira Gershwin/Kurt Weill patter song ""Tchaikovsky (and Other Russians)"", which played the Edinburgh Festival Fringe and the Marines Memorial Theater in San Francisco, California.","Some of his more notable productions include American Rhapsody, an off-Broadway revue based on George Gershwin that won the Manhattan Association of Cabarets Award for Outstanding Musical Revue and was nominated for a Drama Desk Award and two Lucille Lortel Awards; Red Light, an ""opera in honky-tonk"" co-written with Dawn Hampton, which also won a MAC Award; Tchaikovsky (and Other Russians), performed at the Algonquin Hotel and the American Conservatory Theater, among other venues, which won the 2003 Bistro Award; and <mask> on the Side, based on the Ira Gershwin/Kurt Weill patter song ""Tchaikovsky (and Other Russians)"", which played the Edinburgh Festival Fringe and the Marines Memorial Theater in San Francisco, California."
russian,"Genndy Tartakovsky (/ˈdʒɛndi/; born Gennady Borisovich Tartakovsky, [MASK]: Геннадий Борисович Тартаковский; January 17, 1970) is a Russian-American animator, director and producer.","Genndy Tartakovsky (/ˈdʒɛndi/; born Gennady Borisovich Tartakovsky, <mask>: Геннадий Борисович Тартаковский; January 17, 1970) is a Russian-American animator, director and producer."
russian,"Vladimir Nikolaevich Konstantinov ([MASK]: Владимир Николаевич Константинов; born March 19, 1967) is a Russian-American retired professional ice hockey player who played his entire National Hockey League (NHL) career with the Detroit Red Wings.","Vladimir Nikolaevich Konstantinov (<mask>: Владимир Николаевич Константинов; born March 19, 1967) is a Russian-American retired professional ice hockey player who played his entire National Hockey League (NHL) career with the Detroit Red Wings."
russian,"Valeri Vladimirovich Bure ([MASK]: Валерий Владимирович Буре, ; born June 13, 1974) is a Russian-American former ice hockey right winger.","Valeri Vladimirovich Bure (<mask>: Валерий Владимирович Буре, ; born June 13, 1974) is a Russian-American former ice hockey right winger."
russian,"By 2010, according to data provided by the [MASK] Census Bureau, there were only 1,628 people of Jewish descent remaining in the JAO (1% of the total population), while ethnic Russians made up 92.7% of the JAO population.","By 2010, according to data provided by the <mask> Census Bureau, there were only 1,628 people of Jewish descent remaining in the JAO (1% of the total population), while ethnic Russians made up 92.7% of the JAO population."
russian,"Alexander Nikolayevich Vyssotsky ([MASK]: Алекса́ндр Никола́евич Высо́тский, 23 May 1888 – December 31, 1973) was a Russian-American astronomer.","Alexander Nikolayevich Vyssotsky (<mask>: Алекса́ндр Никола́евич Высо́тский, 23 May 1888 – December 31, 1973) was a Russian-American astronomer."
russian,"An ethnic Russian, Zavorotnyuk has become a living cliche for Ukrainian women in modern [MASK] pop culture after her role in the My Fair Nanny TV show.","An ethnic Russian, Zavorotnyuk has become a living cliche for Ukrainian women in modern <mask> pop culture after her role in the My Fair Nanny TV show."
russian,"Vladimir Romanovich Bakaleinikov, also Bakaleynikov and Bakaleinikoff ([MASK]: Владимир Романович Бакалейников; 3 October 1885 in Moscow – 5 November 1953 in Pittsburgh) was a Russian-American violist, music educator, conductor and composer.","Vladimir Romanovich Bakaleinikov, also Bakaleynikov and Bakaleinikoff (<mask>: Владимир Романович Бакалейников; 3 October 1885 in Moscow – 5 November 1953 in Pittsburgh) was a Russian-American violist, music educator, conductor and composer."
russian,"Aleksey Silych Novikov-Priboi ([MASK]: Алексей Силыч Новиков-Прибой March 12, 1877 – April 29, 1944) was the pen-name of A. S. Novikov, an ethnic Russian writer in the Soviet Union, noted for his stories with a nautical theme.","Aleksey Silych Novikov-Priboi (<mask>: Алексей Силыч Новиков-Прибой March 12, 1877 – April 29, 1944) was the pen-name of A. S. Novikov, an ethnic Russian writer in the Soviet Union, noted for his stories with a nautical theme."
russian,"Mikhail Zayats ([MASK]: Михаил Заяц;born October 14, 1981) is an ethnic Russian professional mixed martial artist currently competing in Bellator's Light Heavyweight division.","Mikhail Zayats (<mask>: Михаил Заяц;born October 14, 1981) is an ethnic Russian professional mixed martial artist currently competing in Bellator's Light Heavyweight division."
russian,"The list includes Internet publications and websites that criticize [MASK] authorities, such as news website grani.ru or an open letter by Voice of Beslan, some religious texts by Muslim theologians, Jehovah's Witnesses publications, racist texts and books such as Mein Kampf and Zaveshchanie russkogo fashista, movies such as The Eternal Jew, songs, slogans (""Russia for Russians!","The list includes Internet publications and websites that criticize <mask> authorities, such as news website grani.ru or an open letter by Voice of Beslan, some religious texts by Muslim theologians, Jehovah's Witnesses publications, racist texts and books such as Mein Kampf and Zaveshchanie russkogo fashista, movies such as The Eternal Jew, songs, slogans (""Russia for Russians!"
russian,"Pavel Pavlovich Kosolapov ([MASK]: Павел Павлович Косолапов) (born February 27, 1980 in Serafimovichsky District, Volgograd Oblast, Russia) is an alleged ethnic Russian islamic terrorist sometimes referenced as ""Russian Bin Laden"".","Pavel Pavlovich Kosolapov (<mask>: Павел Павлович Косолапов) (born February 27, 1980 in Serafimovichsky District, Volgograd Oblast, Russia) is an alleged ethnic Russian islamic terrorist sometimes referenced as ""Russian Bin Laden""."
russian,"Pavel Pavlovich Kosolapov (Russian: Павел Павлович Косолапов) (born February 27, 1980 in Serafimovichsky District, Volgograd Oblast, Russia) is an alleged ethnic Russian islamic terrorist sometimes referenced as ""[MASK] Bin Laden"".","Pavel Pavlovich Kosolapov (Russian: Павел Павлович Косолапов) (born February 27, 1980 in Serafimovichsky District, Volgograd Oblast, Russia) is an alleged ethnic Russian islamic terrorist sometimes referenced as ""<mask> Bin Laden""."
russian,"Sergei Nikolaevich Artemov ([MASK]: Сергей Николаевич Артемов) (born December 25, 1951) is a Russian-American researcher in logic and its applications.","Sergei Nikolaevich Artemov (<mask>: Сергей Николаевич Артемов) (born December 25, 1951) is a Russian-American researcher in logic and its applications."
