obj_label,masked_sentence,masked_sentence_roberta
australia,"John Seru (born 12 January 1964, [MASK]) is an actor and former professional wrestler .","John Seru (born 12 January 1964, <mask>) is an actor and former professional wrestler ."
naples,"Sebastiano Maffettone (born April 14, 1948 [MASK]) is an Italian philosopher, currently University Professor at LUISS University of Rome .","Sebastiano Maffettone (born April 14, 1948 <mask>) is an Italian philosopher, currently University Professor at LUISS University of Rome ."
beijing,"Wang Wei (; born 25 December 1978 in [MASK], China) is a baseball catcher from the People's Republic of China .","Wang Wei (; born 25 December 1978 in <mask>, China) is a baseball catcher from the People's Republic of China ."
detroit,"Born in [MASK], MI, he studied oboe with Arno Mariotti while at Cass Technical High School and John de Lancie while at the Curtis Institute of Music .","Born in <mask>, MI, he studied oboe with Arno Mariotti while at Cass Technical High School and John de Lancie while at the Curtis Institute of Music ."
budapest,"Ferenc Sipos (b. 13 December 1932, [MASK]; d.1997) was a Hungarian footballer and trainer .","Ferenc Sipos (b. 13 December 1932, <mask>; d.1997) was a Hungarian footballer and trainer ."
tokyo,Tadahisa Saizen (西前忠久 Saizen Tadahisa) is a seiyuu born in [MASK] on 25 September 1964 .,Tadahisa Saizen (西前忠久 Saizen Tadahisa) is a seiyuu born in <mask> on 25 September 1964 .
london,"Arthur Harold Stone (30 September 1916 -- 6 August 2000) was a British mathematician born in [MASK], who worked mostly in topology .","Arthur Harold Stone (30 September 1916 -- 6 August 2000) was a British mathematician born in <mask>, who worked mostly in topology ."
london,"Born in Hackney in [MASK], Williams began his working life as a tea taster in Mincing Lane before working in the design department of a wallpaper manufacturer .","Born in Hackney in <mask>, Williams began his working life as a tea taster in Mincing Lane before working in the design department of a wallpaper manufacturer ."
exeter,"Nothing is known of Branscombe's ancestry or education, but he was born in [MASK] about 1220 .","Nothing is known of Branscombe's ancestry or education, but he was born in <mask> about 1220 ."
paris,"Born in [MASK], Deroin became a seamstress .","Born in <mask>, Deroin became a seamstress ."
pembroke,"Born in [MASK], Ontario, Canada, Stone received an LLB from Marquette University Law School in 1912 .","Born in <mask>, Ontario, Canada, Stone received an LLB from Marquette University Law School in 1912 ."
vancouver,"Andrea Neil (born October 26, 1971 in [MASK], British Columbia) is an accomplished female soccer player .","Andrea Neil (born October 26, 1971 in <mask>, British Columbia) is an accomplished female soccer player ."
germany,Karl Albert Buehr (1866--1952) was a painter born in [MASK] .,Karl Albert Buehr (1866--1952) was a painter born in <mask> .
luxembourg,"Born in [MASK] City on 23 January 1949, Mullenbach studied piano, chamber music and composition at the Conservatoire de Paris and at the Salzburg Mozarteum where his teachers included Gerhard Wimberger and Cesar Bresgen .","Born in <mask> City on 23 January 1949, Mullenbach studied piano, chamber music and composition at the Conservatoire de Paris and at the Salzburg Mozarteum where his teachers included Gerhard Wimberger and Cesar Bresgen ."
london,Gilbert John Arrow (20 December 1873 [MASK]- 5 October 1948) was an English entomologist .,Gilbert John Arrow (20 December 1873 <mask>- 5 October 1948) was an English entomologist .
london,"John Howard is an English author, born in [MASK] in 1961 .","John Howard is an English author, born in <mask> in 1961 ."
durham,"Born in [MASK], Connecticut, he was the son of Elizur Goodrich .","Born in <mask>, Connecticut, he was the son of Elizur Goodrich ."
warsaw,Zenon Nowosz (born 6 February 1944 in [MASK]) is a Polish sprinter who participated in world athletics for Poland in the late 1960s and 1970s .,Zenon Nowosz (born 6 February 1944 in <mask>) is a Polish sprinter who participated in world athletics for Poland in the late 1960s and 1970s .
stockholm,"Born in [MASK], Greta Knutson studied at the Kungliga Konsthögskolan, and settled in Paris, France during the early 1920s .","Born in <mask>, Greta Knutson studied at the Kungliga Konsthögskolan, and settled in Paris, France during the early 1920s ."
burlington,Paul Daniels (born 4 June 1981 in [MASK]) is an American rower .,Paul Daniels (born 4 June 1981 in <mask>) is an American rower .
dallas,"Tom Jones (born April 26, 1943) is an American former racing driver, born in [MASK], Texas .","Tom Jones (born April 26, 1943) is an American former racing driver, born in <mask>, Texas ."
deal,"Elizabeth Bartlett (24 April 1924 [MASK], Kent - 18 June 2008) was a British poet .","Elizabeth Bartlett (24 April 1924 <mask>, Kent - 18 June 2008) was a British poet ."
honolulu,"Laura Moriarty (b. December 24, 1970, [MASK], Hawaii) is an American novelist .","Laura Moriarty (b. December 24, 1970, <mask>, Hawaii) is an American novelist ."
memphis,"Richard Tillinghast is a native of [MASK], Tennessee, a graduate of Sewanee (BA, 1962) and Harvard (MA, 1963; PhD, 1970) .","Richard Tillinghast is a native of <mask>, Tennessee, a graduate of Sewanee (BA, 1962) and Harvard (MA, 1963; PhD, 1970) ."
bergen,"Judith Mok born in [MASK], North Holland is a Dutch soprano, author and poet, who lives in Ireland and has released novels and many articles in English .","Judith Mok born in <mask>, North Holland is a Dutch soprano, author and poet, who lives in Ireland and has released novels and many articles in English ."
salzburg,"Eugen Enderlen (January 21, 1863 -- June 7, 1940) was a German physician and surgeon born in [MASK], Austria .","Eugen Enderlen (January 21, 1863 -- June 7, 1940) was a German physician and surgeon born in <mask>, Austria ."
birmingham,"Frank Farrell (31 March 1947 -- 19 July 1997) was a British rock bassist, vocalist and songwriter born in [MASK], England .","Frank Farrell (31 March 1947 -- 19 July 1997) was a British rock bassist, vocalist and songwriter born in <mask>, England ."
dublin,"John Savage, who was born in [MASK] on 13 December, 1828 .","John Savage, who was born in <mask> on 13 December, 1828 ."
chicago,"Born in [MASK], Illinois, Honig studied piano at the Manhattan School of Music before entering Columbia University where he was part of a social group of young men that included composer John Corigliano and theatre director Michael Kahn .","Born in <mask>, Illinois, Honig studied piano at the Manhattan School of Music before entering Columbia University where he was part of a social group of young men that included composer John Corigliano and theatre director Michael Kahn ."
raleigh,"Jan Cox Speas (1925 -- 1971) is a short story writer and novelist born in [MASK], North Carolina in 1925 .","Jan Cox Speas (1925 -- 1971) is a short story writer and novelist born in <mask>, North Carolina in 1925 ."
montreal,"Born in [MASK], Quebec, Spector received a Bachelor of Arts with Honors in Political Science, from McGill University in 1970 .","Born in <mask>, Quebec, Spector received a Bachelor of Arts with Honors in Political Science, from McGill University in 1970 ."
antwerp,"Pieter van Bredael was born at [MASK] in 1622, and entered the Guild in 1650 .","Pieter van Bredael was born at <mask> in 1622, and entered the Guild in 1650 ."
stirling,"Born in [MASK], he moved to Birmingham in 1844, to work for John Frederick Feeney on the Birmingham Journal, and became a partner in it in 1852 .","Born in <mask>, he moved to Birmingham in 1844, to work for John Frederick Feeney on the Birmingham Journal, and became a partner in it in 1852 ."
salford,"Coddington was born at [MASK], Greater Manchester, the eldest son of William Dudley Coddington, a Manchester merchant, and his wife Elizabeth Hopwood .","Coddington was born at <mask>, Greater Manchester, the eldest son of William Dudley Coddington, a Manchester merchant, and his wife Elizabeth Hopwood ."
oakland,"Helen Sharsmith was born 1905 in [MASK], California .","Helen Sharsmith was born 1905 in <mask>, California ."
belfast,Jeff Spiers (born 2 May 1967 in [MASK]) is a retired Northern Irish footballer and coach .,Jeff Spiers (born 2 May 1967 in <mask>) is a retired Northern Irish footballer and coach .
riga,"Igors Vihrovs (born 6 June 1978 in [MASK]) is a Latvian gymnast, who won the Golden Medal in floor exercise at the 2000 Summer Olympics, and the Bronze Medals in floor exercise in 2000 European Championships and 2001 World Championships .","Igors Vihrovs (born 6 June 1978 in <mask>) is a Latvian gymnast, who won the Golden Medal in floor exercise at the 2000 Summer Olympics, and the Bronze Medals in floor exercise in 2000 European Championships and 2001 World Championships ."
toronto,"Harry Chadwick (born 13 November 1930 in [MASK], Ontario) was a member of the Canadian House of Commons from 1988 to 1993 .","Harry Chadwick (born 13 November 1930 in <mask>, Ontario) was a member of the Canadian House of Commons from 1988 to 1993 ."
england,"Franz Rummel (January 11, 1853May 2, 1901) was a German pianist, born in [MASK] and active across continental Europe .","Franz Rummel (January 11, 1853May 2, 1901) was a German pianist, born in <mask> and active across continental Europe ."
dublin,Jim Grace (born 17 July 1954 in [MASK]) is a former Irish footballer .,Jim Grace (born 17 July 1954 in <mask>) is a former Irish footballer .
aleppo,"Born in 1943, in [MASK], Syria, he studied Fine Arts in University of Damascus, graduating in 1972, and where, two years later, he began lecturing in Fine Arts .","Born in 1943, in <mask>, Syria, he studied Fine Arts in University of Damascus, graduating in 1972, and where, two years later, he began lecturing in Fine Arts ."
milwaukee,"Born in [MASK], Wisconsin, Murphy had begun his diplomatic career in 1917 as a member of the American Legation in Bern, Switzerland .","Born in <mask>, Wisconsin, Murphy had begun his diplomatic career in 1917 as a member of the American Legation in Bern, Switzerland ."
dallas,"Shannon Emerick (Born in [MASK], Texas) is an American stage actress and voice actress .","Shannon Emerick (Born in <mask>, Texas) is an American stage actress and voice actress ."
ontario,"Tony and Mary owned a cucumber farm in Canning, [MASK] where Walter Gretzky was born and raised .","Tony and Mary owned a cucumber farm in Canning, <mask> where Walter Gretzky was born and raised ."
oslo,"Kristian Geelmuyden (born 12 November 1875 in [MASK], died 18 August 1969) was a Norwegian politician for the Conservative Party .","Kristian Geelmuyden (born 12 November 1875 in <mask>, died 18 August 1969) was a Norwegian politician for the Conservative Party ."
iran,"Tala Raassi born in [MASK] is a bikini designer for her own swimwear line Dar Be Dar, she has designed bikinis for the Miss Universe 2010 pageant .","Tala Raassi born in <mask> is a bikini designer for her own swimwear line Dar Be Dar, she has designed bikinis for the Miss Universe 2010 pageant ."
paris,Jules Louis Lewal (13 December 1823 [MASK] 22 January 1908 Senlis) was a French general .,Jules Louis Lewal (13 December 1823 <mask> 22 January 1908 Senlis) was a French general .
berkeley,"Patrick Daughters (born 1976 in [MASK], California) is an American music video and commercial director currently signed to The Directors Bureau, after departing Black Dog Films in late 2006 .","Patrick Daughters (born 1976 in <mask>, California) is an American music video and commercial director currently signed to The Directors Bureau, after departing Black Dog Films in late 2006 ."
paris,Renaud Gagneux (born 15 May 1947 in [MASK]) is a French composer .,Renaud Gagneux (born 15 May 1947 in <mask>) is a French composer .
baltimore,"Born in [MASK], Maryland, Burmaster received her bachelors and masters degrees from University of Wisconsin-- Madison and was in public school administration .","Born in <mask>, Maryland, Burmaster received her bachelors and masters degrees from University of Wisconsin-- Madison and was in public school administration ."
philadelphia,Mazzoni was born and grew up in [MASK] .,Mazzoni was born and grew up in <mask> .
london,"Born in [MASK], Haleem was raised in Canada, where he attended the University of Toronto and the School of Journalism at Humber College .","Born in <mask>, Haleem was raised in Canada, where he attended the University of Toronto and the School of Journalism at Humber College ."
amsterdam,"Born in [MASK], Kieft was part of the Dutch gymnastics team, which finished seventh in the team event .","Born in <mask>, Kieft was part of the Dutch gymnastics team, which finished seventh in the team event ."
munich,Wilhelmine von Hillern (11 March 1836 [MASK] - 15 December 1916 Hohenaschau) was a German actress and novelist .,Wilhelmine von Hillern (11 March 1836 <mask> - 15 December 1916 Hohenaschau) was a German actress and novelist .
belfast,"Tracey Magee (b. 27 March 1969, [MASK]) is a Northern Irish broadcaster and journalist .","Tracey Magee (b. 27 March 1969, <mask>) is a Northern Irish broadcaster and journalist ."
waterford,"He was born on 8 June 1918 in [MASK], Ireland .","He was born on 8 June 1918 in <mask>, Ireland ."
seoul,"Tina Kim (born 1973 in [MASK], Korea) is a Korean-American stand-up comedian .","Tina Kim (born 1973 in <mask>, Korea) is a Korean-American stand-up comedian ."
amsterdam,"Bernard de Wolff (November 1, 1955), Dutch painter, was born in [MASK] .","Bernard de Wolff (November 1, 1955), Dutch painter, was born in <mask> ."
stade,Peter Ording (born 22 December 1976 in [MASK]) is a German rower .,Peter Ording (born 22 December 1976 in <mask>) is a German rower .
bergen,"Ketil Hvoslef (né Ketil Sæverud; born 19 July 1939 in [MASK], Norway) is a Norwegian composer .","Ketil Hvoslef (né Ketil Sæverud; born 19 July 1939 in <mask>, Norway) is a Norwegian composer ."
palermo,Antonio Selvaggio (born 1 January 1958 in [MASK]) is a retired male long-distance runner from Italy .,Antonio Selvaggio (born 1 January 1958 in <mask>) is a retired male long-distance runner from Italy .
augsburg,"Michael Aufhauser (born April 25, 1952 [MASK]) is a German animal rights activist and founder of Gut Aiderbichl, the largest sanctuary for animals in Austria, which houses more than 1,000 animals of a variety of species .","Michael Aufhauser (born April 25, 1952 <mask>) is a German animal rights activist and founder of Gut Aiderbichl, the largest sanctuary for animals in Austria, which houses more than 1,000 animals of a variety of species ."
wellington,"Paula Margaret Tesoriero, MNZM (born 29 August 1975 in [MASK], New Zealand) is a New Zealand paralympics racing cyclist, most notable for her performance at the 2008 Summer Paralympics; her world record-breaking time in the Women's 500m Time Trial secured New Zealand's first gold medal at that games, and she later went on to win bronze in both the Individual pursuit, and the Women's individual road time trial .","Paula Margaret Tesoriero, MNZM (born 29 August 1975 in <mask>, New Zealand) is a New Zealand paralympics racing cyclist, most notable for her performance at the 2008 Summer Paralympics; her world record-breaking time in the Women's 500m Time Trial secured New Zealand's first gold medal at that games, and she later went on to win bronze in both the Individual pursuit, and the Women's individual road time trial ."
toledo,"In 1953, Marcum created a Midwestern United States racing series called ``Midwest Association for Race Cars'' (MARC) with his wife Mildred in his hometown [MASK], Ohio .","In 1953, Marcum created a Midwestern United States racing series called ``Midwest Association for Race Cars'' (MARC) with his wife Mildred in his hometown <mask>, Ohio ."
illinois,"Beth Liebling (born March 12, 1967, Chicago, [MASK]) is the co-founder of Seattle-based experimental instrumental group Hovercraft with guitarist/keyboardist/samplist Ryan Campbell (``Cambell 2000'') .","Beth Liebling (born March 12, 1967, Chicago, <mask>) is the co-founder of Seattle-based experimental instrumental group Hovercraft with guitarist/keyboardist/samplist Ryan Campbell (``Cambell 2000'') ."
casablanca,"José Bénazéraf (born January 8, 1922 [MASK], Morocco) is a French filmmaker and producer .","José Bénazéraf (born January 8, 1922 <mask>, Morocco) is a French filmmaker and producer ."
warsaw,"Witold Nazarewicz is a nuclear physicist born in [MASK], Poland, currently teaching at the University of Tennessee .","Witold Nazarewicz is a nuclear physicist born in <mask>, Poland, currently teaching at the University of Tennessee ."
finland,"Born in [MASK], Lakomaa graduated from Helsinki Polytechnics .","Born in <mask>, Lakomaa graduated from Helsinki Polytechnics ."
california,"Jerry Knight (born April 14, 1952, Los Angeles, [MASK], United States) was an American R&B vocalist and bassist in the late 1970s and early 1980s .","Jerry Knight (born April 14, 1952, Los Angeles, <mask>, United States) was an American R&B vocalist and bassist in the late 1970s and early 1980s ."
havana,"Yanitzia Canetti (born in 1967 in [MASK], Cuba) is a Cuban author, translator, and editor .","Yanitzia Canetti (born in 1967 in <mask>, Cuba) is a Cuban author, translator, and editor ."
livingston,"Ken Niles (December 9, 1908, in [MASK], Montana -- October 31, 1988) was an American radio announcer .","Ken Niles (December 9, 1908, in <mask>, Montana -- October 31, 1988) was an American radio announcer ."
italy,"Riccardo Maspero (born 19 February 1970 in Lodi, [MASK]) is an Italian footballer who played as an attacking midfielder, most notably with Cremonese .","Riccardo Maspero (born 19 February 1970 in Lodi, <mask>) is an Italian footballer who played as an attacking midfielder, most notably with Cremonese ."
kenya,"Margaret Maury, née Kerubo (born 15 May 1974 in [MASK]) is a French long-distance runner who specializes in the 5000 metres .","Margaret Maury, née Kerubo (born 15 May 1974 in <mask>) is a French long-distance runner who specializes in the 5000 metres ."
jamaica,"Bernard Wright (born January 1, 1963 in [MASK], Queens, New York) is an American funk and jazz keyboardist who began his career as a session musician and later released several solo albums in the 1980s .","Bernard Wright (born January 1, 1963 in <mask>, Queens, New York) is an American funk and jazz keyboardist who began his career as a session musician and later released several solo albums in the 1980s ."
hamburg,Caroline Beil (born 3 November 1966 in [MASK]) is a German actress and television presenter .,Caroline Beil (born 3 November 1966 in <mask>) is a German actress and television presenter .
minsk,"Joseph Judah Chorny was a Russian traveller, born at [MASK] in 1835, on the 20th April .","Joseph Judah Chorny was a Russian traveller, born at <mask> in 1835, on the 20th April ."
oxford,"Faussett was born at [MASK] in 1829, was a younger son of the Rev .","Faussett was born at <mask> in 1829, was a younger son of the Rev ."
ireland,Samuel Davidson (23 September 1807 -- 1 April 1898) was an Irish biblical scholar who was born near Ballymena in [MASK] .,Samuel Davidson (23 September 1807 -- 1 April 1898) was an Irish biblical scholar who was born near Ballymena in <mask> .
sweden,"Born on the Ribbingsberg manor in Västergötland in west [MASK], Leonard Gyllenhaal was son of an army officer and belonged to a family of the lower nobility .","Born on the Ribbingsberg manor in Västergötland in west <mask>, Leonard Gyllenhaal was son of an army officer and belonged to a family of the lower nobility ."
caracas,"Sheyene Gerardi (born April 13,in [MASK], Venezuela) is a Venezuelan actress and model .","Sheyene Gerardi (born April 13,in <mask>, Venezuela) is a Venezuelan actress and model ."
canberra,"Bryn Atkinson (born 9 December 1982, [MASK], Australian Capital Territory) is an Australian professional mountain bike racing cyclist from Townsville, QLD .","Bryn Atkinson (born 9 December 1982, <mask>, Australian Capital Territory) is an Australian professional mountain bike racing cyclist from Townsville, QLD ."
france,"Claudine Chomat, who was born 7 February 1915 at Saint-Etienne (Loire) in [MASK], and died on 14 October 1995 in Boulogne-Billancourt (Hauts-de-Seine), was a member of the French Resistance and a French communist militant .","Claudine Chomat, who was born 7 February 1915 at Saint-Etienne (Loire) in <mask>, and died on 14 October 1995 in Boulogne-Billancourt (Hauts-de-Seine), was a member of the French Resistance and a French communist militant ."
london,"Peter G Engelman, CPA, is a naturalized American writer, born in [MASK], England, during World War II He immigrated to the US in November 1940 sailing from Liverpool to New Orleans on the Steamship Orbita .","Peter G Engelman, CPA, is a naturalized American writer, born in <mask>, England, during World War II He immigrated to the US in November 1940 sailing from Liverpool to New Orleans on the Steamship Orbita ."
poland,"Stanisław Stolarczyk, born 4 May 1949 in [MASK], is a journalist, reporter, writer, and documentary of the Polish footprints in Canada .","Stanisław Stolarczyk, born 4 May 1949 in <mask>, is a journalist, reporter, writer, and documentary of the Polish footprints in Canada ."
